Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,EEOLICSBP-01/2025-26,2025_OLIC_112623_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,22-Apr-2025 10:00 AM,01-May-2025 10:00 AM,22-Apr-2025 10:00 AM,30-Apr-2025 05:00 PM,22-Apr-2025 10:00 AM ,30-Apr-2025 05:00 PM ,22-Apr-2025 10:00 AM,30-Apr-2025 05:00 PM,"7,080",0.0,Nil,Nil,No,Revival of Patapali L.I. Project under Dhankouda Block in Sambalpur District,Revival of Patapali L.I. Project under Dhankouda Block in Sambalpur District,Please refer Tender documents. ,NA ,"13,55,156",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,Dhankouda,768006.0,NA ,NA ,NA ,"O/o E.E. L.I. Division, Sambalpur",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, Registration Certificate, PAN,Affidavits,Undertaking,other documets",1.0,ICICI BANK,"13,552",Yes,percentage,1.0%,Nil,Nil,"E.E. L.I. Division, Sambalpur","E.E. L.I. Division, Sambalpur, Binakhandi",AOC,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,2025_OLIC_112623_10,EEOLICSBP-01/2025-26,Revival of Patapali L.I. Project under Dhankouda Block in Sambalpur District,Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Bag",CHITARANJAN PRADHAN,25-Sep-2025 11:35 AM,finsummary_537057.pdf (852.55 KB),Finance,Tender Open,Pradeep Kumar Swain,01-May-2025 11:24 AM,finance_537057.pdf,BOQ Comparative Chart,1.0,2900753.0,JAGANNATH ENTERPRISES,INR,"1,152,017.72",26-Sep-2025,"INR 1,152,017.72",90.0,CHITARANJAN PRADHAN,26-Sep-2025 11:54 AM,PKG10.pdf (480.00 KB),Agreement Done,1,2902149,ADHYAN INFRA,30-Apr-2025 03:25 PM,Rejected-AOC,Not Award of Contract,26-Sep-2025 11:54 AM,Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Kumar Bag",CHITARANJAN PRADHAN,08-Aug-2025 04:21 PM,techsummary_537057.pdf (243.88 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2896922,BRAJA MOHAN BADHAI,27-Apr-2025 06:00 PM,Rejected-AOC,Not Award of Contract,26-Sep-2025 11:54 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2901550,DEEPIKA NEPAK,30-Apr-2025 04:03 PM,Rejected-Technical,Due to his bidding capacity exceeding 40.00 Lakh for C class Licenses as per DTCN special condition clause No. 02,08-Aug-2025 04:21 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2900753,JAGANNATH ENTERPRISES,29-Apr-2025 07:44 PM,Accepted-AOC,Award of Contract,26-Sep-2025 11:54 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2901998,PRAKASH CHANDRA SAHU,30-Apr-2025 01:43 PM,Rejected-AOC,Not Award of Contract,26-Sep-2025 11:54 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2898821,PRAKASH KUMAR MISHRA,29-Apr-2025 08:03 PM,Rejected-AOC,Not Award of Contract,26-Sep-2025 11:54 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2894572,PUSPANJALI BALIA,25-Apr-2025 12:49 PM,Rejected-Technical,Due to his bidding capacity exceeding 40.00 Lakh for C class Licenses as per DTCN special condition clause No. 02,08-Aug-2025 04:21 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2897066,PUSPANJALI PRADHAN,27-Apr-2025 08:14 PM,Rejected-AOC,Not Award of Contract,26-Sep-2025 11:54 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2901921,SUBHAKANTA SWAIN,30-Apr-2025 01:44 PM,Rejected-Technical,Due to his bidding capacity exceeding 40.00 Lakh for C class Licenses as per DTCN special condition clause No. 02,08-Aug-2025 04:21 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2898823,SWARNA CONSTRUCTION PROP.- SUBHENDU KUMAR PARIDA,28-Apr-2025 07:37 PM,Rejected-Technical,Due to his bidding capacity exceeding 40.00 Lakh for C class Licenses as per DTCN special condition clause No. 02,08-Aug-2025 04:21 PM,,,,,,,AOC
