Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
19-May-2025 10:00 AM,30-May-2025 11:00 AM,19-May-2025 10:05 AM,29-May-2025 05:00 PM,NA ,NA ,19-May-2025 10:10 AM,29-May-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"License, PAN, GST, EMD, Affidavits,Other relevant documents as per DTCN",1.0,ICICI BANK,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",e- Procurement Notice Bid Identification No- 04/MIDA/2025-26,2025_CEMIB_113585_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,Repair And Improvement To Madhubantota Check Dam Over local Nallah Near Village Basantapur In Ghasipura Block Of Keonjhar District For The Year 2025-26,Repair And Improvement To Madhubantota Check Dam Over local Nallah Near Village Basantapur In Ghasipura Block Of Keonjhar District For The Year 2025-26,Please refer Tender documents. ,NA ,"6,65,000",Civil Works - Others,NA ,Rate Contract,90.0,30.0,GHASIPURA,758020.0,NA ,NA ,NA ,"O/O THE S.E. M.I.DIVISION,ANANDAPUR, AT/PO-SALAPAD",No ,No,"6,700",Yes,fixed,,Nil,Nil,SUPERINTENDING ENGINEER,"O/O THE S.E. M.I.DIVISION,ANANDAPUR, AT/PO-SALAPAD",AOC,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",2025_CEMIB_113585_6,e- Procurement Notice Bid Identification No- 04/MIDA/2025-26,Repair And Improvement To Madhubantota Check Dam Over local Nallah Near Village Basantapur In Ghasipura Block Of Keonjhar District For The Year 2025-26,SE,Internal,,Ashok Kumar Sethi,20-Sep-2025 08:22 AM,finsummary_540108.pdf (166.54 KB),Finance,summary,Ashok Kumar Sethi,24-Aug-2025 01:23 PM,finance_540108.pdf,BOQ Comparative Chart,1.0,2937531.0,DURYODHAN SAHOO,INR,"565,016.66",20-Sep-2025,"INR 565,016.66",30.0,Ashok Kumar Sethi,20-Sep-2025 08:25 AM,madhubantotaimpcd.pdf (167.00 KB),1,2940687,ANIL NAIK,29-May-2025 03:24 PM,Rejected-Finance,Lottery,20-Sep-2025 08:22 AM,SE,Internal,,Ashok Kumar Sethi,20-Sep-2025 08:16 AM,techsummary_540108.pdf (166.54 KB),AOC
,,,,,,,,,,.xls,Bill of Quantities,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2937631,BHARATI NAYAK,28-May-2025 01:17 PM,Rejected-Finance,Lottery,20-Sep-2025 08:22 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2940599,BIBEKANANDA NAYAK,29-May-2025 02:46 PM,Rejected-Finance,Lottery,20-Sep-2025 08:22 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2936239,BUDDHADEVA SAHU,27-May-2025 11:08 PM,Rejected-Finance,Lottery,20-Sep-2025 08:22 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2933063,CHITTARANJAN RANA,26-May-2025 01:38 PM,Rejected-Finance,Lottery,20-Sep-2025 08:22 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2934895,DEEPAK KUMAR SAHOO,27-May-2025 01:01 PM,Rejected-Finance,Lottery,20-Sep-2025 08:22 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2937531,DURYODHAN SAHOO,28-May-2025 01:02 PM,Accepted-AOC,aoc,20-Sep-2025 08:25 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2928881,HITESH KUMAR PRUSTY,22-May-2025 04:16 PM,Rejected-Finance,Lottery,20-Sep-2025 08:22 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2929027,JUGALA KISHOR BHUYAN,22-May-2025 06:05 PM,Rejected-Finance,Lottery,20-Sep-2025 08:22 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2931905,KAPILA CHARAN MALIK,25-May-2025 04:27 PM,Rejected-Finance,Lottery,20-Sep-2025 08:22 AM,,,,,,,AOC
