S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
1.0,2713947.0,RAJAT MOHAPATRA,INR,"131,951,455",Technical,6 Nos. Bidders Received.,Bijaya Kumar Nayak,30-Dec-2024 01:35 PM,,EIC-CIVIL,2024_EICCL_108229_3,C.E. (B) - 23 / 2024-25,"Construction of CHC Building at Salinia, Keonjhar, Odisha.",Principal Secretary to Govt. Works Dept Odisha,Internal,EIC Civil cum Roads Odisha CE Buildings I Odisha FA cum Special Secy to Govt Works Dept Odisha,Managobinda Biswal,09-Sep-2025 12:52 PM,finsummary_520320.pdf (385.18 KB),Er P C Mohapatra EIC (Civil-cum-Roads) Odisha,Internal,Er A K Giri C E Buildings I IC Odisha Er B K Nayak Addl C E Buildings I Smt P Samal FA,Bijaya Kumar Nayak,10-Jan-2025 04:16 PM,13-Jan-2025 12:30 PM,techsummary_520320.pdf (198.72 KB),Finance,Opening,Bijaya Kumar Nayak,13-Jan-2025 02:19 PM,,BOQ Comparative Chart,09-Sep-2025,"INR 131,951,455",547.0,Managobinda Biswal,09-Sep-2025 12:56 PM,AOC_Salinia.pdf (499.00 KB),AOC,1,2713769,NIRAKAR SAMAL,27-Dec-2024 02:48 PM,Rejected-Technical,Disqualified,10-Jan-2025 04:16 PM,AOC,"14,66,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Paper Cost and EMD Online, PAN, GSTIN, Affidavit, Regd. Certificate and other Documents as per DTCN.","10,000",0.0,Nil,Nil,No,EIC-CIVIL,C.E. (B) - 23 / 2024-25,2024_EICCL_108229_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Chief Engineer, Buildings-I (I/C), Odisha, BBSR","O/o. the E.I.C. (Civil), Odisha, Unit-V, Nirman Soudha, Bhubaneswar.","Construction of CHC Building at Salinia, Keonjhar, Odisha.","Construction of CHC Building at Salinia, Keonjhar, Odisha.",Please refer Tender documents. ,NA ,"14,65,96,439",Civil Works - Buildings,NA ,Tender,90.0,547.0,KEONJHAR DIST.,756121.0,NA ,NA ,NA ,"O/o. the E.I.C. (Civil), Odisha, Bhubaneswar.",No ,No,12-Dec-2024 05:00 PM,30-Dec-2024 11:30 AM,12-Dec-2024 05:00 PM,27-Dec-2024 05:00 PM,NA ,NA ,12-Dec-2024 05:00 PM,27-Dec-2024 05:00 PM,13-Jan-2025 12:30 PM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2694734,Raghunath Panda,26-Dec-2024 01:25 PM,Rejected-Technical,Disqualified,10-Jan-2025 04:16 PM,AOC,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2713947,RAJAT MOHAPATRA,27-Dec-2024 04:18 PM,Accepted-AOC,L1(Selected through Transparent Lottery),09-Sep-2025 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2713758,SUJIT KUMAR JENA,27-Dec-2024 02:39 PM,Rejected-AOC,L1,09-Sep-2025 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2710936,SUSHREESARADA CONSTRUCTION PRIVATE LIMITED,25-Dec-2024 04:54 PM,Rejected-Finance,L2,09-Sep-2025 12:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2705246,SUSHRITA MISHRA,23-Dec-2024 04:37 PM,Rejected-AOC,L1,09-Sep-2025 12:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
