Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"DM OSCSC LTD, Subarnapur","DM OSCSC LTD, Subarnapur",Selection AND Appointment of Level-II Transport contactor for the biennial year 2025-27,Selection AND Appointment of Level-II Transport Contractors for transportation of Custom Milled Rice (CMR) from Rice Receiving Centre (RRC) to Retail Centre (FPS) in Subarnapur District for the biennial year 2025-27 for Binika Block and NAC,Please refer Tender documents. ,NA ,"42,56,807",Handling and Transportation,NA ,Tender,180.0,640.0,SUBARNAPUR,767017.0,"Conference Hall of Collectorate, Subarnapur  ","Conference Hall of Collectorate, Subarnapur  ",25-Jun-2025 11:30 AM ,"Conference Hall of Collectorate, Subarnapur",No ,No,1,Fee/PreQual/Technical,.pdf,Tender Document,"5,900",0.0,Nil,Nil,No,"2,12,840",No,fixed,,Nil,Nil,1,ICICI BANK,24-Jun-2025 05:00 PM,10-Jul-2025 11:30 AM,24-Jun-2025 05:00 PM,09-Jul-2025 05:00 PM,24-Jun-2025 05:00 PM ,28-Jun-2025 05:00 PM ,24-Jun-2025 05:00 PM,09-Jul-2025 05:00 PM,22-Jul-2025 11:30 AM,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Sonepur,2025_OSCSC_1005/21.06.2025 Binika BLK - NAC,2025_OSCSC_114774_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,AOC,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Sonepur,2025_OSCSC_114774_1,2025_OSCSC_1005/21.06.2025 Binika BLK - NAC,Selection AND Appointment of Level-II Transport contactor for the biennial year 2025-27,Technical,Accepted,Nirad Das,19-Jul-2025 11:04 AM,technical_544150.pdf,Collector,Internal,,Rosalin Sethi,24-Sep-2025 01:29 PM,finsummary_544150.pdf (386.04 KB),1.0,2987381.0,Phanindra Kumar Dash,INR,42.43,24-Sep-2025,"INR 40,128,045",545.0,Rosalin Sethi,24-Sep-2025 04:10 PM,OrderL2.pdf (386.00 KB),1,2987381,Phanindra Kumar Dash,09-Jul-2025 11:12 AM,Accepted-AOC,Lowest bidder,24-Sep-2025 04:10 PM,Collector,Internal,,Nirad Das,19-Jul-2025 11:38 AM,22-Jul-2025 11:30 AM,techsummary_544150.pdf (181.35 KB),Finance,Phanindra Dash Accepted,Rosalin Sethi,04-Sep-2025 01:36 PM,finance_544150.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BoQ Binika Block and NAC,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2992910,SAMIR KUMAR AGRAWAL,09-Jul-2025 02:24 PM,Not Admitted-Finance,Not qualified for AOC,04-Sep-2025 01:36 PM,,,,,,,,,,,,,,AOC
