Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,Online -EERKL-04 of 2025-26,2025_CERWI_115524_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Construction of RI office cum Residence building at Kalunga for the year 2025-26,Construction of RI office cum Residence building at Kalunga for the year 2025-26,Please refer Tender documents. ,NA ,"81,09,291",Civil Works - Buildings,NA ,Tender,90.0,270.0,ROURKELA,769004.0,NA ,NA ,NA ,"Office of the Executive Engineer,RW Division,Rourk",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Valid Registration Certificate, GST Registration Certificate and PAN Card","Ececutive Engineer, RW Division,Rourkela","Office of the Executive Engineer,RW Division,Rourkela","81,320",Yes,fixed,,Nil,Nil,14-Jul-2025 03:00 PM,22-Jul-2025 09:00 AM,14-Jul-2025 03:00 PM,21-Jul-2025 05:00 PM,14-Jul-2025 03:00 PM ,20-Jul-2025 05:00 PM ,14-Jul-2025 03:00 PM,21-Jul-2025 05:00 PM,12-Aug-2025 10:00 AM,AOC,"AE Estt, DAO, SE",Internal,"AE Estt, DAO, SE",Dasharathi Sethy,20-Sep-2025 11:16 AM,finsummary_545937.pdf (642.67 KB),Technical,18 BiddersApplied,Dasharathi Sethy,11-Aug-2025 06:21 PM,,CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,2025_CERWI_115524_2,Online -EERKL-04 of 2025-26,Construction of RI office cum Residence building at Kalunga for the year 2025-26,1.0,3005294.0,THAKUR ENTERPRISES,INR,"6,893,709",1,3007031,ADARSH CONSTRUCTION PROP.ADARSH AGARWAL,21-Jul-2025 02:28 PM,Rejected-AOC,Rejected by the Agency,20-Sep-2025 11:35 AM,20-Sep-2025,"INR 6,893,709",270.0,Dasharathi Sethy,20-Sep-2025 11:35 AM,AOC.pdf (643.00 KB),Awarded Cost,Finance,17 Bidders,Dasharathi Sethy,20-Sep-2025 11:09 AM,,BOQ Comparative Chart,"AE Estt, DAO, SE",Internal,"AE Estt, DAO, SE",Dasharathi Sethy,11-Aug-2025 06:43 PM,12-Aug-2025 10:00 AM,techsummary_545937.pdf (2851.74 KB),AOC
,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,No Relation Certificate in Format II,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3007139,"A R INFRA ,PROP-NELSAN KANDULNA",21-Jul-2025 03:56 PM,Rejected-AOC,Rejected by the Agency,20-Sep-2025 11:35 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit on Authentication of tender documents etc. as per Format III,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3000699,BIJAY KUMAR PARIDA,16-Jul-2025 11:37 AM,Rejected-AOC,Rejected by the Agency,20-Sep-2025 11:35 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit regarding Litigation, Debarring,Expelling, Abandon, true Correct of work as per format IV",,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3005343,BISHI KESAN NAIK,20-Jul-2025 06:29 PM,Rejected-AOC,Rejected by the Agency,20-Sep-2025 11:35 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A joint venture agreement with electrical contractor having valid licensee for execution of the e,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3007022,CHANDA MINJ,21-Jul-2025 02:21 PM,Rejected-Technical,Rejected by the coomiittee,11-Aug-2025 06:43 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The undersign should mention the particular work name on the affidavit,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3001235,DEEPAK SAHOO,16-Jul-2025 05:01 PM,Rejected-AOC,Rejected by the Agency,20-Sep-2025 11:35 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,2999800,ENGICONS ASSOCIATES,19-Jul-2025 05:06 PM,Rejected-AOC,Rejected by the Agency,20-Sep-2025 11:35 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3002825,GIRISH SAMAL,20-Jul-2025 09:29 PM,Rejected-AOC,Rejected by the Agency,20-Sep-2025 11:35 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3003479,GOPAL TOPPO,21-Jul-2025 12:48 PM,Rejected-AOC,Rejected by the Agency,20-Sep-2025 11:35 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3004795,HIMANSU SEKHAR PANDA,20-Jul-2025 10:14 AM,Rejected-AOC,Rejected by the Agency,20-Sep-2025 11:35 AM,,,,,,,,,,,,,,,,,,,,,AOC
