S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,2696195.0,Rajesh Kumar Jain,INR,"54,692,339",CE ROADS 1,Mixed,,Biswanath Marndi,22-Sep-2025 11:19 AM,finsummary_518752.pdf (668.33 KB),EIC-CIVIL||SERNB-CIRCLE-JEYPORE,2024_EICCL_107751_2,CCEJC R AND B 08/2024-25,"Improvement of 06 Nos. of ULB roads under Jeypore Municipality, Jeypore- Phampuni road MDR from 1-000 km to 3-500 km and Jeypore to Gadapadar and Palliguda to Dubuli Road ODR from 0-000 km to 3-203 km",Technical,ABOVE BIDDERS ARE PROVISIONALLY QUALIFIED FOR TECHNICAL EVALUATION.,Ashok Kumar Behera,18-Dec-2024 01:02 PM,technical_518752.pdf,Finance,Price bid of the above bidders Downloaded.,Subhendu Subhadarsan Dash,17-Mar-2025 12:32 PM,finance_518752.pdf,BOQ Comparative Chart,BISWANATH MARNDI,Internal,"Sri Priyaranjan Behera S.E. Jeypore R and B Division , DAO Jeypore R and B Division (I/C), Er Ashok Kumar Behera A.E.E. (I/C) Jeypore R and B Circle.",Ashok Kumar Behera,29-Jan-2025 03:51 PM,29-Jan-2025 04:30 PM,techsummary_518752.pdf (404.92 KB),1.0,2696195.0,Rajesh Kumar Jain,16-Dec-2024 12:30 PM,Accepted-AOC,FIRST LOWEST BIDDER,22-Sep-2025 11:22 AM,22-Sep-2025,"INR 54,692,339",180.0,Biswanath Marndi,22-Sep-2025 11:22 AM,ULBAOC.pdf (755.00 KB),FIRST LOWEST BID OF SRI RAJESH KUMAR JAIN,AOC,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, EMD, GST Registration Certificate and GSTIN, PAN, Contractor RC","10,000",0.0,Nil,Nil,No,"Improvement of 06 Nos. of ULB roads under Jeypore Municipality, Jeypore- Phampuni road MDR from 1-000 km to 3-500 km and Jeypore to Gadapadar and Palliguda to Dubuli Road ODR from 0-000 km to 3-203 km",CIVIL WORKS,Please refer Tender documents. ,NA ,"6,43,36,359",Civil Works - Roads,ROAD WORK ,Tender,90.0,180.0,JEYPORE,764001.0,NA ,NA ,NA ,O/O C.C.E R and B Circle Jeypore,No ,No,EIC-CIVIL||SERNB-CIRCLE-JEYPORE,CCEJC R AND B 08/2024-25,2024_EICCL_107751_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,CHIEF CONSTRUCTION ENGINEER,Chief Construction Engineer Jeypore R and B circle Jeypore,1.0,ICICI BANK,02-Dec-2024 11:00 AM,17-Dec-2024 10:00 AM,02-Dec-2024 11:00 AM,16-Dec-2024 05:00 PM,NA ,NA ,02-Dec-2024 11:00 AM,16-Dec-2024 05:00 PM,29-Jan-2025 04:30 PM,"6,43,400",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2697697.0,VISVASRK INFRASTRUCTURE PRIVATE LIMITED,16-Dec-2024 03:13 PM,Rejected-Finance,SECOND LOWEST BIDDER,22-Sep-2025 11:19 AM,,,,,,,,AOC,,,.pdf,Affidavit Undertakings and Other Documents as per SBD/DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
