S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage
1.0,3034612.0,NIRAJ BHARAT VANKUDRE,INR,"998,826",Finance,Ten (10) nos of bidders have participated.,Manoranjan Behera,16-Aug-2025 12:43 PM,,BOQ Comparative Chart,Sri Pradeep Kumar Mohapatra JD,Internal,Sri M R Behera DD Sri P C Prusty DD Sri D K Pujhari EE Sri S K Panda AEE,Himanshu Sekhar Behera,20-Aug-2025 05:33 PM,finsummary_548171.pdf (480.03 KB),Command Area Development-CAD (DOWR)||Jt. Director Survey and Planning,2025_CADSP_116386_4,JDSP-02/2025-26,"Survey and Planning for Command Area Development and Water Management in Batari MIP, Paitagaon MIP of Block-Chakapada, Kalanaju MIP, Madhujhori MIP of Block- G. Udayagiri in Kandhamal District.",Sri Pradeep Kumar Mohapatra JD,Internal,Sri M R Behera DD Sri P C Prusty DD Sri D K Pujhari EE Sri S K Panda AEE,Himanshu Sekhar Behera,20-Aug-2025 04:21 PM,techsummary_548171.pdf (1540.65 KB),08-Sep-2025,"INR 998,826",120.0,Himanshu Sekhar Behera,20-Sep-2025 05:21 PM,Niraj.pdf (2065.00 KB),Through transparent lottery.,1,3035334,Afcones Infratech Private Limited,13-Aug-2025 10:32 PM,Rejected-Technical,Due to non- fulfilling of criteria as per DTCN,20-Aug-2025 04:21 PM,AOC,Command Area Development-CAD (DOWR)||Jt. Director Survey and Planning,JDSP-02/2025-26,2025_CADSP_116386_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Deputy Director,"O/O the Joint Director, Survey and Planning, OFMRDC Campus, Satyanagar, Bhubaneswar-7, Odisha",1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid Regd. Cert, GSTIN, PAN card, NRC, affidavit and other Document.","6,000",Nil,Nil,No,"Survey and Planning for Command Area Development and Water Management in Batari MIP, Paitagaon MIP of Block-Chakapada, Kalanaju MIP, Madhujhori MIP of Block- G. Udayagiri in Kandhamal District.",Survey and Planning for Command Area Development and Water Management,Please refer Tender documents. ,NA ,"11,74,951",Civil Works - Others,NA ,Tender,90.0,120.0,"Chakapada, G. Udayagiri",762028.0,NA ,NA ,NA ,"O/O JD, S and P, OFMRDC Campus, Satyanagar, BBSR",No ,No,"11,800",Yes,fixed,,Nil,Nil,04-Aug-2025 11:00 AM,16-Aug-2025 11:00 AM,04-Aug-2025 11:00 AM,14-Aug-2025 05:00 PM,04-Aug-2025 11:00 AM ,08-Aug-2025 05:00 PM ,04-Aug-2025 11:00 AM,14-Aug-2025 05:00 PM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3034871,ASIAN GEOTECH RESEARCH SERVICES,13-Aug-2025 04:10 PM,Rejected-AOC,Through transparent lottery.,20-Sep-2025 05:22 PM,AOC,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3034632,D N CONSULTANT,13-Aug-2025 01:45 PM,Rejected-AOC,Through transparent lottery.,20-Sep-2025 05:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3031879,GALLOP INFRA SERVICES CONSULTANCY,13-Aug-2025 07:04 AM,Rejected-AOC,Through transparent lottery.,20-Sep-2025 05:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3031634,M/S GAYATRI CONSULTANT,11-Aug-2025 03:40 PM,Rejected-AOC,Through transparent lottery.,20-Sep-2025 05:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3035712,M/s M K CONSULTANCY,14-Aug-2025 01:49 PM,Rejected-AOC,Through transparent lottery.,20-Sep-2025 05:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3034612,NIRAJ BHARAT VANKUDRE,14-Aug-2025 11:18 AM,Accepted-AOC,Through transparent lottery.,20-Sep-2025 05:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3036038,Subudhi Technoengineers Pvt Ltd,14-Aug-2025 03:10 PM,Rejected-AOC,Through transparent lottery.,20-Sep-2025 05:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3025407,Visiontek Consultancy Services Pvt. Ltd.,14-Aug-2025 12:11 PM,Rejected-AOC,Through transparent lottery.,20-Sep-2025 05:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3035188,Water Power Consultants india Pvt Ltd,14-Aug-2025 10:18 AM,Rejected-AOC,Through transparent lottery.,20-Sep-2025 05:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
