S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,2702126.0,M/S SUBASH CHANDRA SAMAL,INR,"66,024,469","Rural Water Supply and Sanitation||RWSS Circle Cuttack||EERWSS,Bhadrak",2024_RWSS_107971_1,SE RWSandS BDK 03/2024-25 Dt-27.11.2024,Execution of clubbed up 01 no Retrofitting RPWS Schemes to village Gujidarada under Bhadrak Block,Engineer-in-chief,Internal,"Additional Chief Engineer, Executive Engineer, D.A.O, Estimator, Asst S.E",Mukula Chandra Das,17-May-2025 11:33 AM,17-May-2025 11:35 AM,techsummary_519537.pdf (125.16 KB),20-Aug-2025,"INR 66,024,469",330.0,G.Debahari Pradhan,02-Sep-2025 11:30 AM,GUJIDARDAAOC.pdf (160.00 KB),AOC,Engineer-in-chief,Internal,"Engineer-in-chief, Addl Chief Engineer, Executive Engineer, DAO",G.Debahari Pradhan,22-Jul-2025 06:53 PM,finsummary_519537.pdf (134.55 KB),Finance,Bid opening summary,Mukula Chandra Das,21-May-2025 01:22 PM,finance_519537.pdf,BOQ Comparative Chart,1,2704403,AZIZUR REHAMAN,20-Dec-2024 03:43 PM,Rejected-Finance,Rejected as L5 bidder,22-Jul-2025 06:53 PM,Technical,Bid Opening Summary,Mukula Chandra Das,16-May-2025 01:06 PM,technical_519537.pdf,AOC,06-Dec-2024 10:00 AM,21-Dec-2024 11:00 AM,06-Dec-2024 10:00 AM,20-Dec-2024 05:00 PM,06-Dec-2024 10:00 AM ,13-Dec-2024 11:00 AM ,06-Dec-2024 10:00 AM,20-Dec-2024 05:00 PM,17-May-2025 11:35 AM,"Rural Water Supply and Sanitation||RWSS Circle Cuttack||EERWSS,Bhadrak",SE RWSandS BDK 03/2024-25 Dt-27.11.2024,2024_RWSS_107971_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Superintending Engineer RWSandS Division Bhadrak,O/o The Superintending Engineer RWSandS Division Bhadrak,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Tender paper cost, EMD, GSTIN, PAN card, Contractor registration certificate , Affidavit",1.0,ICICI BANK,"7,76,667",Yes,fixed,,Nil,Nil,Execution of clubbed up 01 no Retrofitting RPWS Schemes to village Gujidarada under Bhadrak Block,Execution of clubbed up 01 no Retrofitting RPWS Schemes to village Gujidarada under Bhadrak Block,Please refer Tender documents. ,NA ,"7,76,67,000",Civil Works - Water Works,NA ,Tender,180.0,330.0,village Gujidarada under Bhadrak Block,756100.0,NA ,NA ,NA ,O/o The Superintending Engineer RWSandS Division B,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2703884,BARADA KANTA DAS,19-Dec-2024 05:55 PM,Rejected-Finance,Rejected as L3 bidder,22-Jul-2025 06:53 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work experience, ATO, Other document as per DTCN",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2704985,DIVYA SINGH NAYAK,20-Dec-2024 04:13 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-May-2025 01:06 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2701162,GOUTAM PATTNAIK,20-Dec-2024 04:19 PM,Rejected-Finance,Rejected as L3 bidder,22-Jul-2025 06:53 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2704543,Karan Kumar Panda,20-Dec-2024 12:10 PM,Rejected-Finance,Rejected as L4 bidder,22-Jul-2025 06:53 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2704893,LIZA AGENCIES,20-Dec-2024 02:42 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-May-2025 01:06 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2702126,M/S SUBASH CHANDRA SAMAL,19-Dec-2024 10:52 PM,Accepted-AOC,The L1 bidder has submitted all the required documents for agreement in time,02-Sep-2025 11:30 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2702529,Pravat Kumar Swain,18-Dec-2024 03:56 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-May-2025 01:06 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2705008,PRIYADARSHANEE ANUSHMITA PANDA,20-Dec-2024 03:28 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-May-2025 01:06 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2705002,SAMBIT KUMAR JENA,20-Dec-2024 03:28 PM,Rejected-AOC,Rejected as L2 bidder,02-Sep-2025 11:30 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
