EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"20,400",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Construction of 12 Nos. Recharge Shaft in Tank/ Ponds of Baliapal Block of Balasore District Under ARUA Scheme for the FY 2025-26,Construction of 12 Nos. Recharge Shaft in Tank/ Ponds of Baliapal Block of Balasore District Under ARUA Scheme for the FY 2025-26,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,90.0,60.0,BALIAPAL,756026.0,NA ,NA ,NA ,"O/O the Deputy Director, Geology, GWD, Baripada",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,TENDER DOCUMENT,12-May-2025 11:00 AM,22-May-2025 09:00 AM,12-May-2025 11:00 AM,21-May-2025 01:00 PM,NA ,NA ,12-May-2025 11:00 AM,21-May-2025 01:00 PM,Ground Water Survey and Investigation,03/GWDBPD/ARUA/2025-26,2025_GWSI_113285_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Deputy Director Geology,"O/O the Deputy Director Geology, GWD Division, Baripada, At/Po- Takatpur, Baripada, Mayurbhanj-757003",AOC,DINESH KUMAR NAYAK,Internal,DINESH KUMAR NAYAK JYOTI RANJAN MISHRA KHELARAM SOREN LAXMIPRIYA TUDU DIBYKANTA DAS,Dinesh Kumar Nayak,23-May-2025 08:41 AM,finsummary_539036.pdf (890.40 KB),Finance,30 bidders have participated in the bid,Dinesh Kumar Nayak,22-May-2025 10:56 AM,finance_539036.pdf,BOQ Comparative Chart,05-Jun-2025,"INR 1,703,665.268",60.0,Dinesh Kumar Nayak,20-Sep-2025 11:49 AM,03GWDBPDARUA.pdf (469.00 KB),1,2926553,ABANTI DAS ADHIKARI,20-May-2025 06:24 PM,Rejected-AOC,"Rejected in the Transparent Lottery System Held on the Dt.30.05.2025 at O/O the Deputy Director Geology, GWD Division, Baripada.",20-Sep-2025 11:49 AM,Ground Water Survey and Investigation,2025_GWSI_113285_1,03/GWDBPD/ARUA/2025-26,Construction of 12 Nos. Recharge Shaft in Tank/ Ponds of Baliapal Block of Balasore District Under ARUA Scheme for the FY 2025-26,1.0,2923573.0,RAJAT KUMAR SWAIN,INR,"1,703,665.268",DINESH KUMAR NAYAK,Internal,DINESH KUMAR NAYAK JYOTI RANJAN MISHRA KHELARAM SOREN LAXMIPRIYA TUDU DIBYAKANTA DAS,Dinesh Kumar Nayak,23-May-2025 08:25 AM,techsummary_539036.pdf (890.40 KB),AOC
,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2927251,AMBIKA PRASAD MALIK,21-May-2025 12:56 PM,Rejected-AOC,"Rejected in the Transparent Lottery System Held on the Dt.30.05.2025 at O/O the Deputy Director Geology, GWD Division, Baripada.",20-Sep-2025 11:49 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,2926161,ANUSUYA NAYAK,20-May-2025 01:24 PM,Rejected-AOC,"Rejected in the Transparent Lottery System Held on the Dt.30.05.2025 at O/O the Deputy Director Geology, GWD Division, Baripada.",20-Sep-2025 11:49 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,2926080,BALABHADRA NARAYAN DASH,20-May-2025 12:40 PM,Rejected-AOC,"Rejected in the Transparent Lottery System Held on the Dt.30.05.2025 at O/O the Deputy Director Geology, GWD Division, Baripada.",20-Sep-2025 11:49 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,2926016,BHARATA LAXMI BISWAL,21-May-2025 10:57 AM,Rejected-AOC,"Rejected in the Transparent Lottery System Held on the Dt.30.05.2025 at O/O the Deputy Director Geology, GWD Division, Baripada.",20-Sep-2025 11:49 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,2926654,BIBEKANANDA PRADHAN,20-May-2025 08:34 PM,Rejected-AOC,"Rejected in the Transparent Lottery System Held on the Dt.30.05.2025 at O/O the Deputy Director Geology, GWD Division, Baripada.",20-Sep-2025 11:49 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,2923751,CHANDRAKANTA SETHI,18-May-2025 06:31 PM,Rejected-AOC,"Rejected in the Transparent Lottery System Held on the Dt.30.05.2025 at O/O the Deputy Director Geology, GWD Division, Baripada.",20-Sep-2025 11:49 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,2926577,DEEPARANI GOSWAMI,20-May-2025 06:49 PM,Rejected-AOC,"Rejected in the Transparent Lottery System Held on the Dt.30.05.2025 at O/O the Deputy Director Geology, GWD Division, Baripada.",20-Sep-2025 11:49 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,2925937,DIPTI RANJAN SAHOO,20-May-2025 11:02 AM,Rejected-AOC,"Rejected in the Transparent Lottery System Held on the Dt.30.05.2025 at O/O the Deputy Director Geology, GWD Division, Baripada.",20-Sep-2025 11:49 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,2918717,HRUSIKESH ROUT,15-May-2025 12:09 PM,Rejected-AOC,"Rejected in the Transparent Lottery System Held on the Dt.30.05.2025 at O/O the Deputy Director Geology, GWD Division, Baripada.",20-Sep-2025 11:49 AM,,,,,,,,,,,,,,,,AOC
