Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Rourkela Municipal Corporation,MC/RMC/23/2025,2025_RMC_114235_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela",05-Jun-2025 06:00 PM,17-Jun-2025 11:00 AM,05-Jun-2025 06:00 PM,16-Jun-2025 05:00 PM,NA ,NA ,05-Jun-2025 06:00 PM,16-Jun-2025 05:00 PM,"Renovation of Drain and Road back side of S.V.M School, Bisra Dahar Road, RMC, Rourkela.",Works,Please refer Tender documents. ,NA ,"13,05,000",Civil Works - Others,NA ,Tender,90.0,45.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela",No ,No,"13,050",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, EMD, GST, PAN, Paper cost and Other Documents as per DTCN",1.0,ICICI BANK,"6,000",Nil,Nil,No,AOC,1,2969023,ANITA SETHI,16-Jun-2025 01:59 PM,Rejected-Technical,By The Tender Committee,02-Sep-2025 04:47 PM,Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Birendra Nanda,02-Sep-2025 04:47 PM,techsummary_542277.pdf (3039.05 KB),Finance,EMD refund,Birendra Nanda,02-Sep-2025 04:00 PM,finance_542277.pdf,BOQ Comparative Chart,1.0,2964610.0,KARTIK DAS,INR,"1,109,703.3",03-Sep-2025,"INR 1,109,703.3",45.0,Manas Biswal,03-Sep-2025 04:10 PM,BID23.pdf (3039.00 KB),Awarded to Kartik Das,Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Manas Biswal,03-Sep-2025 03:42 PM,finsummary_542277.pdf (3039.05 KB),Rourkela Municipal Corporation,2025_RMC_114235_7,MC/RMC/23/2025,"Renovation of Drain and Road back side of S.V.M School, Bisra Dahar Road, RMC, Rourkela.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,AOC,2,2964610,KARTIK DAS,12-Jun-2025 05:50 PM,Accepted-AOC,By The Tender Committee,03-Sep-2025 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2969175,SHUSANTA KUMAR ROUT,16-Jun-2025 02:44 PM,Rejected-Technical,By The Tender Committee,02-Sep-2025 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
