Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Birendra Nanda,02-Sep-2025 04:58 PM,techsummary_542284.pdf (3039.05 KB),1.0,2968684.0,SUSHIL KUMAR SINGH,INR,"624,256.4",Rourkela Municipal Corporation,2025_RMC_114235_10,MC/RMC/23/2025,"Raising of compound wall with CC TV Camera Installation of nayabazar Govt. High School at Nayabazar, Ward No. 33, Rourkela",1,2963703,ARADHYA CONSTRUCTION,12-Jun-2025 01:19 PM,Rejected-Technical,By The Tender Committee,02-Sep-2025 04:58 PM,Finance,EMD refund,Birendra Nanda,02-Sep-2025 04:06 PM,finance_542284.pdf,BOQ Comparative Chart,Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Manas Biswal,03-Sep-2025 03:46 PM,finsummary_542284.pdf (3039.05 KB),03-Sep-2025,"INR 624,256.4",30.0,Manas Biswal,03-Sep-2025 04:16 PM,BID23.pdf (3039.00 KB),Awarded to Sushil Kumar Singh,AOC,"Raising of compound wall with CC TV Camera Installation of nayabazar Govt. High School at Nayabazar, Ward No. 33, Rourkela",Works,Please refer Tender documents. ,NA ,"7,34,000",Civil Works - Others,NA ,Tender,90.0,30.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela",No ,No,"4,000",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, EMD, GST, PAN, Paper cost and Other Documents as per DTCN",1.0,ICICI BANK,05-Jun-2025 06:00 PM,17-Jun-2025 11:00 AM,05-Jun-2025 06:00 PM,16-Jun-2025 05:00 PM,NA ,NA ,05-Jun-2025 06:00 PM,16-Jun-2025 05:00 PM,"Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela","7,340",Yes,fixed,,Nil,Nil,Rourkela Municipal Corporation,MC/RMC/23/2025,2025_RMC_114235_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,2,2965433,ARATI TRIPATHY,13-Jun-2025 12:46 PM,Rejected-Technical,By The Tender Committee,02-Sep-2025 04:58 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2969282,BABULA NAYAK,16-Jun-2025 03:04 PM,Rejected-Technical,By The Tender Committee,02-Sep-2025 04:58 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2969277,GANESH CONSTRUCTION PROP. GANESH SAHOO,16-Jun-2025 03:08 PM,Rejected-Technical,By The Tender Committee,02-Sep-2025 04:58 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2964622,KARTIK DAS,12-Jun-2025 05:57 PM,Rejected-Technical,By The Tender Committee,02-Sep-2025 04:58 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2965354,PRAMOD KUMAR MOHANTY,16-Jun-2025 02:22 PM,Rejected-Technical,By The Tender Committee,02-Sep-2025 04:58 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2964546,PRAVAT KUMAR BEHURA,12-Jun-2025 05:00 PM,Rejected-Technical,By The Tender Committee,02-Sep-2025 04:58 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2969584,RIDHI CONSTRUCTION,16-Jun-2025 04:15 PM,Rejected-Technical,By The Tender Committee,02-Sep-2025 04:58 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2969230,SHUSANTA KUMAR ROUT,16-Jun-2025 02:53 PM,Rejected-Technical,By The Tender Committee,02-Sep-2025 04:58 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2968684,SUSHIL KUMAR SINGH,16-Jun-2025 12:57 PM,Accepted-AOC,By The Tender Committee,03-Sep-2025 04:16 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
