Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"Cluster for Constn. of 24 nos. F type Qtrs. and B. Wall 110 Rft. at 3rd IR Bn., Kalinganagar, Jajpur",Building Work,Please refer Tender documents. ,NA ,"6,36,68,165",Civil Works - Buildings,NA ,Tender,90.0,365.0,Jajpur,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,19-Jun-2025 06:55 PM,07-Jul-2025 10:30 AM,19-Jun-2025 06:55 PM,05-Jul-2025 05:00 PM,NA ,NA ,19-Jun-2025 06:55 PM,05-Jul-2025 05:00 PM,21-Aug-2025 10:30 AM,Orissa State Police Housing and Welfare Corporation Ltd,06/OPHWC/2025-26,2025_OSPHW_114584_11,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",1.0,ICICI BANK,"6,36,700",Yes,fixed,,Nil,Nil,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"11,800",0.0,Nil,Nil,No,AOC,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,11-Sep-2025 03:16 PM,finsummary_543553.pdf (729.21 KB),Technical,5 Nos. of bidders have been participated,Bikram Keshari Malla,07-Jul-2025 05:08 PM,,AS PER TC MINUTES,Internal,AS PER TC MINUTES,Srikanta Samal,20-Aug-2025 04:38 PM,21-Aug-2025 10:30 AM,techsummary_543553.pdf (70.12 KB),Finance,financial bid opened,Bikram Keshari Malla,21-Aug-2025 11:43 AM,,BOQ Comparative Chart,1,2990206,ARUN KUMAR NAYAK,05-Jul-2025 02:27 PM,Rejected-Finance,DUE TO L2 BIDDER,11-Sep-2025 03:16 PM,Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_114584_11,06/OPHWC/2025-26,"Cluster for Constn. of 24 nos. F type Qtrs. and B. Wall 110 Rft. at 3rd IR Bn., Kalinganagar, Jajpur",1.0,2987726.0,PRITESH KUMAR JENA,INR,"55,072,963.11",11-Sep-2025,"INR 55,072,963.11",365.0,Bikram Keshari Malla,11-Sep-2025 03:24 PM,WORKORDERT.pdf (1367.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 10.09.2025,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,2986661,MESSERS DAKSHYA CONSTRUCTION,02-Jul-2025 03:13 PM,Rejected-Technical,Non-securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,20-Aug-2025 04:38 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,2990183,NIRAKAR SAMAL,05-Jul-2025 12:59 PM,Rejected-Finance,DUE TO L2 BIDDER,11-Sep-2025 03:16 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,2987726,PRITESH KUMAR JENA,04-Jul-2025 09:22 PM,Accepted-AOC,QUALIFIED BIDDER,11-Sep-2025 03:24 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,2990282,SANDEEP NAYAK,05-Jul-2025 01:41 PM,Rejected-Technical,Non submission of adequate similar nature of works as per DTCN Cl. No. 11 and 110 (k),20-Aug-2025 04:38 PM,,,,,,,,,,,,,,,,,AOC
