Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
17-Dec-2024 02:30 PM,09-Jan-2025 11:30 AM,17-Dec-2024 02:30 PM,08-Jan-2025 05:30 PM,NA ,NA ,17-Dec-2024 02:30 PM,08-Jan-2025 05:30 PM,23-Apr-2025 05:00 PM,"10,000",0.0,Nil,Nil,No,"10,14,000",Yes,fixed,,Nil,Nil,EIC-CIVIL,CE-ROADS-II-21/2024-25,2024_EICCL_108360_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,2nd Corrigendum,Date,,Improvement such as widening and strengthening of Baghdihi to Khadiamal road from 0/000 km to 4/000 km in the district of Jharsuguda under State Plan,Improvement such as widening and strengthening of Baghdihi to Khadiamal road from 0/000 km to 4/000 km in the district of Jharsuguda under State Plan,Please refer Tender documents. ,NA ,"10,13,90,477",Civil Works - Roads,NA ,Tender,90.0,270.0,Jharsuguda,751001.0,NA ,NA ,NA ,"O/o the E.I.C (Civil-Cum-Roads), Odisha",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost and EMD, GSTIN, PAN, RC and Affidavit","Chief Engineer, Roads-II, Odisha","O/o the E.I.C (Civil-Cum-Roads), Odisha, Nirman Soudha, New Building, Unit-V, Bhubaneswar.",AOC,1,2719635,BIJAY KUMAR AGARWAL,02-Jan-2025 12:41 PM,Accepted-AOC,Selected as L1 bidder,09-Sep-2025 05:22 PM,09-Sep-2025,"INR 86,192,045",270.0,Pradipta Kumar Nayak,09-Sep-2025 05:21 PM,AGREEMENT_BAGDIHI.pdf (2160.00 KB),47P1 of 2025-26,EIC Civil cum Roads,Internal,,Pradipta Kumar Nayak,22-Apr-2025 07:37 PM,23-Apr-2025 05:00 PM,techsummary_520750.pdf (333.87 KB),Finance,Opening,Pradipta Kumar Nayak,23-Apr-2025 05:28 PM,,BOQ Comparative Chart,EIC-CIVIL,2024_EICCL_108360_1,CE-ROADS-II-21/2024-25,Improvement such as widening and strengthening of Baghdihi to Khadiamal road from 0/000 km to 4/000 km in the district of Jharsuguda under State Plan,Technical,Opening,Pradipta Kumar Nayak,09-Jan-2025 03:50 PM,,CE Roads-I Odisha,Internal,,Pradipta Kumar Nayak,09-Sep-2025 05:18 PM,finsummary_520750.pdf (2160.46 KB),1.0,2719635.0,BIJAY KUMAR AGARWAL,INR,"86,192,045",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and work experience,,,AOC,2,2718845,Binod Kumar Agrawal,02-Jan-2025 11:26 AM,Rejected-AOC,L1 bidder,09-Sep-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,AOC,3,2722532,BISWAKARMAA SUBHANSU CHANDRASEKHAR,02-Jan-2025 02:53 PM,Rejected-AOC,L1 bidder,09-Sep-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantities,,,AOC,4,2737384,GOURAV CONSTRUCTION,08-Jan-2025 04:11 PM,Rejected-AOC,L1 bidder,09-Sep-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2715982,JAGADAMBA CONSTRUCTION,29-Dec-2024 07:30 PM,Rejected-AOC,L1 bidder,09-Sep-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2719101,MONALISA ENGICONS,02-Jan-2025 01:58 PM,Rejected-AOC,L1 bidder,09-Sep-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2720982,MS SHREE SHARDA CONSTRUCTIONS,02-Jan-2025 03:20 PM,Rejected-AOC,L1 bidder,09-Sep-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2719115,M/S SUMEET & ASSOCIATES,02-Jan-2025 01:40 PM,Rejected-AOC,L1 bidder,09-Sep-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2715650,Orient Constructions Pvt. Ltd.,02-Jan-2025 01:10 PM,Rejected-AOC,L1 bidder,09-Sep-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2736964,Paban Kumar Agrawal,08-Jan-2025 12:41 PM,Rejected-AOC,L1 bidder,09-Sep-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,2721717,SANDIP SHARMA,02-Jan-2025 11:59 AM,Rejected-Technical,Disqualified,22-Apr-2025 07:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,12,2709231,SANJIT KUMAR NAIK,02-Jan-2025 02:00 PM,Rejected-AOC,L1 bidder,09-Sep-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,13,2735778,SHANTI CONSTRUCTION SAMBALPUR PVT. LTD.,07-Jan-2025 08:02 PM,Rejected-AOC,L1 bidder,09-Sep-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,14,2721746,SHREE BISWAKARMA INFRA,02-Jan-2025 02:33 PM,Rejected-AOC,L1 bidder,09-Sep-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,15,2721667,Vinay Agrawal,08-Jan-2025 10:19 AM,Rejected-AOC,L1 bidder,09-Sep-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
