Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Chief Construction Engineer,Chief Construction Engineer Rayagada R and B Circle Rayagada PIN 765001,"10,000",0.0,Nil,Nil,No,1.0,Corrigendum,Date,,19-Aug-2024 09:00 AM,03-Sep-2024 11:00 AM,19-Aug-2024 09:00 AM,02-Sep-2024 05:00 PM,19-Aug-2024 09:00 AM ,27-Aug-2024 04:00 PM ,19-Aug-2024 09:00 AM,02-Sep-2024 05:00 PM,11-Feb-2025 12:00 PM,1.0,ICICI BANK,"Construction of 4 nos (S plus 2) D Type, 6 nos (S plus 3) E Type and 2 nos ( S plus 1) F Type Staff Quarter for CHC Kolnara, in the District of Rayagada (Civil, EI and PH)",Building Works,Please refer Tender documents. ,NA ,"5,98,76,738",Civil Works - Buildings,NA ,Tender,90.0,360.0,Rayagada,765001.0,NA ,NA ,NA ,CCE Rayagada R and B Circle,No ,No,EIC-CIVIL||SERNB-CIRCLE-RAYAGADA,CCE R and B RGDA- 03/2024-25,2024_EICCL_104150_5,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"5,98,800",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender paper, EMD, PAN, GSTIN,GSTRC,Labour license, Affidavit, Regd Certificate",AOC,EIC-CIVIL||SERNB-CIRCLE-RAYAGADA,2024_EICCL_104150_5,CCE R and B RGDA- 03/2024-25,"Construction of 4 nos (S plus 2) D Type, 6 nos (S plus 3) E Type and 2 nos ( S plus 1) F Type Staff Quarter for CHC Kolnara, in the District of Rayagada (Civil, EI and PH)",Technical,Ten nos of bidders are participated and for technical evaluation,Sanjog Kumar Meher,10-Sep-2024 01:08 PM,technical_505058.pdf,CCE Rayagada,Internal,SE DAO PA to CCE Estimator,Sanjog Kumar Meher,03-Mar-2025 05:01 PM,finsummary_505058.pdf (112.38 KB),1.0,2537418.0,M NAGESWAR RAO,INR,"53,296,284",1,2539539,ARUPANAND BISWAL,02-Sep-2024 02:14 PM,Rejected-AOC,Qualified,03-Sep-2025 12:03 PM,03-Sep-2025,"INR 53,296,284",360.0,Sanjog Kumar Meher,03-Sep-2025 12:03 PM,work_orderCHC_Kolnara.pdf (1165.00 KB),Work awarded to Sri M N Rao vide Letter No. 7868 Dt. 20.08.2025 of SE Rgda Div No-I,CCE Rayagada,Internal,SE DAO PA to CCE Estimator,Sanjog Kumar Meher,07-Feb-2025 08:31 PM,11-Feb-2025 12:00 PM,techsummary_505058.pdf (601.32 KB),Finance,Financial Bid is uploaded,Pratima Sabar,03-Mar-2025 04:48 PM,finance_505058.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience and other Documents as per DTCN,AOC,,,,,,,,,,,,,,,,,,,,,2,2538829,kamal kishor agrawal,02-Sep-2024 02:13 PM,Rejected-Technical,Disqualified as per Evaluation Sheet,07-Feb-2025 08:31 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,3,2536241,MANOJ KUMAR CHOUDHURY,02-Sep-2024 01:04 PM,Rejected-AOC,Qualified,03-Sep-2025 12:03 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,2537418,M NAGESWAR RAO,31-Aug-2024 08:03 PM,Accepted-AOC,work awarded,03-Sep-2025 12:03 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,2538719,Raghunandan Agrawal,01-Sep-2024 02:37 PM,Rejected-AOC,Qualified,03-Sep-2025 12:03 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,2538964,SMT. BUGATA JYOTI,31-Aug-2024 10:53 PM,Rejected-Technical,Disqualified as per Evaluation Sheet,07-Feb-2025 08:31 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,2539712,SOURAV AGRAWAL,02-Sep-2024 04:18 PM,Rejected-Technical,Disqualified as per Evaluation Sheet,07-Feb-2025 08:31 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,2539145,SRI SUBASH CHANDRA SAHU,02-Sep-2024 01:31 PM,Rejected-Finance,Fourth Lowest,03-Mar-2025 05:01 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,2539713,SUJEET KUMAR,02-Sep-2024 04:32 PM,Rejected-AOC,Qualified,03-Sep-2025 12:03 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,2539342,SUJIT NAYAK,02-Sep-2024 03:21 PM,Rejected-AOC,Qualified,03-Sep-2025 12:03 PM,,,,,,,,,,,,,,,,,,,,,AOC
