Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
17-May-2025 11:00 AM,09-Jun-2025 11:30 AM,17-May-2025 11:00 AM,06-Jun-2025 05:00 PM,17-May-2025 11:00 AM ,05-Jun-2025 01:00 PM ,17-May-2025 11:00 AM,06-Jun-2025 05:00 PM,14-Jul-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,CE-NH||NHCIRCLE-SAMBALPUR||EENH-DIVN-KESINGA,EENH-KSNG-Online-02/2025-26,2025_CENH_113477_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Execuvive Engineer,"O/o the Executive Engineer, N.H Division,Kesinga",1.0,Fee/PreQual/Technical,.pdf,"PAN, GST,No relation Certificate, R.C and other document as per DTCN",1.0,ICICI BANK,"Construction of New RCC Drains in builtup area of Dharamagarh town, Bandaakutura village and Chhilipa Village of NH- 130C for the year 2025-26","Construction of New RCC Drains in builtup area of Dharamagarh town, Bandaakutura village and Chhilipa Village of NH- 130C for the year 2025-26",Please refer Tender documents. ,NA ,"59,06,448",Civil Works - Roads,NA ,Tender,90.0,90.0,Kesinga,766012.0,NA ,NA ,NA ,"O/o the E.E, N.H Division,Kesinga",No ,No,"59,000",Yes,fixed,,Nil,Nil,AOC,"Tapan Kumar Mohalik, SE",Internal,"Sri Surya Chhatria, AEE, Sri Shuvam, DA, Sri Umakanta Dalai, Estimator, Sri Anil Kumar Naik JE",Tapan Kumar Mohalik,10-Jul-2025 01:54 PM,14-Jul-2025 11:00 AM,techsummary_539615.pdf (767.19 KB),1.0,2943923.0,Bolakrushna Behera,INR,"5,021,072",CE-NH||NHCIRCLE-SAMBALPUR||EENH-DIVN-KESINGA,2025_CENH_113477_1,EENH-KSNG-Online-02/2025-26,"Construction of New RCC Drains in builtup area of Dharamagarh town, Bandaakutura village and Chhilipa Village of NH- 130C for the year 2025-26",Finance,15 nos bidder,Tapan Kumar Mohalik,02-Aug-2025 05:55 PM,finance_539615.pdf,BOQ Comparative Chart,Technical,15 nos bidder are admitted,Tapan Kumar Mohalik,09-Jun-2025 01:08 PM,,1,2954253,ABHINANDAN PANDA,06-Jun-2025 01:58 PM,Rejected-AOC,As per transparent lottery system,17-Sep-2025 10:55 AM,Tapan Kumar Mohalik,Internal,"Surya Chhatria, AEE, Shivam, DA, Umakant Dalai, Estimator, Anil kumar Naik, JE",Tapan Kumar Mohalik,02-Aug-2025 06:21 PM,finsummary_539615.pdf (773.47 KB),04-Sep-2025,"INR 5,906,448",90.0,Tapan Kumar Mohalik,17-Sep-2025 10:55 AM,2132.pdf (519.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2943923,Bolakrushna Behera,30-May-2025 07:17 PM,Accepted-AOC,As per transparent lottery system,17-Sep-2025 10:55 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2950719,Chanchal Mahapatra,04-Jun-2025 11:20 AM,Rejected-AOC,As per transparent lottery system,17-Sep-2025 10:55 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2954227,CH SUBASH CHANDRA PATRO,06-Jun-2025 02:43 PM,Rejected-AOC,As per transparent lottery system,17-Sep-2025 10:55 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2928813,DISHAISHA UDYOG PRIVATE LIMITED,31-May-2025 09:00 PM,Rejected-AOC,As per transparent lottery system,17-Sep-2025 10:55 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2951059,ISWAR CHANDRA MEHER,06-Jun-2025 12:15 PM,Rejected-AOC,As per transparent lottery system,17-Sep-2025 10:55 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2954525,Jitendra Kumar Naik,06-Jun-2025 03:34 PM,Rejected-AOC,As per transparent lottery system,17-Sep-2025 10:55 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2954041,M/S MAA MANGALA CONSTRUCTION,06-Jun-2025 01:47 PM,Rejected-AOC,As per transparent lottery system,17-Sep-2025 10:55 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2954048,M/S SHREE SHYAM REALCON,06-Jun-2025 02:48 PM,Rejected-AOC,As per transparent lottery system,17-Sep-2025 10:55 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2949112,RAMA CHANDRA SAHU,02-Jun-2025 05:44 PM,Rejected-AOC,As per transparent lottery system,17-Sep-2025 10:55 AM,,,,,,,,,,,,,AOC
