Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"RC, GSTIN, AFFIDAVIT, PAN, GST AND IT RETURN","53,280",Yes,fixed,,Nil,Nil,Odisha Cooperative Tasar and Silk Federation LTD,VI-46(14)/SERIFED/2025-26/1003,2025_SERIF_116326_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,04-Aug-2025 10:00 AM,20-Aug-2025 11:30 AM,04-Aug-2025 10:00 AM,19-Aug-2025 05:00 PM,NA ,NA ,04-Aug-2025 10:00 AM,19-Aug-2025 05:00 PM,02-Sep-2025 05:00 PM,"Managing Director, SERIFED","Office of the Managing Director, SERIFED, Saheed Nagar, Bhubaneswar-751007",Construction of Integrated Weaving Centre at Sri Bishnu WCS Gopalpur in Jajpur District,Construction of Integrated Weaving Centre at Sri Bishnu WCS Gopalpur in Jajpur District,Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,90.0,270.0,"Gopalpur, Jajpur",755008.0,NA ,NA ,NA ,"SERIFED, Bhubaneswar",No ,No,"11,800",Nil,Nil,No,AOC,Technical,Total one no of bidder have participated in tender,Laxman Behera,20-Aug-2025 02:04 PM,,Odisha Cooperative Tasar and Silk Federation LTD,2025_SERIF_116326_1,VI-46(14)/SERIFED/2025-26/1003,Construction of Integrated Weaving Centre at Sri Bishnu WCS Gopalpur in Jajpur District,"Managing Director, SERIFED",Internal,"Secretary SERIFED, Assistant Engineer, Accounts I/C SERIFED, Junior Engineer SERIFED, Office Assistant (C)",Laxman Behera,12-Sep-2025 04:06 PM,finsummary_547992.pdf (685.32 KB),1.0,3040421.0,AJAY KUMAR MOHANTY,INR,"5,113,299.87",16-Sep-2025,"INR 5,113,299.87",270.0,Laxman Behera,16-Sep-2025 01:48 PM,AOCINTEGRATED.pdf (661.00 KB),L1 1st Lowest Rate Quoted,1.0,3040421.0,AJAY KUMAR MOHANTY,19-Aug-2025 01:37 PM,Accepted-AOC,L1 1st lowest rate quoted,16-Sep-2025 01:48 PM,"Managing Director, SERIFED",Internal,"Secretary SERIFED, Assistant Engineer, Accounts I/C SERIFED, Junior Engineer SERIFED, Technical Assistant (C)",Laxman Behera,02-Sep-2025 02:32 PM,02-Sep-2025 05:00 PM,techsummary_547992.pdf (660.22 KB),Finance,One no of bidders have participated sucessfully,Laxman Behera,02-Sep-2025 05:39 PM,,BOQ Comparative Chart,AOC
,,.pdf,All other documents as per DTCN and Tender Criterion,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
