Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
25-Aug-2025 06:30 PM,03-Sep-2025 04:00 PM,25-Aug-2025 06:30 PM,03-Sep-2025 04:00 PM,NA ,NA ,25-Aug-2025 06:30 PM,03-Sep-2025 04:00 PM,11-Sep-2025 12:45 PM,1.0,ICICI BANK,"10,000",No,fixed,,Nil,Nil,0.0,Nil,Nil,No,Member Secretary,"Member Secretary,State Pollution Control Board,Odisha",Purchase of Laboratory Instrument,Sound Level Meter (Class-I) with 5 years warranty,Please refer Tender documents. ,NA ,,Laboratory and scientific equipment,Goods ,Tender,90.0,15.0,Goods,751012.0,NA ,NA ,NA ,"SPCB A/118 Paribesh Bhawan,Nilakanthanagar, Unit-8",No ,No,STATE POLLUTION CONTROL BOARD ODISHA,VI/SC(LCM)/Purch-305/2025-26,2025_SPCB_117344_1,Yes,National Competitive Bid,Item Rate,Goods,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Purchase of Laboratory Instrument Sound Level Meter (Class-I) with 5 year warranty,AOC,Finance,5th Technical committee proceeding has signed by the committee members and all the details are mentioned in proceeding.,Ramakanta Sarangi,18-Sep-2025 02:31 PM,finance_550496.pdf,BOQ Comparative Chart,Technical,The committee decided to open the technical bid of the 10 nos of the bidder participate against our bid among of them 6 nos of the bidder have disqualified on technical ground and rest of 4 nos firm have qualified for commercial evaluation proceeding.,Ramakanta Sarangi,11-Sep-2025 12:16 PM,technical_550496.pdf,1,3062369,AMSH Product Line Pvt Ltd,03-Sep-2025 03:54 PM,Rejected-AOC,As per committee proceeding,18-Sep-2025 03:07 PM,18-Sep-2025,"INR 147,500",15.0,Ramakanta Sarangi,18-Sep-2025 03:07 PM,Noiselevelmeter.pdf (1798.00 KB),Supply of 13 nos of Noise Level Meter,N Mallick OSD - Cum-CES,Internal,N Mallick H N Nayak Dr G K Surabhi Kainta Tudu ACES R K Sarangi SAO Amulyeswar Naik AAO MR S K Mohanty Sri B Jena Sri S S Mohanty,Ramakanta Sarangi,18-Sep-2025 02:42 PM,finsummary_550496.pdf (674.96 KB),Member Secretary,Internal,NMallickGksurabhiRsarngiSmohantyKtuduANayak,Ramakanta Sarangi,11-Sep-2025 12:32 PM,11-Sep-2025 12:45 PM,techsummary_550496.pdf (1753.90 KB),STATE POLLUTION CONTROL BOARD ODISHA,2025_SPCB_117344_1,VI/SC(LCM)/Purch-305/2025-26,Purchase of Laboratory Instrument,1.0,3052150.0,Arihant Trading Corporation,INR,"147,500",AOC
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,AOC,,,,,,,,,,,,2,3052150,Arihant Trading Corporation,29-Aug-2025 06:01 PM,Accepted-AOC,As per committee proceeding,18-Sep-2025 03:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,3062340,Electro Mechanical Enterprises,03-Sep-2025 03:58 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,11-Sep-2025 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,3053082,Envirotech Instruments Pvt Ltd,03-Sep-2025 01:29 PM,Rejected-AOC,As per committee proceeding,18-Sep-2025 03:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,3061273,Green Enviro International Private Limited,02-Sep-2025 05:22 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,11-Sep-2025 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,3055957,M.I.M Technicians,01-Sep-2025 03:50 PM,Rejected-AOC,As per committee proceeding,18-Sep-2025 03:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,3056533,M/s Lifeline Security and System,30-Aug-2025 10:45 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,11-Sep-2025 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,3056324,R R TECHNOLOGIES,03-Sep-2025 10:57 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,11-Sep-2025 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,3056123,Swan Environmental Pvt. Ltd,03-Sep-2025 10:19 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,11-Sep-2025 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,3056639,UNNAT EXPORTS (OPC) PRIVATE LIMITED,03-Sep-2025 03:14 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,11-Sep-2025 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
