S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,"9,327",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"EPF,ESI,GST,RC,PAN,ADHAAR,LC,EMD as per DTCN",30-Jun-2025 12:15 PM,08-Jul-2025 11:00 AM,30-Jun-2025 12:15 PM,07-Jul-2025 05:00 PM,NA ,NA ,30-Jun-2025 12:15 PM,07-Jul-2025 05:00 PM,Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Salapada,SE/MDS-01(3)/2025-26,2025_CEMWR_114983_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,S.E Mechanical Salapada,Office of SE Mechanical Division Salapada Keonjhar Odisha 758020,"4,000",0.0,Nil,Nil,No,Supply Fabrication Erection Testing and Commissioning of 01 No HR Gate of Tentala Distributary at 16010m Kanpur Main Canal under Kanpur Canal Division I Jhumpura,Gate Works,Please refer Tender documents. ,NA ,"9,32,692",Mechanical Works,NA ,Tender,90.0,30.0,Jhumpura,758031.0,NA ,NA ,NA ,Office of SE Mechanical Division Salapada,No ,No,AOC,16-Aug-2025,"INR 792,881.47",30.0,RAJENDRA KUMAR MARNDI,16-Sep-2025 05:28 PM,AOC3.pdf (632.00 KB),1,2989126,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",05-Jul-2025 05:42 PM,Rejected-Finance,Loser of Lottery,28-Jul-2025 11:56 AM,Rajendra Marndi,Internal,"ESTIMATOR cum AEE,DAO,SE",RAJENDRA KUMAR MARNDI,14-Jul-2025 06:40 PM,techsummary_544696.pdf (993.81 KB),Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar||EE Mechanical Division Salapada,2025_CEMWR_114983_1,SE/MDS-01(3)/2025-26,Supply Fabrication Erection Testing and Commissioning of 01 No HR Gate of Tentala Distributary at 16010m Kanpur Main Canal under Kanpur Canal Division I Jhumpura,Rajendra Marndi,Internal,"SE,DAO,ESTIMATOR",RAJENDRA KUMAR MARNDI,28-Jul-2025 11:56 AM,finsummary_544696.pdf (628.22 KB),Finance,All the bid documents are downloaded successfully.,RAJENDRA KUMAR MARNDI,14-Jul-2025 01:19 PM,,BOQ Comparative Chart,1.0,2989536.0,M/S KALINGA METAL PRODUCT (PROP. SMT BASANTILATA MOHANTY,INR,"792,881.47",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,2992414,BAANI CONSTRUCTION,07-Jul-2025 04:36 PM,Rejected-Technical,Documents are not furnished as per DTCN,14-Jul-2025 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,2988544,BANASHREE BHUYAN,07-Jul-2025 12:15 PM,Rejected-Finance,Loser of Lottery,28-Jul-2025 11:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,2988498,M/S Abirvab Steel Product,05-Jul-2025 03:56 PM,Rejected-Finance,Loser of Lottery,28-Jul-2025 11:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,2985018,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,06-Jul-2025 01:17 PM,Rejected-Finance,Loser of Lottery,28-Jul-2025 11:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,2988526,M/S Ashreebad Fabricators,05-Jul-2025 04:38 PM,Rejected-Finance,Loser of Lottery,28-Jul-2025 11:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,2985037,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,06-Jul-2025 01:36 PM,Rejected-Finance,Loser of Lottery,28-Jul-2025 11:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,2991909,M/S JAGANNATH AGRICULTURAL IMPLEMENTS WORKSHOP,07-Jul-2025 03:53 PM,Rejected-Finance,Loser of Lottery,28-Jul-2025 11:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,2989536,M/S KALINGA METAL PRODUCT (PROP. SMT BASANTILATA MOHANTY,05-Jul-2025 08:32 AM,Accepted-AOC,Winner of the lottery,16-Sep-2025 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,2989495,"M/S MOHANTY INDUSTRIAL ENTERPRISERS -PROPRIETOR ,MALAYA KUMAR MOHANTY",05-Jul-2025 07:47 AM,Rejected-Finance,Loser of Lottery,28-Jul-2025 11:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
