S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,2951027.0,ABHIJIT MOHAPATRA,INR,"5,822,460",EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-BARIPADA,2025_EICCL_113696_2,Bid Id No. SE- 03/2025-26,S/R such as repair to damaged carriageway with SDBC of Chipat Junction to Baripada Baghra Road (ODR) from 2.630 km to 4.550 km for the year 2025-26,Technical,Bid opened,Ansuman Mohapatra,17-Jun-2025 12:02 PM,technical_540580.pdf,Er Rohan Gourav Ray,Internal,"Er Rohan Gourav Ray SE, Sri J.J.S.G Richards Sr DAO, Sri R. Kishan AEE Estimator",Ansuman Mohapatra,06-Sep-2025 04:57 PM,finsummary_540580.pdf (269.09 KB),Er Rohan Gourav Ray,Internal,"Er Rohan Gourav Ray SE, Sri J.J.S.G Richards Sr DAO, Sri R. Kishan AEE Estimator",Ansuman Mohapatra,17-Jun-2025 12:09 PM,17-Jun-2025 12:15 PM,techsummary_540580.pdf (148.19 KB),Finance,Financial bid opened,Ansuman Mohapatra,06-Sep-2025 04:44 PM,finance_540580.pdf,BOQ Comparative Chart,06-Sep-2025,"INR 5,822,460",60.0,Ansuman Mohapatra,06-Sep-2025 05:04 PM,Agmt.pdf (216.00 KB),Agreement drawn,1,2951027,ABHIJIT MOHAPATRA,04-Jun-2025 12:58 PM,Accepted-AOC,Work order issued,06-Sep-2025 05:04 PM,AOC,SE Mayurbhanj (R and B) Division Baripada,O/o the SE Mayurbhanj (R and B) Division Baripada,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"RC, EMD, GSTIN, PAN, Affidavit, Machinery and other required documents as per DTCN",1.0,Date Corrigendum,Date,,1.0,ICICI BANK,"68,500",Yes,fixed,,Nil,Nil,21-May-2025 01:15 PM,05-Jun-2025 11:00 AM,21-May-2025 01:15 PM,04-Jun-2025 05:00 PM,21-May-2025 01:15 PM ,04-Jun-2025 05:00 PM ,21-May-2025 01:15 PM,04-Jun-2025 05:00 PM,17-Jun-2025 12:15 PM,EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-BARIPADA,Bid Id No. SE- 03/2025-26,2025_EICCL_113696_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,S/R such as repair to damaged carriageway with SDBC of Chipat Junction to Baripada Baghra Road (ODR) from 2.630 km to 4.550 km for the year 2025-26,S/R such as repair to damaged carriageway with SDBC of Chipat Junction to Baripada Baghra Road (ODR) from 2.630 km to 4.550 km for the year 2025-26,Please refer Tender documents. ,NA ,"68,49,150",Civil Works - Roads,NA ,Tender,90.0,60.0,Baripada,757001.0,NA ,NA ,NA ,O/o the SE Mayurbhanj (R and B) Division Baripada,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2951396,AKASH PRASAD,04-Jun-2025 04:56 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,06-Sep-2025 04:57 PM,AOC,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2950826,ARPIT ROUT,04-Jun-2025 12:00 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,06-Sep-2025 04:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2949360,ARUN KUMAR SARGHARIA,04-Jun-2025 01:42 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,06-Sep-2025 04:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2950583,ASISHRANJAN SETHI,04-Jun-2025 06:28 AM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,06-Sep-2025 04:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2950548,BISESWAR BEHERA,04-Jun-2025 01:14 AM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,06-Sep-2025 04:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2949911,BISWANATH SINGH,03-Jun-2025 05:41 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,06-Sep-2025 04:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2936278,DAIPAYAN BEHERA,29-May-2025 01:37 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,06-Sep-2025 04:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2951322,Debasis Das,04-Jun-2025 03:48 PM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,06-Sep-2025 04:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2930709,-DHIRENDRA KUMAR BEHERA,04-Jun-2025 08:30 AM,Rejected-Finance,L1 tenderer but could not win the transparent lottery context,06-Sep-2025 04:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
