Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,tender opened ana admitted,Vedbhushan .,25-Mar-2025 03:33 PM,finance_532064.pdf,BOQ Comparative Chart,08-Sep-2025,"INR 775,799.24",60.0,PADMINI MEHER,08-Sep-2025 11:27 AM,32SMC22.pdf (1635.00 KB),successful,Municipal Bodies||Sambalpur Municipal Corporation,2025_ORULB_111170_22,32/SMC_SBP/2024-25,Construction of paver road from charbhati chowk fish shop towards conoly in w.no-34,1.0,2859174.0,S.P. INFRA,INR,"775,799.24",1.0,2859174.0,S.P. INFRA,17-Mar-2025 03:24 PM,Accepted-AOC,successful,08-Sep-2025 11:27 AM,"Siddheshwar Baliram Bondar,IAS",Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",PADMINI MEHER,08-Sep-2025 11:23 AM,techsummary_532064.pdf (1634.73 KB),"Siddheshwar Baliram Bondar,IAS",Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",PADMINI MEHER,08-Sep-2025 11:25 AM,finsummary_532064.pdf (1634.73 KB),AOC,Construction of paver road from charbhati chowk fish shop towards conoly in w.no-34,Construction of paver road from charbhati chowk fish shop towards conoly in w.no-34,Please refer Tender documents. ,NA ,"7,75,800",Civil Works - Others,NA ,Tender,120.0,60.0,SAMBALPUR MUNICIPAL CORPORATION,768006.0,NA ,NA ,NA ,SAMBALPUR MUNICIPAL CORPORATION,No ,No,06-Mar-2025 11:00 AM,18-Mar-2025 11:00 AM,06-Mar-2025 11:00 AM,17-Mar-2025 05:00 PM,NA ,NA ,06-Mar-2025 11:00 AM,17-Mar-2025 05:00 PM,"COMMISSIONER, SMC","New Office Building, SMC Durgapali,Sambalpur",1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor license, Tender Fees, EMD, GST, PAN, Affidavits, Appendix etc. as per DTCN","4,000",0.0,Nil,Nil,No,1,ICICI BANK,Municipal Bodies||Sambalpur Municipal Corporation,32/SMC_SBP/2024-25,2025_ORULB_111170_22,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"7,758",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
