S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,2973919.0,ALOK KUMAR BOHIDAR,INR,"1,291,622",Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bolangir,2025_OLIC_114438_5,OLIC-BLGR-01/2025-26,Revival of Jhankarpali defunct L.I.Project under Agalpur Block (State Plan Fund),EE,Internal,EE and others,APARNA MISHRA,27-Sep-2025 07:34 PM,techsummary_543039.pdf (199.13 KB),27-Sep-2025,"INR 1,519,376",90.0,APARNA MISHRA,27-Sep-2025 07:46 PM,5.pdf (1004.00 KB),Success on Lottery System,Finance,11 Nos. Bidder Participated,APARNA MISHRA,27-Sep-2025 07:22 PM,,BOQ Comparative Chart,EE,Internal,EE and others,APARNA MISHRA,27-Sep-2025 07:43 PM,finsummary_543039.pdf (199.13 KB),1,2978950,ACHYUTANAND RAUT,24-Jun-2025 11:54 AM,Rejected-Finance,Unsuccess on Lottery System,27-Sep-2025 07:43 PM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, PAN, GSTIN, AFFIDAVIT, EMD, PAPER COST, NO RELATION CERTIFICATE AND OTHER DOCUMENTS AS PER DTCN",1.0,ICICI BANK,"E.E., L.I. Division, Balangir","O/O. the E.E., L.I. Division, Balangir","7,080",0.0,Nil,Nil,No,"15,194",Yes,percentage,1.0%,Nil,Nil,Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bolangir,OLIC-BLGR-01/2025-26,2025_OLIC_114438_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,17-Jun-2025 11:00 AM,25-Jun-2025 11:00 AM,17-Jun-2025 11:00 AM,24-Jun-2025 05:00 PM,17-Jun-2025 11:00 AM ,23-Jun-2025 05:00 PM ,17-Jun-2025 11:00 AM,24-Jun-2025 05:00 PM,Revival of Jhankarpali defunct L.I.Project under Agalpur Block (State Plan Fund),Revival of Jhankarpali defunct L.I.Project under Agalpur Block (State Plan Fund),Please refer Tender documents. ,NA ,"15,19,376",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,BALANGIR,767002.0,NA ,NA ,NA ,"O/O. the E.E., L.I. Division, Balangir",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2973919,ALOK KUMAR BOHIDAR,20-Jun-2025 11:36 AM,Accepted-AOC,Success on Lottery System,27-Sep-2025 07:46 PM,AOC,,,.xls,BILL OF QUANTITY,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2977766,BIJAYA KUMAR JAIN,24-Jun-2025 02:12 PM,Rejected-Finance,Unsuccess on Lottery System,27-Sep-2025 07:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2978295,CHANDRAKANTI SAHU,23-Jun-2025 02:09 PM,Rejected-Finance,Unsuccess on Lottery System,27-Sep-2025 07:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2974913,Dukhanasana Sethi,24-Jun-2025 11:09 AM,Rejected-Finance,Unsuccess on Lottery System,27-Sep-2025 07:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2973440,MAITHILI PANIGRAHI,21-Jun-2025 11:55 AM,Rejected-Finance,Unsuccess on Lottery System,27-Sep-2025 07:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2976301,MS Shree Shyam and Co,23-Jun-2025 11:56 AM,Rejected-Finance,Unsuccess on Lottery System,27-Sep-2025 07:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2978247,PRASANTA KUMAR RATH,23-Jun-2025 04:09 PM,Rejected-Finance,Unsuccess on Lottery System,27-Sep-2025 07:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2978891,RAHUL KUMAR SAHU,24-Jun-2025 11:13 AM,Rejected-Finance,Unsuccess on Lottery System,27-Sep-2025 07:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2978967,RATHA MEHER,24-Jun-2025 12:34 PM,Rejected-Finance,Unsuccess on Lottery System,27-Sep-2025 07:43 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
