S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,2950592.0,MOHIT ANAND,INR,"5,429,793",Technical,Technical Evaluation Committee,Sasmita Munduri,21-Jun-2025 01:17 PM,technical_540994.pdf,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NAYAGARH,2025_CERWI_113813_1,TENDERONLINEDNAYAGARH12526,Construction of 2 nos E type Qtr at Kajalaipalli PHC under Odagaon Block for the year 2024-25,EE,Internal,"EE, DAO AND ESTIMATOR",Sasmita Munduri,18-Sep-2025 05:50 PM,finsummary_540994.pdf (476.53 KB),EE,Internal,EE DAO AND ESTIMATOR,Sasmita Munduri,21-Jun-2025 01:21 PM,26-Jun-2025 11:00 AM,techsummary_540994.pdf (486.23 KB),Finance,Comparative Statement,Sasmita Munduri,18-Sep-2025 05:46 PM,finance_540994.pdf,BOQ Comparative Chart,18-Sep-2025,"INR 5,429,793",180.0,Sasmita Munduri,18-Sep-2025 05:53 PM,4946.pdf (700.00 KB),15P1 OF 2025-26,1,2949713,KUMUD CHANDRA MOHAPATRA,04-Jun-2025 02:01 PM,Rejected-AOC,L1,18-Sep-2025 05:53 PM,AOC,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,Executive Engineer,"RURAL WORKS DIVISION, NAYAGARH",Construction of 2 nos E type Qtr at Kajalaipalli PHC under Odagaon Block for the year 2024-25,Construction of 2 nos E type Qtr at Kajalaipalli PHC under Odagaon Block for the year 2024-25,NA ,NA ,"63,87,240",Civil Works - Buildings,NA ,Tender,90.0,180.0,Nayagarh,752070.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, NAYAGARH",No ,No,"63,872",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,DTCN.pdfvalidPANGSTContractorlicenceetcasDTCN,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NAYAGARH,TENDERONLINEDNAYAGARH12526,2025_CERWI_113813_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,24-May-2025 11:00 AM,05-Jun-2025 11:00 AM,24-May-2025 11:00 AM,04-Jun-2025 05:30 PM,24-May-2025 11:00 AM ,04-Jun-2025 05:30 PM ,24-May-2025 11:00 AM,04-Jun-2025 05:30 PM,26-Jun-2025 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2950604,MANORANJAN DALEI,04-Jun-2025 04:21 PM,Rejected-AOC,L1,18-Sep-2025 05:53 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ.XLS,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2950592,MOHIT ANAND,04-Jun-2025 07:25 AM,Accepted-AOC,AOC,18-Sep-2025 05:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2950819,M/S SILICON INTERIORS,04-Jun-2025 04:09 PM,Rejected-AOC,L1,18-Sep-2025 05:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2951032,PRAMOD NAYAK,04-Jun-2025 01:00 PM,Rejected-AOC,L1,18-Sep-2025 05:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
