Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
03-Sep-2025,"INR 3,074,837",180.0,Gadardhar Patra,03-Sep-2025 03:26 PM,work17.pdf (1034.00 KB),"ST and SC Development Deptt||ITDA, Phulbani",2025_STSCD_114522_17,PAITDA PLB_01 OF 2025-26,Construction of 3 Nos of Addl classroom at Talapada Sevashram under Phulbani Block,1.0,2985504.0,PRUTHWIRAJ BARIK,INR,"3,074,837",1,2986589,ANATHA RANJAN GURU,02-Jul-2025 02:36 PM,Rejected-Finance,Not Selected in Lottery,03-Sep-2025 01:13 PM,Technical,ALL BIDDERS ARE ADMITTED,CHHOTRAY MAJHI,08-Jul-2025 04:32 PM,,"PA ITDA, PHULBANI",Internal,members of ITDA Phulbani,Gadardhar Patra,03-Sep-2025 01:13 PM,finsummary_543583.pdf (1033.90 KB),Finance,ALL BIDDERS ARE ADMITTED,Jaya Prakash Jena,09-Jul-2025 04:14 PM,,BOQ Comparative Chart,"PA ITDA, PHULBANI",Internal,"ITDA, PHULBANI",CHHOTRAY MAJHI,08-Jul-2025 04:36 PM,09-Jul-2025 09:00 AM,techsummary_543583.pdf (617.75 KB),AOC,1.0,ICICI BANK,Construction of 3 Nos of Addl classroom at Talapada Sevashram under Phulbani Block,Construction of 3 Nos of Addl classroom at Talapada Sevashram under Phulbani Block,Please refer Tender documents. ,NA ,"30,39,521",Civil Works - Buildings,NA ,Tender,90.0,180.0,"ITDA,Phulbani",762001.0,NA ,NA ,NA ,"ITDA, Phulbani",No ,No,1.0,Fee/PreQual/Technical,.pdf,Fee,"30,395",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,23-Jun-2025 11:00 AM,03-Jul-2025 11:00 AM,23-Jun-2025 11:00 AM,02-Jul-2025 05:00 PM,NA ,NA ,23-Jun-2025 11:00 AM,02-Jul-2025 05:00 PM,09-Jul-2025 09:00 AM,"ST and SC Development Deptt||ITDA, Phulbani",PAITDA PLB_01 OF 2025-26,2025_STSCD_114522_17,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"PA ITDA, Phulbani","ITDA, Phulbani",AOC
,,,,,,,,,,,,,,,2,2980418,BISWAJEET PATTANAYAK,26-Jun-2025 07:11 AM,Rejected-Finance,Not Selected in Lottery,03-Sep-2025 01:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2981307,BISWARANJAN PATTANAYAK,29-Jun-2025 11:57 AM,Rejected-Finance,Not Selected in Lottery,03-Sep-2025 01:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Check list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2985959,M/S MAMATA MAHAPATRA,02-Jul-2025 11:41 AM,Rejected-Finance,Not Selected in Lottery,03-Sep-2025 01:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial bid boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2984748,PRADIP KUMAR PANIGRAHI,01-Jul-2025 08:24 PM,Rejected-Finance,Not Selected in Lottery,03-Sep-2025 01:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2985504,PRUTHWIRAJ BARIK,02-Jul-2025 04:05 PM,Accepted-AOC,Awarded in Lottery,03-Sep-2025 03:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2985168,Ramesh Chandra Behera,01-Jul-2025 01:16 PM,Rejected-Finance,Not Selected in Lottery,03-Sep-2025 01:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2986153,SAMEER KUMAR MAHAKUD,02-Jul-2025 12:04 PM,Rejected-Finance,Not Selected in Lottery,03-Sep-2025 01:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2986769,SIMANCHAL KAR,02-Jul-2025 04:21 PM,Rejected-Finance,Not Selected in Lottery,03-Sep-2025 01:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2985070,Soubhagya Gouda,01-Jul-2025 05:36 PM,Rejected-Finance,L2 bidder of UR category,03-Sep-2025 01:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
