Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
Municipal Bodies||Sambalpur Municipal Corporation,2025_ORULB_112085_14,43/SMC_SBP/2024-25,"Construction of Paver block road from Surjaya kumar barik house in Ward No.-01,ii.Construction of Paver block road from Fakira seth house to Brundaban pradhan house in Ward No. -01 in ward no. 1 under SMC SAMBALPUR",1.0,2883146.0,NARESH SINGH,INR,"663,244.7",1,2884629,CHANDRABHANU BEHERA,15-Apr-2025 01:13 PM,Rejected-Technical,UNSUCCESSFUL,02-Sep-2025 12:38 PM,02-Sep-2025,"INR 663,244.7",60.0,PADMINI MEHER,02-Sep-2025 12:41 PM,43SMC14.pdf (1471.00 KB),successful,Finance,TENDER OPENED,Vedbhushan .,23-Apr-2025 10:06 AM,finance_535192.pdf,BOQ Comparative Chart,"Siddheshwar Baliram Bondar,IAS",Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",PADMINI MEHER,02-Sep-2025 12:39 PM,finsummary_535192.pdf (1471.31 KB),"Siddheshwar Baliram Bondar,IAS",Internal,"DEE,EE,AO,DC,COMMISSIONER,SMC",PADMINI MEHER,02-Sep-2025 12:38 PM,techsummary_535192.pdf (1471.31 KB),AOC,04-Apr-2025 11:00 AM,16-Apr-2025 11:00 AM,04-Apr-2025 11:00 AM,15-Apr-2025 05:00 PM,NA ,NA ,04-Apr-2025 11:00 AM,15-Apr-2025 05:00 PM,"6,632",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor license, Tender Fees, EMD, GST, PAN, Affidavits, Appendix etc. as per DTCN","4,000",0.0,Nil,Nil,No,"COMMISSIONER, SMC","SAMBALPUR MUNICIPAL CORPORATION, DURGAPALI, SAMBALPUR, 768006",Municipal Bodies||Sambalpur Municipal Corporation,43/SMC_SBP/2024-25,2025_ORULB_112085_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Construction of Paver block road from Surjaya kumar barik house in Ward No.-01,ii.Construction of Paver block road from Fakira seth house to Brundaban pradhan house in Ward No. -01 in ward no. 1 under SMC SAMBALPUR","Construction of Paver block road from Surjaya kumar barik house in Ward No.-01,ii.Construction of Paver block road from Fakira seth house to Brundaban pradhan house in Ward No. -01 in ward no. 1 under SMC SAMBALPUR",Please refer Tender documents. ,NA ,"6,63,246",Civil Works - Others,NA ,Tender,120.0,60.0,SAMBALPUR MUNICIPAL CORPORATION,768006.0,NA ,NA ,NA ,SAMBALPUR MUNICIPAL CORPORATION,No ,No,1,ICICI BANK,AOC
,,,,,,,,,2,2883146,NARESH SINGH,13-Apr-2025 11:00 AM,Accepted-AOC,successful,02-Sep-2025 12:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC
