Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,1.0,ICICI BANK,EE RW Division Deogarh,O/o the EE RW Division Deogarh,Construction of New Sub-Centre Building at Balanda under Tileibani block in the dist of Deogarh,Civil,Please refer Tender documents. ,NA ,"36,91,464",Civil Works - Buildings,NA ,Tender,90.0,180.0,Deogarh,768119.0,NA ,NA ,NA ,O/o the EE RW Division Deogarh,No ,No,1.0,Sl.No.09 (Name of Work-Construction of New Sub-Centre Building at Balanda under Tileibani block in the dist of Deogarh) in Annexure-I of TCN may be read as Barkote Block instead of Tileibani Block). The work is under the Barkote Block,Technical Bid,,"6,000",0.0,Nil,Nil,No,"36,915",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-DEOGARH,EERWDGH-Online-02 of 2025-26,2025_CERWI_115374_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,11-Jul-2025 01:00 PM,22-Jul-2025 11:00 AM,11-Jul-2025 01:00 PM,21-Jul-2025 05:00 PM,11-Jul-2025 01:00 PM ,19-Jul-2025 05:00 PM ,11-Jul-2025 01:00 PM,21-Jul-2025 05:00 PM,AOC,1,3004463,ALOK KUMAR PRADHAN,19-Jul-2025 06:46 PM,Rejected-AOC,Loss the lottery,27-Sep-2025 09:23 PM,27-Sep-2025,"INR 3,138,115",180.0,Laxman Kumar Soren,27-Sep-2025 09:23 PM,Balanda.pdf (278.00 KB),SE,Internal,,Subash Chandra Besra,23-Sep-2025 09:22 PM,techsummary_545820.pdf (286.33 KB),SE,Internal,,Subash Chandra Besra,23-Sep-2025 09:27 PM,finsummary_545820.pdf (286.33 KB),CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-DEOGARH,2025_CERWI_115374_9,EERWDGH-Online-02 of 2025-26,Construction of New Sub-Centre Building at Balanda under Tileibani block in the dist of Deogarh,1.0,3004821.0,"SHRI GANESH CONSTRUCTION,PROP-SAPAN KUMAR SAHU",INR,"3,138,115",Finance,All are admitted,Raj Kumar Meher,24-Jul-2025 08:51 PM,,BOQ Comparative Chart,AOC
,,.pdf,TCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3003531,GHANASHYAM SAHU,18-Jul-2025 09:12 PM,Rejected-AOC,Loss the lottery,27-Sep-2025 09:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3005350,KALYAN KUMAR SAHOO,20-Jul-2025 06:19 PM,Rejected-AOC,Loss the lottery,27-Sep-2025 09:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3005481,NARENDRA KUMAR PRADHAN,20-Jul-2025 07:18 PM,Rejected-AOC,Loss the lottery,27-Sep-2025 09:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2998150,PADMALAYA DHARUA,15-Jul-2025 08:54 PM,Rejected-AOC,Loss the lottery,27-Sep-2025 09:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3003578,PRABIN KUMAR NATH SHARMA,18-Jul-2025 08:31 PM,Rejected-AOC,Loss the lottery,27-Sep-2025 09:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3002462,RAJALAXMI SAHU,18-Jul-2025 07:12 AM,Rejected-AOC,Loss the lottery,27-Sep-2025 09:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3005342,SANTANU KUMAR PANI,21-Jul-2025 10:27 AM,Rejected-AOC,Loss the lottery,27-Sep-2025 09:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3004821,"SHRI GANESH CONSTRUCTION,PROP-SAPAN KUMAR SAHU",20-Jul-2025 05:08 PM,Accepted-AOC,Signed the agreement,27-Sep-2025 09:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3006798,SMITA PRADHAN,21-Jul-2025 01:53 PM,Rejected-AOC,Loss the lottery,27-Sep-2025 09:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,3005465,SRIKANTA PRADHAN,20-Jul-2025 07:13 PM,Rejected-AOC,Loss the lottery,27-Sep-2025 09:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
