EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"5,00,000",Yes,fixed,,Nil,Nil,"10,000","1,800",Nil,Nil,No,Selection of Agency for Design Detailed Project Report and Project Management of various works of the Office Building and peripheral Development of Paryatan Bhawan Bhubaneswar,Selection of Agency for Selection of Agency for Design Detailed Project Report and Project Management of various works of the Office Building and peripheral Development of Paryatan Bhawan Bhubaneswar,As per RFP ,NA ,0.0,Consultancy Services,NA ,Tender,180.0,100.0,"Paryatan Bhawan, Bhubaneswar",751014.0,"Conference Hall-1, OTDC Head office, BBSR ","Conference Hall-1, OTDC Head office, BBSR ",08-Nov-2024 11:30 AM ,Superintending Engineer O.T.D.C Ltd Lewis road,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Cost of Tender, EMD, Contractor Registration License, Pan card, Affidavit, GST,work experience cert",1.0,Selection of Agency for Design Detailed Project Report and Project Management of various works of the Office Building and peripheral Development of Paryatan Bhawan Bhubaneswar,Date,,Odisha Tourism Devl. Corp.,BPI/10/2024-25 Dt. 02.11.2024,2024_OTDC_106314_1,Yes,National Competitive Bid,Item Rate,Services,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,04-Nov-2024 09:00 AM,16-Nov-2024 05:30 PM,04-Nov-2024 09:00 AM,16-Nov-2024 05:00 PM,04-Nov-2024 09:00 AM ,07-Nov-2024 05:00 PM ,04-Nov-2024 09:00 AM,16-Nov-2024 05:00 PM,05-Dec-2024 02:00 PM,Superintending Engineer O.T.D.C Ltd,Superintending Engineer O.T.D.C Ltd,AOC,S. Naik,Internal,L.SAHOO A.S. SWAIN SKJENA,Subrat Kumar Jena,05-Dec-2024 01:46 PM,05-Dec-2024 02:00 PM,techsummary_514058.pdf (2128.67 KB),Odisha Tourism Devl. Corp.,2024_OTDC_106314_1,BPI/10/2024-25 Dt. 02.11.2024,Selection of Agency for Design Detailed Project Report and Project Management of various works of the Office Building and peripheral Development of Paryatan Bhawan Bhubaneswar,1.0,2647215.0,CHIRAG SWAIN ARCHITECTS,INR,"4,950,500",Technical,Selection of Agency for Design Detailed Project Report and Project Management of various works of the Office Building and peripheral Development of Paryatan Bhawan Bhubaneswar,Subrat Kumar Jena,05-Dec-2024 01:38 PM,technical_514058.pdf,1,2647215,CHIRAG SWAIN ARCHITECTS,15-Nov-2024 04:40 PM,Accepted-AOC,SUCESSFUL BIDDER,10-Sep-2025 08:01 PM,Finance,Financial Proceedings,Subrat Kumar Jena,10-Sep-2025 07:53 PM,finance_514058.pdf,BOQ Comparative Chart,10-Sep-2025,"INR 4,950,500",100.0,Subrat Kumar Jena,10-Sep-2025 08:01 PM,AOC.pdf (488.00 KB),WORK ORDER,S. NAIK,Internal,"S. K. Jena, A. S. Swain, S. Naik, L. Sahoo",Subrat Kumar Jena,10-Sep-2025 07:58 PM,finsummary_514058.pdf (833.47 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per RFP,2.0,Selection of Agency for Design Detailed Project Report and Project Management of various works of the Office Building and peripheral Development of Paryatan Bhawan Bhubaneswar.,Other,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2638138,Mecoa Engineers Pvt.Ltd,14-Nov-2024 04:21 PM,Rejected-Technical,Not Fulfilled eligibility criteria,05-Dec-2024 01:46 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2648232,ROY ENTERPRISE,16-Nov-2024 11:38 AM,Rejected-Finance,UNSUCESSFUL BIDDER,10-Sep-2025 07:58 PM,,,,,,,,,,,,,,,,,,,,AOC
