S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
1.0,3040825.0,RAJASHREE CHAKRA,INR,"360,310",Er. Tusar Kanti Behera,Internal,,Tusar Kanti Behera,23-Sep-2025 07:07 PM,finsummary_548941.pdf (219.93 KB),Technical,47 bidders bid,Tusar Kanti Behera,31-Aug-2025 07:27 PM,,CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-ANANDAPUR,2025_CERWI_116675_1,01/EE/RW/AND/2025-26,Repair and Renovation of office and Godown Building at Bhagamunda for the year 2025-26,Finance,Quoted percentage is 14.99 less of 47 bidders bid,Tusar Kanti Behera,02-Sep-2025 07:24 PM,,BOQ Comparative Chart,Er. Tusar Kanti Behera,Internal,,Tusar Kanti Behera,01-Sep-2025 12:59 PM,01-Sep-2025 01:30 PM,techsummary_548941.pdf (219.93 KB),23-Sep-2025,"INR 423,844",30.0,Tusar Kanti Behera,30-Sep-2025 06:34 PM,AOC11.pdf (202.00 KB),1,3040927,ASHUTOSH SETHI,19-Aug-2025 09:23 AM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,1.0,ICICI BANK,CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-ANANDAPUR,01/EE/RW/AND/2025-26,2025_CERWI_116675_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,No,Repair and Renovation of office and Godown Building at Bhagamunda for the year 2025-26,Repair and Renovation of office and Godown Building at Bhagamunda for the year 2025-26,Please refer tender documents ,NA ,"4,23,844",Civil Works - Buildings,NA ,Tender,90.0,30.0,Salapada,758020.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, ANANDPUR",No ,No,"4,240",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIIN, PAN, Reg. Certificate, Affidavit and Required Documents as per DTCN",11-Aug-2025 02:20 PM,20-Aug-2025 11:30 AM,11-Aug-2025 02:20 PM,19-Aug-2025 05:30 PM,11-Aug-2025 02:20 PM ,18-Aug-2025 05:30 PM ,11-Aug-2025 02:20 PM,19-Aug-2025 05:30 PM,01-Sep-2025 01:30 PM,Divisional Officer,"RURAL WORKS DIVISION, ANANDPUR",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3041077,BUDDHADEVA SAHU,19-Aug-2025 12:09 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3039469,DIPENDRA KUMAR JENA,17-Aug-2025 09:47 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3041301,DUKHABANDHU SETHY,19-Aug-2025 02:27 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3039559,DURYODHAN SAHOO,18-Aug-2025 12:29 AM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3041618,GITA RANI SAHOO,19-Aug-2025 04:55 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3040096,HARISH KUMAR SAHOO,18-Aug-2025 07:17 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3040929,HITESH KUMAR PRUSTY,19-Aug-2025 09:26 AM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3035484,JAGABANDHU JENA,14-Aug-2025 09:34 AM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3039026,JYOTISMITA SAHU,17-Aug-2025 12:11 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3041375,KAPILA CHARAN MALIK,19-Aug-2025 02:42 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3036857,LOKANATH MISHRA,15-Aug-2025 09:06 PM,Rejected-AOC,.,30-Sep-2025 06:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
