Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Finance,Ten (10) nos of bidders have participated.,Manoranjan Behera,16-Aug-2025 12:27 PM,,BOQ Comparative Chart,1.0,3034624.0,D N CONSULTANT,INR,"997,140",Command Area Development-CAD (DOWR)||Jt. Director Survey and Planning,2025_CADSP_116386_3,JDSP-02/2025-26,Survey and Planning for Command Area Development and Water Management in Kamarabandha MIP and Karanjara MIP of Block- Khallikote in Ganjam District.,Sri Pradeep Kumar Mohapatra JD,Internal,Sri M R Behera DD Sri P C Prusty DD Sri D K Pujhari EE Sri S K Panda AEE,Himanshu Sekhar Behera,20-Aug-2025 05:28 PM,finsummary_548170.pdf (463.42 KB),Sri Pradeep Kumar Mohapatra JD,Internal,Sri M R Behera DD Sri P C Prusty DD Sri D K Pujhari EE Sri S K Panda AEE,Himanshu Sekhar Behera,20-Aug-2025 04:12 PM,techsummary_548170.pdf (1493.97 KB),09-Sep-2025,"INR 997,140",120.0,Himanshu Sekhar Behera,20-Sep-2025 05:17 PM,DNC.pdf (2002.00 KB),Through transparent lottery.,1,3035328,Afcones Infratech Private Limited,13-Aug-2025 11:01 PM,Rejected-Technical,Due to non- fulfilling of criteria as per DTCN,20-Aug-2025 04:12 PM,AOC,Survey and Planning for Command Area Development and Water Management in Kamarabandha MIP and Karanjara MIP of Block- Khallikote in Ganjam District.,Survey and Planning for Command Area Development and Water Management,Please refer Tender documents. ,NA ,"11,72,968",Civil Works - Others,NA ,Tender,90.0,120.0,Khallikote,761030.0,NA ,NA ,NA ,"O/O JD, S and P, OFMRDC Campus, Satyanagar, BBSR",No ,No,04-Aug-2025 11:00 AM,16-Aug-2025 11:00 AM,04-Aug-2025 11:00 AM,14-Aug-2025 05:00 PM,04-Aug-2025 11:00 AM ,08-Aug-2025 05:00 PM ,04-Aug-2025 11:00 AM,14-Aug-2025 05:00 PM,"6,000",Nil,Nil,No,Command Area Development-CAD (DOWR)||Jt. Director Survey and Planning,JDSP-02/2025-26,2025_CADSP_116386_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"11,800",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid Regd. Cert, GSTIN, PAN card, NRC, affidavit and other Document.",Deputy Director,"O/O the Joint Director, Survey and Planning, OFMRDC Campus, Satyanagar, Bhubaneswar-7, Odisha",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3034855,ASIAN GEOTECH RESEARCH SERVICES,13-Aug-2025 04:06 PM,Rejected-AOC,Through transparent lottery.,20-Sep-2025 05:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantities,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3034624,D N CONSULTANT,13-Aug-2025 06:03 PM,Accepted-AOC,Through transparent lottery.,20-Sep-2025 05:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3033703,GALLOP INFRA SERVICES CONSULTANCY,12-Aug-2025 06:12 PM,Rejected-AOC,Through transparent lottery.,20-Sep-2025 05:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3031633,M/S GAYATRI CONSULTANT,11-Aug-2025 03:39 PM,Rejected-AOC,Through transparent lottery.,20-Sep-2025 05:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3035746,M/s M K CONSULTANCY,14-Aug-2025 01:43 PM,Rejected-AOC,Through transparent lottery.,20-Sep-2025 05:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3034604,NIRAJ BHARAT VANKUDRE,14-Aug-2025 11:13 AM,Rejected-AOC,Through transparent lottery.,20-Sep-2025 05:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3036033,Subudhi Technoengineers Pvt Ltd,14-Aug-2025 03:08 PM,Rejected-AOC,Through transparent lottery.,20-Sep-2025 05:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3025406,Visiontek Consultancy Services Pvt. Ltd.,14-Aug-2025 12:08 PM,Rejected-AOC,Through transparent lottery.,20-Sep-2025 05:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3035193,Water Power Consultants india Pvt Ltd,14-Aug-2025 10:21 AM,Rejected-AOC,Through transparent lottery.,20-Sep-2025 05:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
