S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,ICICI BANK,"27,215",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,"ST and SC Development Deptt||ITDA, Phulbani",PAITDA PLB_01 OF 2025-26,2025_STSCD_114522_33,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of dining room at Adapaju AS under Khajuripada Block,Construction of dining room at Adapaju AS under Khajuripada Block,Please refer Tender documents. ,NA ,"27,21,479",Civil Works - Buildings,NA ,Tender,90.0,180.0,"ITDA,Phulbani",762001.0,NA ,NA ,NA ,"ITDA, Phulbani",No ,No,23-Jun-2025 11:00 AM,03-Jul-2025 11:00 AM,23-Jun-2025 11:00 AM,02-Jul-2025 05:00 PM,NA ,NA ,23-Jun-2025 11:00 AM,02-Jul-2025 05:00 PM,09-Jul-2025 09:00 AM,1.0,Fee/PreQual/Technical,.pdf,Fee,"PA ITDA, Phulbani","ITDA, Phulbani",AOC,"PA ITDA, PHULBANI",Internal,ITDA Phulbani,Jaya Prakash Jena,08-Jul-2025 05:32 PM,09-Jul-2025 09:00 AM,techsummary_543638.pdf (290.13 KB),Finance,ALL BIDDERS ARE ADMITTED,Jaya Prakash Jena,09-Jul-2025 04:53 PM,,BOQ Comparative Chart,PA ITDA,Internal,ITDA PHULBANI,Jaya Prakash Jena,03-Sep-2025 03:51 PM,finsummary_543638.pdf (865.65 KB),Technical,All bidders are admitted,Jaya Prakash Jena,08-Jul-2025 05:29 PM,,"ST and SC Development Deptt||ITDA, Phulbani",2025_STSCD_114522_33,PAITDA PLB_01 OF 2025-26,Construction of dining room at Adapaju AS under Khajuripada Block,1.0,2981371.0,BISWARANJAN PATTANAYAK,INR,"2,753,099",1.0,2986665.0,BISWAJIT SAHU,02-Jul-2025 03:15 PM,Rejected-Finance,Not Selected in Lottery,03-Sep-2025 03:51 PM,03-Sep-2025,"INR 2,753,099",180.0,Jaya Prakash Jena,03-Sep-2025 03:54 PM,work33.pdf (866.00 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Bid,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2981371.0,BISWARANJAN PATTANAYAK,29-Jun-2025 11:53 AM,Accepted-AOC,Awarded the work in Lottery,03-Sep-2025 03:54 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Check list,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2984617.0,SRI SUKANTA KANHAR,30-Jun-2025 09:20 PM,Rejected-Finance,Not Selected in Lottery,03-Sep-2025 03:51 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial bid boq,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
