Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"Chief Construction Engineer,R.W Circle KPD-JJP","O/o CCE,R.W Circle,Kendrapara-Jajpur","1,00,753",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,CE RW I||RWCIRCLE-KENDRAPARA,Tender Online RCK-08/24,2024_CERWI_101806_19,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of New PHC Building at Gadamadhupur under Dharmasala Block in the Dist of Jajpur for the year 2023-24.,Construction of Building work,Please refer tender documents ,NA ,"1,00,75,299",Civil Works - Buildings,NA ,Tender,90.0,365.0,Jajpur,755001.0,NA ,NA ,NA ,"O/o CCE,R.W Circle,Kendrapara-Jajpur",No ,No,"10,000",0.0,Nil,Nil,No,28-Feb-2024 06:00 PM,13-Mar-2024 11:00 AM,28-Feb-2024 06:00 PM,12-Mar-2024 05:00 PM,28-Feb-2024 06:00 PM ,12-Mar-2024 02:00 PM ,28-Feb-2024 06:00 PM,12-Mar-2024 05:00 PM,18-Jun-2024 01:30 PM,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, PAN, Registration Certificate, Labor License",AOC,CCE,Internal,,Puspanjali Behera,12-Jun-2024 03:49 PM,18-Jun-2024 01:30 PM,techsummary_497046.pdf (3022.18 KB),Finance,03 no of bidders have participated,Puspanjali Behera,18-Jun-2024 03:07 PM,,BOQ Comparative Chart,CCE,Internal,,Satyajit Dalai,28-Jul-2025 01:34 PM,finsummary_497046.pdf (115.88 KB),Technical,05 no of bidders have participated,Puspanjali Behera,13-Mar-2024 04:53 PM,,1.0,2474571.0,PRATAP SETHI,INR,"9,068,777",CE RW I||RWCIRCLE-KENDRAPARA,2024_CERWI_101806_19,Tender Online RCK-08/24,Construction of New PHC Building at Gadamadhupur under Dharmasala Block in the Dist of Jajpur for the year 2023-24.,1,2474809,KALPATARU SAHOO,12-Mar-2024 11:12 AM,Rejected-Finance,Unsuccessful bidder,28-Jul-2025 01:34 PM,01-Aug-2025,"INR 9,068,777",365.0,Satyajit Dalai,01-Sep-2025 04:19 PM,PHCGADAMADHUPUR.pdf (271.00 KB),The work has been awarded to Pratap Sethi,AOC
,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No Relationship , Affidavit of Correctness Certificate undertaking duly filled, all affidavits",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2475575,MADHUSUDAN SWAIN,12-Mar-2024 04:43 PM,Rejected-Technical,Disqualified as per clause no 1(e) of eligibility criteria of DTCN due to non submission of an agreement between regd. electrical contractor and civil contractor and non submission of electrical valid license.,12-Jun-2024 03:49 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"ATO , Work Experience Work in Hand, Machineries and required document as per DTCN",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2474571,PRATAP SETHI,11-Mar-2024 10:21 PM,Accepted-AOC,The work has been awarded to Pratap Sethi,01-Sep-2025 04:19 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2475322,SARTHAK DAS,12-Mar-2024 02:42 PM,Rejected-Finance,Unsuccessful bidder,28-Jul-2025 01:34 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2472981,SUSHIL KUMAR MOHANTY,11-Mar-2024 06:14 PM,Rejected-Technical,Disqualified as per clause no 1(e) of eligibility criteria of DTCN due to non submission of an agreement between regd. electrical contractor and civil contractor and non submission of electrical valid license.,12-Jun-2024 03:49 PM,,,,,,,,AOC
