Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,total 11 bidders accepted,Saraseebala Behera,15-Feb-2025 12:33 PM,,BOQ Comparative Chart,1.0,2813474.0,Priya Ranjan Senapati,INR,"428,831.34",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,2025_CERWI_110261_4,SE/BDK-II/TCN-12/2024-25,"Construction of Compound Wall, Cow catcher ,Approach at SC Arandua for the year 2024-25",Executive Engineer,Internal,,Saraseebala Behera,11-Sep-2025 04:50 PM,finsummary_528844.pdf (1007.07 KB),Executive Engineer,Internal,,Saraseebala Behera,11-Sep-2025 04:46 PM,techsummary_528844.pdf (776.20 KB),1,2814806,BISWANATH PANDA,13-Feb-2025 07:03 AM,Rejected-AOC,REJECTED,11-Sep-2025 04:53 PM,11-Sep-2025,"INR 428,831.34",30.0,Saraseebala Behera,11-Sep-2025 04:53 PM,wo.pdf (645.00 KB),AOC,1.0,ICICI BANK,"Construction of Compound Wall, Cow catcher ,Approach at SC Arandua for the year 2024-25","Construction of Compound Wall, Cow catcher ,Approach at SC Arandua for the year 2024-25",Please refer Tender documents. ,NA ,"5,04,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o The EE R.W.DIVISION-II,BHADRAK",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST, EMD, CONTRACTOR REGISTRATION CERTIFICATE, PAN, GSTIN, AFFIDAVIT, ETC","O/o EE R.W.DIVISION-II,BHADRAK","O/o EE R.W.DIVISION-II,BHADRAK",06-Feb-2025 04:00 PM,14-Feb-2025 11:00 AM,06-Feb-2025 04:00 PM,13-Feb-2025 05:00 PM,06-Feb-2025 04:00 PM ,12-Feb-2025 03:00 PM ,06-Feb-2025 04:00 PM,13-Feb-2025 05:00 PM,"4,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,SE/BDK-II/TCN-12/2024-25,2025_CERWI_110261_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"5,040",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2814804,BRAHMANANDA SAHOO,13-Feb-2025 07:16 AM,Rejected-AOC,REJECTED,11-Sep-2025 04:53 PM,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER DOCUMENTS AS PER DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2814020,MIHIR KUMAR PANDA,13-Feb-2025 10:18 AM,Rejected-AOC,REJECTED,11-Sep-2025 04:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2814386,Niranjan Barik,13-Feb-2025 01:10 PM,Rejected-AOC,REJECTED,11-Sep-2025 04:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2804018,PITAMBER NAYAK,11-Feb-2025 05:35 PM,Rejected-AOC,REJECTED,11-Sep-2025 04:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2813474,Priya Ranjan Senapati,13-Feb-2025 06:31 AM,Accepted-AOC,Selected through transparent lottery system,11-Sep-2025 04:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2811810,Rabindra Kumar Chand,12-Feb-2025 02:35 AM,Rejected-AOC,REJECTED,11-Sep-2025 04:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2810781,RANJITA DASH,11-Feb-2025 06:56 PM,Rejected-AOC,REJECTED,11-Sep-2025 04:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2813394,Ratikanta Mallick,12-Feb-2025 03:42 PM,Rejected-AOC,REJECTED,11-Sep-2025 04:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2809581,Shyam Sundar Mohanty,11-Feb-2025 12:36 PM,Rejected-AOC,REJECTED,11-Sep-2025 04:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
