S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,"10,080",Yes,percentage,1.0%,Nil,Nil,"O/o EE R.W.DIVISION-II,BHADRAK","O/o EE R.W.DIVISION-II,BHADRAK",1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST, EMD, CONTRACTOR REGISTRATION CERTIFICATE, PAN, GSTIN, AFFIDAVIT, ETC","6,000",0.0,Nil,Nil,No,06-Feb-2025 06:55 PM,14-Feb-2025 11:00 AM,06-Feb-2025 06:55 PM,13-Feb-2025 05:00 PM,06-Feb-2025 06:55 PM ,12-Feb-2025 03:00 PM ,06-Feb-2025 06:55 PM,13-Feb-2025 05:00 PM,"Construction of Compound wall, Gate, Cow catcher of PHC(N) Balipatna for the year 2024-25.","Construction of Compound wall, Gate, Cow catcher of PHC(N) Balipatna for the year 2024-25.",Please refer Tender documents. ,NA ,"10,08,000",Civil Works - Buildings,NA ,Tender,90.0,60.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o The EE R.W.DIVISION-II,BHADRAK",No ,No,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,SE/BDK-II/TCN-12/2024-25,2025_CERWI_110261_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,Executive Engineer,Internal,,Lambodar Naik,01-Sep-2025 11:53 AM,finsummary_528869.pdf (403.82 KB),Executive Engineer,Internal,,Lambodar Naik,01-Sep-2025 11:48 AM,techsummary_528869.pdf (280.72 KB),01-Sep-2025,"INR 856,995",60.0,Lambodar Naik,01-Sep-2025 11:59 AM,baliptna.pdf (452.00 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,2025_CERWI_110261_10,SE/BDK-II/TCN-12/2024-25,"Construction of Compound wall, Gate, Cow catcher of PHC(N) Balipatna for the year 2024-25.",1.0,2814856.0,Sagar Ranjan Dash,INR,"856,995.6",1,2811792,Asoka Kumar Rout,12-Feb-2025 12:49 AM,Rejected-AOC,rejected,01-Sep-2025 11:59 AM,Finance,total 16 bidders accepted,Saraseebala Behera,15-Feb-2025 05:22 PM,,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,OTHER DOCUMENTS AS PER DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2802775,BAIDHAR BHARATI,07-Feb-2025 07:18 PM,Rejected-AOC,rejected,01-Sep-2025 11:59 AM,,,,,,,AOC
,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2815004,BISWAJIT MOHANTY,13-Feb-2025 11:54 AM,Rejected-AOC,rejected,01-Sep-2025 11:59 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2813818,Chitaranjan Nayak,12-Feb-2025 05:14 PM,Rejected-AOC,rejected,01-Sep-2025 11:59 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2813670,GOBINDA CHANDRA JENA,12-Feb-2025 04:31 PM,Rejected-AOC,rejected,01-Sep-2025 11:59 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2810241,Kailash Chandra Biswal,11-Feb-2025 04:19 PM,Rejected-AOC,rejected,01-Sep-2025 11:59 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2810576,NIRAKAR MALLICK,11-Feb-2025 05:02 PM,Rejected-AOC,rejected,01-Sep-2025 11:59 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2814401,Niranjan Barik,13-Feb-2025 01:16 PM,Rejected-AOC,rejected,01-Sep-2025 11:59 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2816141,PRASANTA KUMAR ROUT,13-Feb-2025 03:46 PM,Rejected-AOC,rejected,01-Sep-2025 11:59 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2812216,RANJIT KUMAR LAHA,12-Feb-2025 11:00 AM,Rejected-AOC,rejected,01-Sep-2025 11:59 AM,,,,,,,AOC
