Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Polasara NAC,NAC/PLS-02/2023-24,2023_ORULB_93911_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"8,730",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,1,ICICI BANK,"4,720",0.0,Nil,Nil,No,08-Sep-2023 11:00 AM,25-Sep-2023 11:00 AM,08-Sep-2023 11:00 AM,22-Sep-2023 05:30 PM,08-Sep-2023 11:00 AM ,22-Sep-2023 05:30 PM ,08-Sep-2023 11:00 AM,22-Sep-2023 05:30 PM,EXECUTIVE OFFICER NAC POLASARA,"NOTIFIED AREA COUNCIL POLASARA,NEAR BUS STAND,MAIN ROAD,POLASARA",Construction of drain from Subash Dakua house to Kaitha Bandha canal in ward No. 4 of N.A.C Polasara,Construction of drain from Subash Dakua house to Kaitha Bandha canal in ward No. 4 of N.A.C Polasara,Please refer Tender documents. ,NA ,"8,72,950",Civil Works - Others,NA ,Tender,90.0,60.0,NAC AREA OF NAC POLASARA,761105.0,NA ,NA ,NA ,NAC OFFICE NAC POLASARA,No ,No,AOC,15-Sep-2025,"INR 872,950.76",60.0,Panchanan Sethy,15-Sep-2025 11:29 AM,12.pdf (251.00 KB),1,2265273,SANTOSH KUMAR SAHU,21-Sep-2023 04:09 PM,Rejected-AOC,highest bidder,15-Sep-2025 11:30 AM,CHAIRPERSON,Internal,"TAHASILDAR,EXECUTIVE OFFICER,MUNICIPAL ENGINEER,JUINOR ENGINEER,ACCOUNTANT",Panchanan Sethy,14-Sep-2025 04:51 PM,techsummary_459178.pdf (2257.52 KB),CHAIRPERSON,Internal,"TAHASILDAR,EXECUTIVE OFFICER,MUNICIPAL ENGINEER,JUINOR ENGINEER,ACCOUNTANT",Panchanan Sethy,14-Sep-2025 04:59 PM,finsummary_459178.pdf (2257.52 KB),Municipal Bodies||Polasara NAC,2023_ORULB_93911_12,NAC/PLS-02/2023-24,Construction of drain from Subash Dakua house to Kaitha Bandha canal in ward No. 4 of N.A.C Polasara,1.0,2265000.0,Siba Sankar Sahu,INR,"1,030,000",Finance,attached,Panchanan Sethy,14-Sep-2025 04:45 PM,finance_459178.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,2265000,Siba Sankar Sahu,21-Sep-2023 03:06 PM,Accepted-AOC,lowest bidder,15-Sep-2025 11:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
