Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,Bid opening summary,Santosh Kumar Behera,17-Jun-2025 12:04 PM,finance_537925.pdf,BOQ Comparative Chart,Santosh Kumar Behera,Internal,SE Keonjhar R and B Division DAO-I Keonjhar R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,12-Jun-2025 05:50 PM,17-Jun-2025 11:30 AM,techsummary_537925.pdf (1863.63 KB),1,2909610,BHUYAN MAHAPRASAD,08-May-2025 05:29 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,18-Jul-2025 02:02 PM,06-Sep-2025,"INR 10,742,280",180.0,Santosh Kumar Behera,06-Sep-2025 07:48 PM,AOC_DIPRO.pdf (968.00 KB),1st Lowest Bidder Winner of Lottery,1.0,2915403.0,DINESH KUMAR PANY,INR,"10,742,280",Santosh Kumar Behera,Internal,SE Keonjhar R and B Division DAO-I Keonjhar R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,18-Jul-2025 02:02 PM,finsummary_537925.pdf (93.94 KB),Technical,Bid opening summary,Santosh Kumar Behera,14-May-2025 12:04 PM,technical_537925.pdf,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,2025_EICCL_112908_1,CCEKC - 02 / 2025-26,Construction of Office Building of DI and PRO at Keonjhar for the year 2024-25,AOC,"1,26,400",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,CCE Keonjhar (R and B) Circle,"O/o the CCE Keonjhar (R and B) Circle, Keonjhar-758001","10,000",0.0,Nil,Nil,No,Construction of Office Building of DI and PRO at Keonjhar for the year 2024-25,Construction of Office Building of DI and PRO at Keonjhar for the year 2024-25,Please refer Tender Documents ,NA ,"1,26,36,490",Civil Works - Buildings,NA ,Tender,90.0,180.0,Keonjhar,758001.0,NA ,NA ,NA ,O/o the CCE Keonjhar (R and B) Circle,No ,No,29-Apr-2025 01:00 PM,14-May-2025 11:30 AM,29-Apr-2025 01:00 PM,13-May-2025 04:00 PM,NA ,NA ,29-Apr-2025 01:00 PM,13-May-2025 04:00 PM,17-Jun-2025 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender paper Cost and EMD,PAN,GSTIN,Contractor RC,Affidavit",EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,CCEKC - 02 / 2025-26,2025_EICCL_112908_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,2,2915403,DINESH KUMAR PANY,13-May-2025 12:28 PM,Accepted-AOC,1st Lowest Bidder Winner of Lottery,06-Sep-2025 07:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machineries, work in hand, work experience",,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,2912610,Dipankar Patra,12-May-2025 11:24 AM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,18-Jul-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,2912249,MOHESH CHANDRA PATTNAYAK,12-May-2025 09:29 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,18-Jul-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,2915271,PUJA SARKAR,13-May-2025 11:53 AM,Rejected-Finance,2nd Lowest Bidder,18-Jul-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,2914367,RAHUL JENA,12-May-2025 09:09 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,18-Jul-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,2915678,RAJA SATYAPRAKASH DALAI,13-May-2025 01:21 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,18-Jul-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,2916298,Rajendra Khuntia,13-May-2025 03:55 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,18-Jul-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,2906867,RAMACHANDRA SAHOO,05-May-2025 10:10 PM,Rejected-Technical,As per decision of technical evaluation committee,12-Jun-2025 05:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,2915638,RAYCREST REALCON PRIVATE LIMITED,13-May-2025 01:14 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,18-Jul-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
