Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,admitted,Kshirabdhitanaya Sahoo,02-Sep-2025 12:29 PM,finance_507772.pdf,BOQ Comparative Chart,1.0,2577440.0,KAILASH CHANDRA PATTANAIK,INR,"1,023,724.841",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Khordha||KHORDHA Block,2024_PRKHO_105192_1,004/ PSKSME /2024-25,"CONSTRUCTION OF ADDITIONAL CLASS ROOM ZAITUN NISA GOVT HIGH SCHOOL,KERANGA,KHORDHA BLOCK",KSHIRABDHI TANAYA SAHOO,Internal,"BDO,AEE,BFO,JE",Kshirabdhitanaya Sahoo,02-Sep-2025 12:44 PM,finsummary_507772.pdf (116.23 KB),KSHIRABDHI TANAYA SAHOO,Internal,"BDO,AEE,BFO,JE",Kshirabdhitanaya Sahoo,02-Sep-2025 12:31 PM,techsummary_507772.pdf (116.23 KB),1,2577440,KAILASH CHANDRA PATTANAIK,15-Oct-2024 03:01 PM,Accepted-AOC,WON,02-Sep-2025 12:47 PM,02-Sep-2025,"INR 1,023,724.841",180.0,Kshirabdhitanaya Sahoo,02-Sep-2025 12:47 PM,kerangatender.pdf (505.00 KB),AOC,AOC,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Khordha||KHORDHA Block,004/ PSKSME /2024-25,2024_PRKHO_105192_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,BDO KHORDHA,PANCHAYAT SAMITI KHORDHA,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,1,ICICI BANK,"7,080",Nil,Nil,No,"12,042",Yes,percentage,1.0%,Nil,Nil,30-Sep-2024 11:00 AM,15-Oct-2024 06:00 PM,30-Sep-2024 11:00 AM,15-Oct-2024 05:00 PM,NA ,NA ,30-Sep-2024 11:00 AM,15-Oct-2024 05:00 PM,"CONSTRUCTION OF ADDITIONAL CLASS ROOM ZAITUN NISA GOVT HIGH SCHOOL,KERANGA,KHORDHA BLOCK","CONSTRUCTION OF ADDITIONAL CLASS ROOM ZAITUN NISA GOVT HIGH SCHOOL,KERANGA,KHORDHA BLOCK",Please refer Tender documents. ,NA ,"12,04,240",Civil Works - Buildings,NA ,Tender,180.0,180.0,KERANGA,752055.0,NA ,NA ,NA ,PANCHAYAT SAMITI KHORDHA,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2576091,UPENDRA KUMAR BHANJADEO,14-Oct-2024 03:13 PM,Rejected-AOC,LOST,02-Sep-2025 12:47 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.xls,BOQ,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
