Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
15-Apr-2025 10:00 AM,02-May-2025 10:00 AM,15-Apr-2025 10:00 AM,01-May-2025 05:00 PM,15-Apr-2025 10:00 AM ,30-Apr-2025 05:00 PM ,15-Apr-2025 10:00 AM,01-May-2025 05:00 PM,"6,000",Nil,Nil,No,Construction of 50 MT Godown and Office building at Sinapali PACS under RMC Khariar Road,Construction of 50 MT Godown and Office building at Sinapali PACS under RMC Khariar Road,Please refer DTCN ,NA ,"33,10,496",Civil Works - Buildings,NA ,Tender,90.0,180.0,NUAPADA,766105.0,NA ,NA ,NA ,"RMC, KHARIAR ROAD",No ,No,"33,105",Yes,fixed,,Nil,Nil,Odisha State Agricultural Marketing Board||RMC Khariarroad,01/RMCKHROAD/2025-26,2025_OSAMB_112457_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender paper cost, BID security, RC, GSTN, PAN, Affidavit and other documents as per DTCN","Collector, Nuapada-cum-Chairman, RMC, Khariar Road","O/o the Collector, Nuapada-cum-Chairman, RMC, Khariar Road",AOC,1,2903252,AKSHAYA KUMAR SETH,01-May-2025 02:59 PM,Rejected-Finance,As per transparency lottery system.,29-Sep-2025 01:03 AM,03-Oct-2025,"INR 2,814,253",180.0,Arjya Kumar Muduli,29-Sep-2025 01:07 AM,ShashiramMangrajSinapali.pdf (679.00 KB),Selected as L-1 bidder through transparency lottery system.,Chairman,Internal,"Accountant, Secretary, Junior Engineer, Asst. Engineer, CT GST Officer, ADM",Arjya Kumar Muduli,29-Sep-2025 12:53 AM,techsummary_536410.pdf (6112.72 KB),Odisha State Agricultural Marketing Board||RMC Khariarroad,2025_OSAMB_112457_1,01/RMCKHROAD/2025-26,Construction of 50 MT Godown and Office building at Sinapali PACS under RMC Khariar Road,Chairman,Internal,"Accountant, Secretary, Junior Engineer, Asst. Engineer, CT GST Officer, ADM",Arjya Kumar Muduli,29-Sep-2025 01:03 AM,finsummary_536410.pdf (3335.69 KB),Finance,All members of the tender committee were present at the time of opening of the bids.,Arjya Kumar Muduli,28-Sep-2025 11:59 PM,,BOQ Comparative Chart,1.0,2899991.0,SHASHIRAM MANGARAJ,INR,"2,814,523",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of quantities,,,AOC,2,2903334,CHODAGANGA MEHER,01-May-2025 04:07 PM,Rejected-Finance,As per transparency lottery system.,29-Sep-2025 01:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2900675,CH SUBASH CHANDRA PATRO,29-Apr-2025 05:46 PM,Rejected-Finance,As per transparency lottery system.,29-Sep-2025 01:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2902551,GUD TREND PRIVATE LIMITED,30-Apr-2025 05:46 PM,Rejected-Technical,The firm did not submitted the EMD amount.,29-Sep-2025 12:53 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2902634,HARA MEHER,01-May-2025 04:14 PM,Rejected-Finance,As per transparency lottery system.,29-Sep-2025 01:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2900624,HEMAKANTI BEHERA,29-Apr-2025 05:47 PM,Rejected-Finance,As per transparency lottery system.,29-Sep-2025 01:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2900744,JITENDRA BARIHA,30-Apr-2025 04:22 PM,Rejected-Finance,As per transparency lottery system.,29-Sep-2025 01:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2902575,KL INFRAPROJECTS,30-Apr-2025 05:41 PM,Rejected-Finance,As per transparency lottery system.,29-Sep-2025 01:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2902808,MAHENDRA PRASAD AGRAWAL,01-May-2025 09:27 AM,Rejected-Finance,As per transparency lottery system.,29-Sep-2025 01:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2901111,MAKARDHWAJ BEHERA,01-May-2025 02:01 PM,Rejected-Finance,As per transparency lottery system.,29-Sep-2025 01:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,2900923,M/S SHREE SHYAM REALCON,29-Apr-2025 08:06 PM,Rejected-Finance,As per transparency lottery system.,29-Sep-2025 01:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,12,2903159,POOJA MITTAL,01-May-2025 02:04 PM,Rejected-Finance,As per transparency lottery system.,29-Sep-2025 01:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,13,2895964,Prasanna Kumar Mahana,26-Apr-2025 05:57 PM,Rejected-Finance,As per transparency lottery system.,29-Sep-2025 01:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,14,2890720,RAJENDRA PRASAD MEHER,01-May-2025 04:25 PM,Rejected-Finance,As per transparency lottery system.,29-Sep-2025 01:03 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
