S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1,ICICI BANK,"7,300",Yes,percentage,1.0%,Nil,Nil,"Executive Officer, Balangir Municipality","Office of the Municipal Council, Balangir",11-Mar-2024 11:00 AM,22-Mar-2024 11:00 AM,11-Mar-2024 11:00 AM,21-Mar-2024 05:00 PM,NA ,NA ,11-Mar-2024 11:00 AM,21-Mar-2024 05:00 PM,Municipal Bodies||Balangir Municipality,BLGRMPTY/14(01-133)/2023-24,2024_ORULB_102384_74,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Construction of Drain with Cover Slab from Sisumandir Back Side to Main Road gate, W.No.13",Drain with Cover Slab work,Please refer Tender Documents  ,NA ,"7,30,000",Civil Works - Others,NA ,Tender,180.0,90.0,Balangir Municipality,767001.0,NA ,NA ,NA ,"Office of the Municipal Council, Balangir",No ,No,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.xls,Bill of Quantity,AOC,"Lika Sahu , Chairperson",Internal,"Chairperson, Executive Officer, Municipal Engineer, Junior Engineer",Sanjay Kumar Mohanty,23-Sep-2025 06:25 PM,techsummary_499014.pdf (558.51 KB),"Lika Sahu , Chairperson",Internal,"Chairperson, Executive Officer, Municipal Engineer, Junior Engineer",Sanjay Kumar Mohanty,23-Sep-2025 06:28 PM,finsummary_499014.pdf (558.51 KB),Finance,2 Nos. of bidders have participated.,Biswambhar Mishra,21-Jun-2024 04:56 PM,,BOQ Comparative Chart,23-Sep-2025,"INR 618,399.99",60.0,Sanjay Kumar Mohanty,23-Sep-2025 06:33 PM,74wo.pdf (637.00 KB),"Sri Jagannath Mishra Selected as L1 for the Work Construction of Drain with Cover Slab from Sisumandir Back Side to Main Road gate, W.No.13",Municipal Bodies||Balangir Municipality,2024_ORULB_102384_74,BLGRMPTY/14(01-133)/2023-24,"Construction of Drain with Cover Slab from Sisumandir Back Side to Main Road gate, W.No.13",1.0,2481386.0,JAGANNATH MISHRA,INR,"618,399.99",1,2481386,JAGANNATH MISHRA,19-Mar-2024 09:16 PM,Accepted-AOC,L1,23-Sep-2025 06:33 PM,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Online proof of tender paper cost, EMD,GSTIN,PAN,RC,Affidavit and any others documents as per DTCN",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2482547,SAMPAD KUMAR SAHU,20-Mar-2024 06:06 PM,Rejected-AOC,L2,23-Sep-2025 06:33 PM,AOC
