Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"CSO-cum-District Manager, OSCSC Ltd., Kendrapara","Odisha State Civil Supplies Corporation Ltd., College Chhak, Kendrapara 754211",1.0,ICICI BANK,"3,90,651",No,fixed,,Nil,Nil,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Kendrapada,OSC/PDS/II/13/25-1973,2025_OSCSC_115831_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Tender Document for Level-II Transport Contract for the biennial 2025-27,"5,900",0.0,Nil,Nil,No,e-Tender for Selection and appointment of Level-II Transport Contractors for transportation of CMR from RRCs to Retail Center (FPS) for the biennial 2025-27 of MAHAKALAPADA Block Kendrapara District.,Level-II Transport Contractors for transportation of CMR from RRCs to Retail Center (FPS) for the biennial 2025-27 of MAHAKALAPADA Block Kendrapara District. Pls. refer to tender documents,Please refer Tender documents. ,NA ,"78,13,016",Handling and Transportation,NA ,Tender,180.0,605.0,MAHAKALAPADA Block Kendrapara District,754211.0,"CSO-cum-District Manager, OSCSC Ltd., Kendrapara. ","Odisha State Civil Supplies Corporation Ltd., College Chhak, Kendrapara 754211 ",23-Jul-2025 11:00 AM ,"Collectorate, Kendrapara.",No ,No,22-Jul-2025 01:00 PM,06-Aug-2025 10:30 AM,22-Jul-2025 01:00 PM,05-Aug-2025 05:00 PM,NA ,NA ,22-Jul-2025 01:00 PM,05-Aug-2025 05:00 PM,25-Aug-2025 11:00 AM,AOC,1,3019171,Akshya Ku. Swain,04-Aug-2025 06:27 PM,Accepted-AOC,As per Proceedings.,18-Sep-2025 04:47 PM,18-Sep-2025,"INR 7,813,016",560.0,Benudhar Panigrahi,18-Sep-2025 04:47 PM,AOCMahakalapadaAkashya.pdf (202.00 KB),Rate of Transportation Cost per Qtl. is Rs.35.30 at the rate of 14.99 percentage of BSoR Quoted,Finance,Financial Bid Opening,Benudhar Panigrahi,01-Sep-2025 02:32 PM,finance_546747.pdf,BOQ Comparative Chart,"Collector, Kendrapara",Internal,"CSO, Kendrapara DLO, Kendrapara DSWO, Kendrapara RTO, Kendrapara ADM,Kendrapara",Benudhar Panigrahi,22-Aug-2025 06:04 PM,25-Aug-2025 11:00 AM,techsummary_546747.pdf (3092.68 KB),Collector and District Magistrate,Internal,"CSO, DLO, DSWO, RTO, ADM",Benudhar Panigrahi,17-Sep-2025 01:09 PM,finsummary_546747.pdf (1218.87 KB),Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Kendrapada,2025_OSCSC_115831_1,OSC/PDS/II/13/25-1973,e-Tender for Selection and appointment of Level-II Transport Contractors for transportation of CMR from RRCs to Retail Center (FPS) for the biennial 2025-27 of MAHAKALAPADA Block Kendrapara District.,Technical,Technical Bid Opening,Benudhar Panigrahi,06-Aug-2025 06:28 PM,technical_546747.pdf,1.0,3019171.0,Akshya Ku. Swain,INR,35.3,AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ for Level-II Transport Contract for the biennial 2025-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3021958,DEEPAK NAYAK,04-Aug-2025 07:26 PM,Rejected-Finance,As per Proceedings. L1 Bidder to be selected through Lottery as more than one bidders have quoted same lowest rate 14.99 BSoR,17-Sep-2025 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3024379,MADHABANANDA SAHOO,05-Aug-2025 02:05 PM,Rejected-Finance,As per Proceedings. L1 Bidder to be selected through Lottery as more than one bidders have quoted same lowest rate 14.99 BSoR,17-Sep-2025 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3020330,MANAS CHANDRA SAHOO,05-Aug-2025 12:47 PM,Rejected-Technical,As per Technical Bid Proceedings.,22-Aug-2025 06:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3022803,M/S.MAA TARINI SUPPLIERS,05-Aug-2025 02:54 PM,Rejected-Finance,"As per Proceedings. Debarred from selection process, as the bidder has been selected as Level-II Transport Contractor for the year 2025-27 against Tangi Block of neighbouring district Cuttack",17-Sep-2025 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3014448,NAYAN KUMAR DAS,04-Aug-2025 09:27 PM,Rejected-Finance,As per Proceedings. L1 Bidder to be selected through Lottery as more than one bidders have quoted same lowest rate 14.99 BSoR,17-Sep-2025 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3023277,Prakash Chandra Rout,05-Aug-2025 04:11 PM,Rejected-Finance,As per Proceedings. L1 Bidder to be selected through Lottery as more than one bidders have quoted same lowest rate 14.99 BSoR,17-Sep-2025 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3020375,RABINDRA KUMAR BEHERA,05-Aug-2025 12:38 PM,Rejected-Finance,"As per Proceedings. Debarred from selection process, as the bidder has been selected as transporting agent for SNP feeding Programme in Kendrapara District.",17-Sep-2025 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3021906,Ranjan Kumar Sethi,05-Aug-2025 01:04 AM,Rejected-Finance,As per Proceedings. L1 Bidder to be selected through Lottery as more than one bidders have quoted same lowest rate 14.99 BSoR,17-Sep-2025 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3020500,RASHMIKANTA ROUTRAY,05-Aug-2025 02:47 PM,Rejected-Finance,As per Proceedings. L1 Bidder to be selected through Lottery as more than one bidders have quoted same lowest rate 14.99 BSoR,17-Sep-2025 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
