Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Orissa State Police Housing and Welfare Corporation Ltd,06/OPHWC/2025-26,2025_OSPHW_114584_15,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"4,66,200",Yes,fixed,,Nil,Nil,"11,800",0.0,Nil,Nil,No,19-Jun-2025 06:55 PM,07-Jul-2025 10:30 AM,19-Jun-2025 06:55 PM,05-Jul-2025 05:00 PM,NA ,NA ,19-Jun-2025 06:55 PM,05-Jul-2025 05:00 PM,14-Aug-2025 10:30 AM,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"Constn. of 18 nos. F type Qtrs. at Dist. Hdqrs., Angul",Building Work,Please refer Tender documents. ,NA ,"4,66,18,573",Civil Works - Buildings,NA ,Tender,90.0,365.0,Angul,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",AOC,Technical,3 Nos. of bidders have been participated,Bikram Keshari Malla,07-Jul-2025 06:03 PM,,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,15-Sep-2025 01:00 PM,finsummary_543572.pdf (347.51 KB),Finance,financial bid opened,Bikram Keshari Malla,14-Aug-2025 11:06 AM,,BOQ Comparative Chart,AS PER TC MINUTES,Internal,AS PER TC MINUTES,Srikanta Samal,13-Aug-2025 06:11 PM,14-Aug-2025 10:30 AM,techsummary_543572.pdf (336.06 KB),15-Sep-2025,"INR 41,961,377",365.0,Bikram Keshari Malla,15-Sep-2025 01:02 PM,WORKORDER.pdf (508.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 12.09.2025,1.0,2986474.0,ANAND ENGINEERING,INR,"41,961,377",Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_114584_15,06/OPHWC/2025-26,"Constn. of 18 nos. F type Qtrs. at Dist. Hdqrs., Angul",1,2986474,ANAND ENGINEERING,05-Jul-2025 02:23 PM,Accepted-AOC,QUALIFIED BIDDER,15-Sep-2025 01:02 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Other Document as per DTCN,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2990469,SILADITYA BEHERA,05-Jul-2025 02:44 PM,Rejected-Technical,Non-securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,13-Aug-2025 06:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2987404,SUJIT KUMAR JENA,04-Jul-2025 07:43 PM,Rejected-Finance,DUE TO L1 BIDDER BUT LOWEST TURNOVER,15-Sep-2025 01:00 PM,AOC
