Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"6,000",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, RC, Documents related to EMD exemption",1.0,ICICI BANK,15-Feb-2025 10:00 AM,25-Feb-2025 11:00 AM,15-Feb-2025 10:00 AM,24-Feb-2025 05:00 PM,15-Feb-2025 10:00 AM ,21-Feb-2025 05:00 PM ,15-Feb-2025 10:00 AM,24-Feb-2025 05:00 PM,Superintending Engineer,"O/o the SE, Kendrapara Irr. Division, Kendrapara",CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Kendrapara Irr Div Kendrapara,e-Procurement Notice No.KID-04 of 2024-25,2025_KIRRD_110670_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,KID-110 of 2024-25 Improvement to Choudhury Mahara of Kendrapara Canal from RD 00M to 455M.,Canal improvement,Please refer Tender documents. ,NA ,"23,90,717",Civil Works - Canal,NA ,Tender,90.0,120.0,Kendrapara,754211.0,NA ,NA ,NA ,"O/o the SE, Kendrapara Irr. Division, Kendrapara",No ,No,"24,000",Yes,fixed,,Nil,Nil,AOC,"Superintending Engineer, Kendrapara Irrigation Division",Internal,"Estimator and DAO, Kendrapara Irrigation Division",Gorasasi Sahoo,14-May-2025 10:05 PM,techsummary_530185.pdf (418.02 KB),"Superintending Engineer, Kendrapara Irrigation Division",Internal,"Estimator and DAO, Kendrapara Irrigation Division",Gorasasi Sahoo,14-May-2025 10:09 PM,finsummary_530185.pdf (418.02 KB),Finance,Uploaded tender documents of all the bidders have been downloaded successfully.,Gorasasi Sahoo,28-Feb-2025 09:53 PM,finance_530185.pdf,BOQ Comparative Chart,1,2829867,BIBHUDATTA MOHAPATRA,24-Feb-2025 09:40 AM,Rejected-Finance,Did not win the lottery,14-May-2025 10:09 PM,1.0,2831676.0,RAJ KISHORE DALAI,INR,"2,398,172",CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Kendrapara Irr Div Kendrapara,2025_KIRRD_110670_17,e-Procurement Notice No.KID-04 of 2024-25,KID-110 of 2024-25 Improvement to Choudhury Mahara of Kendrapara Canal from RD 00M to 455M.,03-Sep-2025,"INR 2,398,172",120.0,Gorasasi Sahoo,03-Sep-2025 11:56 AM,110.pdf (475.00 KB),Contract Awarded,AOC
,,,,,,.pdf,"Affidavits, No Relation Certificate, undertakings and any other document as per SBD/DTCN",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2831382,BITASHOK SWAIN,22-Feb-2025 08:30 PM,Rejected-Finance,Did not win the lottery,14-May-2025 10:09 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,2830280,Keshab Charan Nayak,22-Feb-2025 10:38 AM,Rejected-Finance,Did not win the lottery,14-May-2025 10:09 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,2833390,KSHIROD KUMAR NAYAK,23-Feb-2025 08:38 PM,Rejected-Finance,Did not win the lottery,14-May-2025 10:09 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,2833607,P.N. CONSTRUCTION,23-Feb-2025 09:47 PM,Rejected-Finance,Did not win the lottery,14-May-2025 10:09 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,2831676,RAJ KISHORE DALAI,22-Feb-2025 11:38 PM,Accepted-AOC,Won the lottery,03-Sep-2025 11:56 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,2834621,RAJKUMAR SAHOO,24-Feb-2025 12:26 PM,Rejected-Finance,Did not win the lottery,14-May-2025 10:09 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,2821735,Sarojini Behera,17-Feb-2025 12:22 PM,Rejected-Finance,Did not win the lottery,14-May-2025 10:09 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,2832950,SK.MUSTAK ALI,24-Feb-2025 12:58 AM,Rejected-Finance,Did not win the lottery,14-May-2025 10:09 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,2832837,SUBHA PRAKASH MALLIK,23-Feb-2025 04:32 PM,Rejected-Finance,Did not win the lottery,14-May-2025 10:09 PM,,,,,,,,,,,,,,,,,AOC
