S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Copy of Registration Certificate, PAN, GSTIN, Cost of Bid Online,EMD and JV Details as per DTCN","11,420",Yes,percentage,1.0%,Nil,Nil,Beruanabadi-I R/L,Revival and Energisation L.I. Project,Please refer Tender documents ,NA ,"11,42,000",Civil Works - Lift Irrigation Schemes,Lift Irrigation Projects ,Tender,365.0,90.0,Beruanabadi under Beguniapada Block,760006.0,NA ,NA ,NA ,"O/o Executive Engineer, L.I. Division, Berhampur",No ,No,28-Apr-2025 12:00 PM,09-May-2025 12:00 PM,28-Apr-2025 12:00 PM,08-May-2025 05:00 PM,28-Apr-2025 12:00 PM ,07-May-2025 05:00 PM ,28-Apr-2025 12:00 PM,08-May-2025 05:00 PM,"Executive Engineer, L.I. Division, Berhampur","O/o of the Executive Engineer, L.I. Division, Berhampur, 1st Gate, Berhampur, Po- Panigrahy Pentho, Dist- Ganjam, Odisha, Pin-760006","7,080",0.0,Nil,Nil,No,Orissa Lift Irrigation Corporation||LI Southern Circle Berhampur||LI Division Berhampur,03/2025-26 OLIC (BAM),2025_OLIC_112805_37,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,Orissa Lift Irrigation Corporation||LI Southern Circle Berhampur||LI Division Berhampur,2025_OLIC_112805_37,03/2025-26 OLIC (BAM),Beruanabadi-I R/L,"Executive Engineer,L.I.Division,Berhampur",Internal,"Estimator,L.I.Division,Berhampur,Divisional Accountant,L.I.Division,Berhampur",AJAY KUMAR MAHAKUD,30-Sep-2025 01:36 PM,finsummary_537615.pdf (405.78 KB),Finance,Five Bidder are Admitted,Sibarama Panda,13-May-2025 04:11 PM,,BOQ Comparative Chart,1.0,2908210.0,RAM KRUSHNA MOHANTY,INR,"970,722.86",1,2909537,ARUN KUMAR MAJHI,08-May-2025 04:40 PM,Rejected-AOC,Reject,30-Sep-2025 01:47 PM,30-Sep-2025,"INR 1,145,453",90.0,AJAY KUMAR MAHAKUD,30-Sep-2025 01:47 PM,pkg37.pdf (1298.00 KB),Awarded,"Executive Engineer,L.I.Division,Berhampur",Internal,"Estimator,L.I.Division,Berhampur,Divisional Accountant,L.I.Division,Berhampur",AJAY KUMAR MAHAKUD,29-Sep-2025 01:04 PM,techsummary_537615.pdf (405.77 KB),AOC
2.0,ICICI NEFT/RTGS,,,.pdf,"Affidavit, Registration Documents of JV, Forms- A to G etc as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2908317,ASHOK KUMAR PRADHAN,08-May-2025 10:01 AM,Rejected-AOC,Reject,30-Sep-2025 01:47 PM,,,,,,,,,,,,,,AOC
,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2906828,LAXMINARAYAN SAHOO,08-May-2025 12:44 PM,Rejected-AOC,Reject,30-Sep-2025 01:47 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2908210,RAM KRUSHNA MOHANTY,08-May-2025 09:27 AM,Accepted-AOC,Accept,30-Sep-2025 01:47 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2908264,YAMUNA NAHAK,08-May-2025 09:37 AM,Rejected-AOC,Reject,30-Sep-2025 01:47 PM,,,,,,,,,,,,,,AOC
