S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3040837.0,SANYASI KUMAR GHADEI,INR,"360,465",CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-ANANDAPUR,2025_CERWI_116671_1,01/EE/RW/AND/2025-26,Repair and Renovation of Police Station Building at Harichandanpur for the year 2025-26,Technical,33 bidders bid,Tusar Kanti Behera,31-Aug-2025 06:54 PM,,Er. Tusar Kanti Behera,Internal,,Tusar Kanti Behera,02-Sep-2025 04:25 PM,finsummary_548935.pdf (219.93 KB),Er. Tusar Kanti Behera,Internal,,Tusar Kanti Behera,01-Sep-2025 09:49 AM,01-Sep-2025 10:00 AM,techsummary_548935.pdf (219.93 KB),Finance,Quoted percentage 14.99 less of all 33 bidders bid,Tusar Kanti Behera,02-Sep-2025 04:16 PM,,BOQ Comparative Chart,1,3040920,ASHUTOSH SETHI,19-Aug-2025 09:30 AM,Rejected-AOC,.,30-Sep-2025 05:56 PM,22-Sep-2025,"INR 424,027",30.0,Tusar Kanti Behera,30-Sep-2025 05:56 PM,AOC8.pdf (202.00 KB),AOC,"2,000",0.0,Nil,Nil,No,Repair and Renovation of Police Station Building at Harichandanpur for the year 2025-26,Repair and Renovation of Police Station Building at Harichandanpur for the year 2025-26,Please refer tender documents ,NA ,"4,24,027",Civil Works - Buildings,NA ,Tender,90.0,30.0,Salapada,758020.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, ANANDPUR",No ,No,Divisional Officer,"RURAL WORKS DIVISION, ANANDPUR, SALAPADA",CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-ANANDAPUR,01/EE/RW/AND/2025-26,2025_CERWI_116671_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"4,240",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIIN, PAN, Reg. Certificate, Affidavit and Required Documents as per DTCN",11-Aug-2025 02:00 PM,20-Aug-2025 11:30 AM,11-Aug-2025 02:00 PM,19-Aug-2025 05:30 PM,11-Aug-2025 02:00 PM ,18-Aug-2025 05:30 PM ,11-Aug-2025 02:00 PM,19-Aug-2025 05:30 PM,01-Sep-2025 10:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3039455,DIPENDRA KUMAR JENA,17-Aug-2025 09:37 PM,Rejected-AOC,.,30-Sep-2025 05:56 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3041277,DUKHABANDHU SETHY,19-Aug-2025 01:43 PM,Rejected-AOC,.,30-Sep-2025 05:56 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3041596,GITA RANI SAHOO,19-Aug-2025 04:40 PM,Rejected-AOC,.,30-Sep-2025 05:56 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3040089,HARISH KUMAR SAHOO,18-Aug-2025 07:11 PM,Rejected-AOC,.,30-Sep-2025 05:56 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3035463,JAGABANDHU JENA,14-Aug-2025 09:15 AM,Rejected-AOC,.,30-Sep-2025 05:56 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3037451,JAGANNATH OJHA,15-Aug-2025 09:15 PM,Rejected-AOC,.,30-Sep-2025 05:56 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3039019,JYOTISMITA SAHU,17-Aug-2025 12:08 PM,Rejected-AOC,.,30-Sep-2025 05:56 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3041201,KUNDAN KUMAR SETHY,19-Aug-2025 01:11 PM,Rejected-AOC,.,30-Sep-2025 05:56 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3039359,NAMITA JENA,17-Aug-2025 08:23 PM,Rejected-AOC,.,30-Sep-2025 05:56 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
