S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,2969136.0,MERAKI,INR,"6,962,000",EIC-CIVIL,2025_EICCL_114183_1,RFP NO.02 OF 2025-26,"Appointment of Event Consultant For Conceptualization, Planning, Coordination, Management, Monitoring, and supervision of the entire Event of 84th IRC Annual Session-2025 at Bhubaneswar, Odisha",Technical,TOTAL THREE NUMBERS BIDDER WERE PARTICIPATED IN THIS BID AND THEIR BIDS ARE VIEWED.,Manoj Kumar Mahananda,26-Jun-2025 06:56 PM,technical_542136.pdf,"Er.S.Behera,EIC Civil cum Roads Odisha",Internal,"Er.M.R.Behera,CE Sri D.R.Behera,Jt.Secy,Works, Anita Samal,AO, Er.M.K.Mahananda,CCE",Manoj Kumar Mahananda,05-Aug-2025 07:09 PM,finsummary_542136.pdf (391.73 KB),"Er.ManasRanjanBehera,C.E.Domain Expert",Internal,"Manoj Kumar Mahananda,CCE,Sri Dipti Ranjan Behera,Joint Secretary,Works Department, Odisha, Mrs.Anita Samal,Accounts Officer,Office of the EIC,Civil-cum-Roads,Odisha,Bhubaneswar",Manoj Kumar Mahananda,04-Jul-2025 08:34 PM,05-Jul-2025 01:30 PM,techsummary_542136.pdf (423.38 KB),Finance,BID OPENING SUMMARY,Manoj Kumar Mahananda,05-Aug-2025 07:01 PM,finance_542136.pdf,BOQ Comparative Chart,1,2969136,MERAKI,23-Jun-2025 04:40 PM,Accepted-AOC,work awarded,13-Sep-2025 08:55 PM,13-Sep-2025,"INR 6,962,000",120.0,Manoj Kumar Mahananda,13-Sep-2025 08:55 PM,AOC.pdf (357.00 KB),Work Awarded,AOC,1.0,CORRIGENDUM5,Date,,"11,800",0.0,Nil,Nil,No,04-Jun-2025 12:00 PM,26-Jun-2025 05:30 PM,04-Jun-2025 12:00 PM,26-Jun-2025 05:00 PM,04-Jun-2025 12:00 PM ,21-Jun-2025 05:00 PM ,04-Jun-2025 12:00 PM,26-Jun-2025 05:00 PM,05-Jul-2025 01:30 PM,"Appointment of Event Consultant For Conceptualization, Planning, Coordination, Management, Monitoring, and supervision of the entire Event of 84th IRC Annual Session-2025 at Bhubaneswar, Odisha","Appointment of Event Consultant For Conceptualization, Planning, Coordination, Management, Monitoring, and supervision of the entire Event of 84th IRC Annual Session-2025 at Bhubaneswar, Odisha",Please refer Tender documents. ,NA ,0.0,Consultancy Services,NA ,Tender,90.0,120.0,Bhubaneswar,751001.0,"OFFICEOFTHECCECENTRALRANDBCIRCLE,BHUBANESWAR ","OFFICE OF THE CHIEF CONSTRUCTION ENGINEER, CENTRAL RANDB CIRCLE , NIRMAN SOUDHA,UNIT 5, BHUBANESWAR ",09-Jun-2025 11:00 AM ,"OFFICEOFTHECCECENTRALRANDBCIRCLE,BHUBANESWAR",No ,No,CHIEFCONSTRUCTIONENGINEERCENTRALRANDBCIRCLEBBSR,"OFFICE OF THE CHIEF CONSTRUCTION ENGINEER, CENTRAL RANDB CIRCLE , NIRMAN SOUDHA,UNIT 5, BHUBANESWAR",EIC-CIVIL,RFP NO.02 OF 2025-26,2025_EICCL_114183_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, AFFIDAVIT OF ALL REQUIRED DOCUMENTS AS PER APPROVED RFP",1.0,ICICI BANK,"5,00,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2977203,PRELUDE NOVEL VENTURES PRIVATE LIMITED,23-Jun-2025 03:21 PM,Rejected-Technical,Not qualified due to non securing of minimum 80 percent mark and as per condition of the RFP document.,04-Jul-2025 08:34 PM,,,,,,,,AOC,2.0,CORRIGENDUM4,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2978134,YASHSHREE ENTERPRISES,26-Jun-2025 03:12 PM,Rejected-Technical,Not qualified due to non securing of minimum 80 percent mark and as per condition of the RFP document.,04-Jul-2025 08:34 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
