S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3013666.0,PRASANTA KUMAR NAIK,INR,"3,284,240.67",Finance,Uploaded tender documents of all the bidders have been downloaded successfully.,Amiya Kumar Samal,05-Aug-2025 12:20 PM,,BOQ Comparative Chart,"Superintending Engineer, RLBC Division",Internal,"Estimator and DAO, RLBC Division",Amiya Kumar Samal,09-Sep-2025 11:10 AM,finsummary_547310.pdf (634.93 KB),"CE and BM Brahmani Basin Samal||APD cum CCE RIP Samal||EE,Rengali Left Bank Canal Divn., Kamakhyanagar",2025_CEBBS_116062_2,e-Procurement Notice No.RLBCD-P1-01/2025-26,RLBCD-02/ 2025-26 Construction of trough wall of Panigengutia Minor from RD 600M to 1000M.,"Superintending Engineer, RLBC Division",Internal,"Estimator and DAO, RLBC Irrigation Division",Amiya Kumar Samal,26-Aug-2025 01:53 PM,techsummary_547310.pdf (616.06 KB),1,3021251,Abhishek Satapathy,02-Aug-2025 11:23 AM,Rejected-Technical,Does not satisfy as per DTCN,26-Aug-2025 01:53 PM,09-Sep-2025,"INR 3,284,240.67",60.0,Amiya Kumar Samal,09-Sep-2025 11:12 AM,RLBCD01_02.pdf (635.00 KB),Contract Awarded,AOC,1.0,ICICI BANK,"CE and BM Brahmani Basin Samal||APD cum CCE RIP Samal||EE,Rengali Left Bank Canal Divn., Kamakhyanagar",e-Procurement Notice No.RLBCD-P1-01/2025-26,2025_CEBBS_116062_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,25-Jul-2025 10:00 AM,05-Aug-2025 11:00 AM,25-Jul-2025 10:00 AM,04-Aug-2025 05:00 PM,25-Jul-2025 10:00 AM ,01-Aug-2025 05:00 PM ,25-Jul-2025 10:00 AM,04-Aug-2025 05:00 PM,RLBCD-02/ 2025-26 Construction of trough wall of Panigengutia Minor from RD 600M to 1000M.,Construction of trough wall,Please refer Tender documents. ,NA ,"38,63,358",Civil Works - Canal,NA ,Tender,90.0,60.0,Kamakhyanagar,759018.0,NA ,NA ,NA ,"O/o SE, RLBC Division, Kamakhyanagar",No ,No,Superintending Engineer,"O/o SE, RLBC Division, Kamakhyanagar","38,630",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, RC, Documents related to EMD exemption",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3022565,AJIT KUMAR SAHOO,03-Aug-2025 09:21 PM,Rejected-Technical,Does not satisfy as per DTCN,26-Aug-2025 01:53 PM,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavits, No Relation Certificate, undertakings and any other documents as per SBD/DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3021843,AMIT KUMAR MAHAPATRA,03-Aug-2025 01:16 PM,Rejected-Technical,Does not satisfy as per DTCN,26-Aug-2025 01:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3020493,AMRUTANANDA DALBEHERA,01-Aug-2025 02:41 PM,Rejected-Technical,Does not satisfy as per DTCN,26-Aug-2025 01:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3013231,Anil Kumar Pany,27-Jul-2025 10:58 AM,Rejected-Technical,Does not satisfy as per DTCN,26-Aug-2025 01:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3023132,ASHIS ROUT,04-Aug-2025 02:02 PM,Rejected-Technical,Does not satisfy as per DTCN,26-Aug-2025 01:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3019009,ASHOK KUMAR SAHOO,31-Jul-2025 12:16 PM,Rejected-Technical,Does not satisfy as per DTCN,26-Aug-2025 01:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3021605,BHANUPRATAP BIKRAM SINGHA,02-Aug-2025 03:45 PM,Rejected-Technical,Does not satisfy as per DTCN,26-Aug-2025 01:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3021957,BIDHUBHUSAN PARIDA,02-Aug-2025 10:08 PM,Rejected-Technical,Does not satisfy as per DTCN,26-Aug-2025 01:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3022282,BIPIN KUMAR JENA,03-Aug-2025 02:59 PM,Rejected-Technical,Does not satisfy as per DTCN,26-Aug-2025 01:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
