S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,1st corrigendum,Date,,CCE RW CIRCLE SAMBALPUR,CCE RW CIRCLE SAMBALPUR,04-Dec-2024 06:00 PM,18-Dec-2024 11:00 AM,04-Dec-2024 06:00 PM,17-Dec-2024 05:00 PM,04-Dec-2024 06:00 PM ,16-Dec-2024 05:00 PM ,04-Dec-2024 06:00 PM,17-Dec-2024 05:00 PM,27-Jan-2025 11:00 AM,CE RW I||RWCIRCLE-SAMBALPUR,ROAD TENDER ONLINE RWCSBP-04/2024-25,2024_CERWI_107827_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Online copy of Tender cost, EMD, GSTIN, PAN, RC, Affidavit and other document as per DTCN","1,93,351",Yes,percentage,1.0%,Nil,Nil,"Periodical maintenance work of five year completed PMGSY (Post DLP) roads under state budget grant for financial year 2024-25, R.W.Division, Kuchinda -Group-II, No. of roads-03 (A-NH-6 to Chinimahul, B-NH-6 (PMGSY road) to Kulundi (Gariabahal), C-NH-","Periodical maintenance work of five year completed PMGSY (Post DLP) roads under state budget grant for financial year 2024-25, R.W.Division, Kuchinda -Group-II, No. of roads-03 (A-NH-6 to Chinimahul, B-NH-6 (PMGSY road) to Kulundi (Gariabahal), C-NH-",Please refer Tender documents. ,NA ,"1,93,35,123",Civil Works - Roads,NA ,Tender,90.0,90.0,Kuchinda,768222.0,NA ,NA ,NA ,CCE RW CIRCLE SAMBALPUR,No ,No,AOC,18-Sep-2025,"INR 16,436,788.47",90.0,Sujit Behera,18-Sep-2025 06:43 PM,TECH.pdf (26.00 KB),AOC,1,2691034,Ashok Kumar Jalan,11-Dec-2024 05:32 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY SYSTEM,18-Sep-2025 06:39 PM,BANJURAM HEMBRAM,Internal,EE ESTIMATOR DAO,Biswanath Marndi,22-Jan-2025 07:12 PM,27-Jan-2025 11:00 AM,techsummary_519336.pdf (2874.60 KB),Finance,9 NOS BIDDER,Mousumee Patel,27-Jan-2025 12:50 PM,finance_519336.pdf,BOQ Comparative Chart,Technical,10 NOS BIDDER,Mousumee Patel,18-Dec-2024 01:37 PM,technical_519336.pdf,CE RW I||RWCIRCLE-SAMBALPUR,2024_CERWI_107827_7,ROAD TENDER ONLINE RWCSBP-04/2024-25,"Periodical maintenance work of five year completed PMGSY (Post DLP) roads under state budget grant for financial year 2024-25, R.W.Division, Kuchinda -Group-II, No. of roads-03 (A-NH-6 to Chinimahul, B-NH-6 (PMGSY road) to Kulundi (Gariabahal), C-NH-",SUJIT BEHERA,Internal,EE ESTIMATOR DAO,Sujit Behera,18-Sep-2025 06:39 PM,finsummary_519336.pdf (26.18 KB),1.0,2692818.0,M/S SUMEET & ASSOCIATES,INR,"16,436,788.47",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,2.0,Finance,.xls,BILL OF QUANTITIES,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2701065,BISWAKARMAA SUBHANSU CHANDRASEKHAR,17-Dec-2024 04:15 PM,Rejected-Finance,L3 BIDDER,18-Sep-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2693074,DHANESWAR SAHU,11-Dec-2024 09:58 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY SYSTEM,18-Sep-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2693008,KUNAL CHAKRAVORTY,12-Dec-2024 03:08 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY SYSTEM,18-Sep-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2691759,M.J.CONSTRUCTION,10-Dec-2024 11:39 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY SYSTEM,18-Sep-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2692818,M/S SUMEET & ASSOCIATES,17-Dec-2024 12:30 PM,Accepted-AOC,AOC,18-Sep-2025 06:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2690346,SANANTA KUMAR MOHANTY,11-Dec-2024 03:36 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY SYSTEM,18-Sep-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2693123,SOBIKA AGRAWAL,16-Dec-2024 08:45 PM,Rejected-Finance,NOT QUALIFIED IN LOTTERY SYSTEM,18-Sep-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2692267,SYED AHESANULLAH,11-Dec-2024 07:22 PM,Rejected-Technical,Due to non submission of EMD as per DTCN clause No.06. The MSME registration submitted by the bidder is meant for maintenance of building work which can not be considered for road works,22-Jan-2025 07:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2693767,TAPESWAR NAIK,12-Dec-2024 04:09 PM,Rejected-Finance,L2 BIDDER,18-Sep-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
