Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
14-Jul-2025 03:00 PM,22-Jul-2025 09:00 AM,14-Jul-2025 03:00 PM,21-Jul-2025 05:00 PM,14-Jul-2025 03:00 PM ,20-Jul-2025 05:00 PM ,14-Jul-2025 03:00 PM,21-Jul-2025 05:00 PM,12-Aug-2025 10:00 AM,CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,Online -EERKL-04 of 2025-26,2025_CERWI_115524_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"69,740",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,Construction of RI office cum Residence building at Brahmanitaranga for the year 2025-26,Construction of RI office cum Residence building at Brahmanitaranga for the year 2025-26,Please refer Tender documents. ,NA ,"69,69,174",Civil Works - Buildings,NA ,Tender,90.0,270.0,ROURKELA,769004.0,NA ,NA ,NA ,"Office of the Executive Engineer,RW Division,Rourk",No ,No,"Ececutive Engineer, RW Division,Rourkela","Office of the Executive Engineer,RW Division,Rourkela",1.0,Fee/PreQual/Technical,.pdf,"Valid Registration Certificate, GST Registration Certificate and PAN Card",AOC,"AE Estt, DAO, SE",Internal,"AE Estt, DAO, SE",Dasharathi Sethy,15-Sep-2025 01:03 PM,finsummary_545934.pdf (682.31 KB),Technical,18 Bidders Applied,Dasharathi Sethy,11-Aug-2025 05:50 PM,,CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,2025_CERWI_115524_1,Online -EERKL-04 of 2025-26,Construction of RI office cum Residence building at Brahmanitaranga for the year 2025-26,1.0,3005966.0,SNEHALATA SAHOO,INR,"5,924,495",15-Sep-2025,"INR 5,924,495",270.0,Dasharathi Sethy,15-Sep-2025 01:09 PM,04.pdf (682.00 KB),Awarded Cost,1,3007088,ADARSH CONSTRUCTION PROP.ADARSH AGARWAL,21-Jul-2025 02:44 PM,Rejected-AOC,Rejected by the Committee,15-Sep-2025 01:09 PM,Finance,18 Noa Bidders Applied,Dasharathi Sethy,15-Sep-2025 12:55 PM,,BOQ Comparative Chart,"AE Estt, DAO, SE",Internal,"AE Estt, DAO, SE",Dasharathi Sethy,11-Aug-2025 06:02 PM,12-Aug-2025 10:00 AM,techsummary_545934.pdf (2772.37 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,No Relation Certificate in Format II,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3007149,"A R INFRA ,PROP-NELSAN KANDULNA",21-Jul-2025 03:37 PM,Rejected-AOC,Rejected by the Committee,15-Sep-2025 01:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit on Authentication of tender documents etc. as per Format III,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3000679,BIJAY KUMAR PARIDA,16-Jul-2025 11:28 AM,Rejected-AOC,Rejected by the Committee,15-Sep-2025 01:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit regarding Litigation, Debarring,Expelling, Abandon, true Correct of work as per format IV",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3005327,BISHI KESAN NAIK,20-Jul-2025 06:21 PM,Rejected-AOC,Rejected by the Committee,15-Sep-2025 01:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A joint venture agreement with electrical contractor having valid licensee for execution of the e,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3001389,CHITRASEN BISWAL,16-Jul-2025 07:08 PM,Rejected-AOC,Rejected by the Committee,15-Sep-2025 01:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The undersign should mention the particular work name on the affidavit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3001240,DEEPAK SAHOO,16-Jul-2025 04:54 PM,Rejected-AOC,Rejected by the Committee,15-Sep-2025 01:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2999822,ENGICONS ASSOCIATES,19-Jul-2025 05:35 PM,Rejected-AOC,Rejected by the Committee,15-Sep-2025 01:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3003004,GIRISH SAMAL,20-Jul-2025 09:39 PM,Rejected-AOC,Rejected by the Committee,15-Sep-2025 01:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3003483,GOPAL TOPPO,21-Jul-2025 12:50 PM,Rejected-AOC,Rejected by the Committee,15-Sep-2025 01:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3004781,HIMANSU SEKHAR PANDA,20-Jul-2025 09:52 AM,Rejected-AOC,Rejected by the Committee,15-Sep-2025 01:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3001222,NIBHA MISHRA,16-Jul-2025 04:36 PM,Rejected-AOC,Rejected by the Committee,15-Sep-2025 01:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3006947,PRAHALAD GANDHA,21-Jul-2025 02:01 PM,Rejected-AOC,Rejected by the Committee,15-Sep-2025 01:09 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3005352,PRASAD KUMAR SAHOO,21-Jul-2025 01:41 PM,Rejected-AOC,Rejected by the Committee,15-Sep-2025 01:09 PM,,,,,,,,,,,,,,AOC
