S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Description,Mandatory,1.0,Technical Evaluation for Legal Documents,Yes,1.01,   PAN,Yes.1,1.02,   GSTIN,Yes.2,1.03,   Registration Certificate,Yes.3,2.0,Schedules for Technical Evaluation,Yes.4,2.01,   Relationship Certificate,Yes.5,2.02,   Work Experience,Yes.6,2.03,   Litigation,Yes.7,2.04,   Affidavit,Yes.8,2.05,   Employment of Engineers,Yes.9,2.06,   Undertaking,Yes.10,Cover No,Cover,Document Type,Description.1,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.2,Corrigendum Title,Corrigendum Type,View,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,"27,955",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,Particulars,Expected Value,Legal Documents,,   01.PAN,Yes,   02.GST,Yes,   03.RC,Yes,Schedule,,   01.Schedule-A,Yes,   02.Schedule-D,Yes,   03.Schedule-E,Yes,   04.Schedule-F,Yes,   05.Schedule-G,Yes,   06.Schedule-H,Yes,,,,,,,,,,,,,1.0,Fee/PreQual/Technical,.pdf,rc pan gst,29-Oct-2024 04:00 PM,08-Nov-2024 11:30 AM,29-Oct-2024 04:00 PM,07-Nov-2024 05:00 PM,NA ,NA ,29-Oct-2024 04:00 PM,07-Nov-2024 05:00 PM,01-Jan-2025 11:00 AM,Construction of paddy procrument centre at Gajarajpur under Naugaon Block in the district of Jagatsinghpur for the year 2024 25,Construction of paddy procrument centre at Gajarajpur under Naugaon Block in the district of Jagatsinghpur for the year 2024 25,Please refer Tender documents. ,NA ,"27,95,467",Civil Works - Buildings,NA ,Tender,90.0,90.0,jagatsinghpur,754104.0,NA ,NA ,NA ,jagatsinghpur,No ,No,EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-JAGATSINGPUR,S.E. JSPR(R B)-06/2024-25,2024_EICCL_106150_5,Yes,National Competitive Bid,Percentage,Works,2.0,Yes,No,Online,No,No,No,jagatsinghpur,jagatsinghpur,1.0,CORIGENDUM,Other,,AOC,04-Sep-2025,"INR 2,376,426",90.0,Radhakanta Bhuyan,04-Sep-2025 01:04 PM,EMDRefundPaddyGajarajpur.pdf (667.00 KB),DOC 02.04.2025 DOC 01.07.2025,1,2611741,AJAYA KUMAR BISWAL,04-Nov-2024 08:34 AM,Rejected-Finance,DISQUALIFIED,17-Apr-2025 01:09 PM,Finance,F,Radhakanta Bhuyan,15-Jan-2025 12:16 PM,,BOQ Comparative Chart,SE,Internal,SE DAO AEE JE,Radhakanta Bhuyan,31-Dec-2024 12:23 PM,01-Jan-2025 11:00 AM,techsummary_512999.pdf (1107.48 KB),SE,Internal,SEDAOAEEJE,Radhakanta Bhuyan,17-Apr-2025 01:09 PM,finsummary_512999.pdf (405.50 KB),Technical,SEVENTEENBIDDERSRECEIVED,Radhakanta Bhuyan,13-Dec-2024 12:39 PM,,EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-JAGATSINGPUR,2024_EICCL_106150_5,S.E. JSPR(R B)-06/2024-25,Construction of paddy procrument centre at Gajarajpur under Naugaon Block in the district of Jagatsinghpur for the year 2024 25,1.0,2610460.0,ANANT MOHANTY,INR,"2,376,426",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2610460,ANANT MOHANTY,05-Nov-2024 05:43 PM,Accepted-AOC,Lottery Successful Bidder,04-Sep-2025 01:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2625450,BISWOJIT PATTANAIK,06-Nov-2024 06:32 PM,Rejected-Finance,DISQUALIFIED,17-Apr-2025 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2629082,CHANDAN KUMAR SAHOO,07-Nov-2024 04:07 PM,Rejected-Technical,due to non submisson of schedule E,31-Dec-2024 12:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2625821,EASTGROW TRADERS,06-Nov-2024 08:05 PM,Rejected-Finance,DISQUALIFIED,17-Apr-2025 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2627143,ITISHREE MOHANTY,07-Nov-2024 10:30 AM,Rejected-Finance,DISQUALIFIED,17-Apr-2025 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2626141,JOGENDRA PANDA,07-Nov-2024 12:23 PM,Rejected-Finance,DISQUALIFIED,17-Apr-2025 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2601420,MOHAN KUMAR MALLICK,06-Nov-2024 02:58 AM,Rejected-Finance,DISQUALIFIED,17-Apr-2025 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2622886,M/S.BISHNUPRIYA CONSTRUCTION,07-Nov-2024 01:58 PM,Rejected-Finance,DISQUALIFIED,17-Apr-2025 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2608348,M/S. BISWAJEET KANDI,03-Nov-2024 08:43 AM,Rejected-Finance,DISQUALIFIED,17-Apr-2025 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
