S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2957608.0,KIRTTIRANJAN JENA,INR,"1,703,265.61",Finance,Document of all the bidders downloaded,Sisira Kumar Das,20-Jun-2025 04:11 PM,,BOQ Comparative Chart,"Superintending Engineer, Jaraka Irrigation Division, Jaraka",Internal,"S.E., Jaraka Irrigation Division, Jaraka, DAO, Jaraka Irrigation Division, Jaraka AEE(Estimator), Jaraka Irrigation Division, Jaraka",Suman Satabdi Behera,03-Jul-2025 12:09 PM,finsummary_541418.pdf (4021.15 KB),CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jaraka Irr Div Jaraka,2025_JIRR_113929_18,JKID-01 OF 2025-26,18-Restoration to Patilo Mundamala at Bajragiri,"Superintending Engineer, Jaraka Irrigation Division, Jaraka",Internal,"S.E., Jaraka Irrigation Division, Jaraka, DAO, Jaraka Irrigation Division, Jaraka AEE(Estimator), Jaraka Irrigation Division, Jaraka",Sisira Kumar Das,26-Jun-2025 12:51 PM,techsummary_541418.pdf (4022.41 KB),01-Sep-2025,"INR 1,703,265.61",90.0,Sisira Kumar Das,15-Sep-2025 05:28 PM,18.pdf (5163.00 KB),The work has been awarded to Sri Kirti Ranjan Jena,1,2959995,CHINMAY KUMAR MOHANTY,10-Jun-2025 04:42 PM,Rejected-Finance,Other than L1,03-Jul-2025 12:09 PM,AOC,30-May-2025 11:00 AM,11-Jun-2025 11:00 AM,30-May-2025 11:00 AM,10-Jun-2025 05:00 PM,30-May-2025 11:00 AM ,05-Jun-2025 05:00 PM ,30-May-2025 11:00 AM,10-Jun-2025 05:00 PM,"SE, Jaraka Irrigation Division, Jaraka","SE, Jaraka Irrigation Division, Jaraka","20,100",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Jaraka Irr Div Jaraka,JKID-01 OF 2025-26,2025_JIRR_113929_18,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"GSTIN, PAN RC, No Relation Certificate, Affidavit regarding authenticity",18-Restoration to Patilo Mundamala at Bajragiri,Restoration to Patilo Mundamala at Bajragiri ( Earth work and concrete work),Please refer Tender documents. ,NA ,"20,03,606",Civil Works - Others,NA ,Tender,90.0,90.0,Jaraka,755050.0,NA ,NA ,NA ,"Superintending Engineer,Jaraka Irrigation Division",No ,No,"6,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2958328,DEEPTI RANJAN PANDA,10-Jun-2025 01:25 PM,Rejected-Finance,Other than L1,03-Jul-2025 12:09 PM,AOC,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2959902,DEVI PRASAD NANDA,10-Jun-2025 04:21 PM,Rejected-Finance,Other than L1,03-Jul-2025 12:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2953371,GANESWAR BEHERA,08-Jun-2025 10:28 PM,Rejected-Finance,Other than L1,03-Jul-2025 12:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2956080,KAMINI SAHOO,08-Jun-2025 10:54 AM,Rejected-Finance,Other than L1,03-Jul-2025 12:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2957608,KIRTTIRANJAN JENA,09-Jun-2025 01:12 PM,Accepted-AOC,The work has been awarded to Sri Kirti Ranjan Jena,15-Sep-2025 05:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2959099,NITISH MOHANTY,10-Jun-2025 11:45 AM,Rejected-Finance,Other than L1,03-Jul-2025 12:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2955722,RABI SETHI,08-Jun-2025 09:21 PM,Rejected-Finance,Other than L1,03-Jul-2025 12:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2959191,RAHUL DEV NAYAK,10-Jun-2025 12:17 PM,Rejected-Finance,Other than L1,03-Jul-2025 12:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2958621,RAMACHANDRA NAYAK,10-Jun-2025 11:08 AM,Rejected-Finance,Other than L1,03-Jul-2025 12:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
