Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Providing Coloured GCI sheet shed over Roof top of E type Qtr. of Sundargarh Irrigation colony of Sundargarh Irrigation Division, Sundargarh","Providing Coloured GCI sheet shed over Roof top of E type Qtr. of Sundargarh Irrigation colony of Sundargarh Irrigation Division, Sundargarh",Please refer Tender documents. ,NA ,"32,17,460",Civil Works - Buildings,NA ,Tender,90.0,150.0,SUNDARGARH,770020.0,NA ,NA ,NA ,"O/O THE SE, SID, SUNDARGARH",No ,No,"O/O THE SE, SID, SUNDARGARH","O/O THE SE, SID, SUNDARGARH AT/PO-SANKARA DIST-SUNDARGARH PIN-770020",1.0,Fee/PreQual/Technical/Finance,.pdf,Receipt of Tender Paper Cost and EMD,"6,000",0.0,Nil,Nil,No,11-Jul-2025 10:00 AM,28-Jul-2025 11:00 AM,11-Jul-2025 10:00 AM,24-Jul-2025 05:30 PM,11-Jul-2025 10:00 AM ,24-Jul-2025 05:30 PM ,11-Jul-2025 10:00 AM,24-Jul-2025 05:30 PM,"CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE,Sundargarh Irr.Divn,Sundargarh",SID-01/2025-26,2025_CEBBU_115404_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"32,175",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,13-Sep-2025,"INR 2,735,163",150.0,Gobinda Chandra Majhi,13-Sep-2025 06:04 PM,01P1.pdf (2759.00 KB),"Work Order, Agreement and CS Copy",1,3009367,BANAMALI BHITRIA,23-Jul-2025 11:28 PM,Rejected-AOC,2nd Lowest,13-Sep-2025 06:04 PM,SEDAOAEEAE,Internal,SEDAOAEEAE,Gobinda Chandra Majhi,13-Sep-2025 04:32 PM,techsummary_545732.pdf (2959.88 KB),"CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE,Sundargarh Irr.Divn,Sundargarh",2025_CEBBU_115404_8,SID-01/2025-26,"Providing Coloured GCI sheet shed over Roof top of E type Qtr. of Sundargarh Irrigation colony of Sundargarh Irrigation Division, Sundargarh",SEDAOAEEAE,Internal,SEDAOAEEAE,Gobinda Chandra Majhi,13-Sep-2025 04:43 PM,finsummary_545732.pdf (1378.96 KB),Finance,Bid Opening Summary,Gobinda Chandra Majhi,13-Sep-2025 04:29 PM,finance_545732.pdf,BOQ Comparative Chart,1.0,3010952.0,ROHIT SHARMA,INR,"2,735,163",AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,"GSTIN, PAN Card, Contractor Registration Certificate, Affidavits towards authenticity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,2,3010778,BIBHUTI BHUSAN DASH,24-Jul-2025 01:27 PM,Rejected-AOC,2nd Lowest,13-Sep-2025 06:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,"No Relation Certificate, Other document as per DTCN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3009897,BUILDSCAPE,23-Jul-2025 02:33 PM,Rejected-AOC,2nd Lowest,13-Sep-2025 06:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,"SIGNING OF BID The Online bidder shall digitally sign on all statements, documents by the bidder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3010950,DEEPAK KUMAR TOPPO,24-Jul-2025 03:12 PM,Rejected-AOC,2nd Lowest,13-Sep-2025 06:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3010807,DIBYA RANJAN JENA,24-Jul-2025 01:39 PM,Rejected-AOC,2nd Lowest,13-Sep-2025 06:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3011015,DIGESWAR MAJHI(S.T),24-Jul-2025 04:05 PM,Rejected-AOC,2nd Lowest,13-Sep-2025 06:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3010536,JAGADISH ROUT,24-Jul-2025 12:56 PM,Rejected-AOC,2nd Lowest,13-Sep-2025 06:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3010377,JAGESWAR BANJARA,23-Jul-2025 08:12 PM,Rejected-AOC,2nd Lowest,13-Sep-2025 06:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3010818,JNANENDRA KUMAR SWAIN,24-Jul-2025 01:55 PM,Rejected-AOC,2nd Lowest,13-Sep-2025 06:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3010737,MEGHANATH SINGH,24-Jul-2025 01:12 PM,Rejected-AOC,2nd Lowest,13-Sep-2025 06:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
