Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,OnlineEERKL 02/2025-26,2025_CERWI_115383_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Divisional Officer,"RURAL WORKS DIVISION NO.II, SUNDARGARH","31,850",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Construction of Govt. Ayurvedic Dispensary Building at Polangabahal -Salangabahal,Construction of Govt. Ayurvedic Dispensary Building at Polangabahal -Salangabahal,NA ,NA ,"31,84,815",Civil Works - Buildings,NA ,Tender,90.0,180.0,ROURKELA,769004.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, SUNDARGARH",No ,No,10-Jul-2025 01:00 PM,21-Jul-2025 09:00 AM,10-Jul-2025 01:00 PM,18-Jul-2025 05:00 PM,10-Jul-2025 01:00 PM ,17-Jul-2025 05:00 PM ,10-Jul-2025 01:00 PM,18-Jul-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Affidavit Towards Authenticity of Documents,"6,000",0.0,Nil,Nil,No,AOC,15-Sep-2025,"INR 2,707,411",180.0,Dasharathi Sethy,15-Sep-2025 12:46 PM,SL04.pdf (620.00 KB),Awarded Cost,1,3000277,AJAY KUMAR JAISWAL,15-Jul-2025 07:18 PM,Rejected-AOC,Rejected by the Committee,15-Sep-2025 12:46 PM,"AE Estt, DAO, SE",Internal,"AE Estt, DAO, SE",Bandana Bhagyashree Tirkey,15-Sep-2025 12:36 PM,techsummary_545624.pdf (620.04 KB),"AE Estt, DAO, SE",Internal,"AE Estt, DAO, SE",Bandana Bhagyashree Tirkey,15-Sep-2025 12:41 PM,finsummary_545624.pdf (620.04 KB),CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh II,2025_CERWI_115383_1,OnlineEERKL 02/2025-26,Construction of Govt. Ayurvedic Dispensary Building at Polangabahal -Salangabahal,1.0,2999778.0,USHA SAHOO,INR,"2,407,411",Finance,12 Nos Bidders Applied,Bandana Bhagyashree Tirkey,15-Sep-2025 12:31 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN Card, GSTN, Regestration Certificate another as per DTCN, Contact No.",,,,,,AOC,,,,,,,,2,3003217,AMRIT PRITAM,18-Jul-2025 03:40 PM,Rejected-AOC,Rejected by the Committee,15-Sep-2025 12:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Regarding norelation certificateAffidavit Regarding norelation certificate,,,,,,AOC,,,,,,,,3,3000929,GOPAL SAHOO,16-Jul-2025 01:32 PM,Rejected-AOC,Rejected by the Committee,15-Sep-2025 12:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Regarding correctness of information,,,,,,AOC,,,,,,,,4,3002572,JAYNATH MANAHARI,17-Jul-2025 05:36 PM,Rejected-AOC,Rejected by the Committee,15-Sep-2025 12:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,AOC,,,,,,,,5,3002708,KEDAR CHOUDHURY,18-Jul-2025 11:53 AM,Rejected-AOC,Rejected by the Committee,15-Sep-2025 12:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3001473,KUNDAN JAISWAL,17-Jul-2025 11:34 AM,Rejected-AOC,Rejected by the Committee,15-Sep-2025 12:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3003251,Maa Bhanbhori Constructions,18-Jul-2025 03:06 PM,Rejected-AOC,Rejected by the Committee,15-Sep-2025 12:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3001410,NAKUL RAY,16-Jul-2025 07:12 PM,Rejected-AOC,Rejected by the Committee,15-Sep-2025 12:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3001189,NIBHA MISHRA,16-Jul-2025 04:15 PM,Rejected-AOC,Rejected by the Committee,15-Sep-2025 12:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3002689,P. TARINI PRASAD,17-Jul-2025 08:49 PM,Rejected-AOC,Rejected by the Committee,15-Sep-2025 12:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
