Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"P.cost. EMD, R.C, PAN, GSTIN,Affidavit, etc.",1.0,ICICI BANK,Construction of New PHC Building at Olamara PHC under Jaleswar Block in the District of Balasore for 2024-25.,Construction of New PHC Building at Olamara PHC under Jaleswar Block in the District of Balasore for 2024-25.,Please refer the DTCN ,NA ,"2,08,62,000",Civil Works - Buildings,NA ,Tender,90.0,360.0,Balasore,756001.0,NA ,NA ,NA ,"CCE, R.W.CIRCLE, BALASORE",No ,No,"10,000",0.0,Nil,Nil,No,"2,08,620",Yes,percentage,1.0%,Nil,Nil,"CCE, R.W.CIRCLE, BALASORE","O/o the Chief Construction Engineer, Rural Works Circle, Balasore",CE RW I||RWCIRCLE-BALASORE,CCE-BLS-NCB-14 OF 2024-25,2025_CERWI_109402_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,17-Jan-2025 11:00 AM,28-Jan-2025 11:00 AM,17-Jan-2025 11:00 AM,27-Jan-2025 05:00 PM,17-Jan-2025 11:00 AM ,27-Jan-2025 01:00 PM ,17-Jan-2025 11:00 AM,27-Jan-2025 05:00 PM,10-Apr-2025 12:00 PM,AOC,"CCE RW Circle, Balasore",Internal,PA to CCE and AE Estimator,Subhadra Behera,20-Sep-2025 02:17 PM,finsummary_526112.pdf (407.61 KB),CE RW I||RWCIRCLE-BALASORE,2025_CERWI_109402_2,CCE-BLS-NCB-14 OF 2024-25,Construction of New PHC Building at Olamara PHC under Jaleswar Block in the District of Balasore for 2024-25.,Technical,14 Numbers bidder admitted,Saibalini Singh,03-Feb-2025 06:49 PM,technical_526112.pdf,1.0,2779271.0,HRUDANANDA BEHERA,INR,"17,735,010.77",21-Sep-2025,"INR 17,735,011",360.0,Durjyodhan Behera,23-Sep-2025 07:19 PM,olamaraworkorder.pdf (470.00 KB),1st lowest bid of Sri Hrudananda Behera selected through transparent lottery,1,2775429,Ajaya Kanta Mishra,26-Jan-2025 05:44 PM,Rejected-Technical,Industry classification Code-41 Construction of Building works is not mentioned in Udyam registration Certificate,07-Apr-2025 11:41 AM,Finance,10 nos,Subhadra Behera,20-Sep-2025 02:07 PM,,BOQ Comparative Chart,CCE RW CIRCLE BALASORE,Internal,PA TO CCE RW CIRCLE BALASORE AND ESTIMATOR CCE RW CIRCLE BALASORE,Saibalini Singh,07-Apr-2025 11:41 AM,10-Apr-2025 12:00 PM,techsummary_526112.pdf (969.99 KB),AOC
,,.pdf,"Similar nature of work, ATO, Proffit and Loss Statement, Work in Hand, Machineries, etc.",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2779382,BHAGABAN MOHALIK,26-Jan-2025 10:42 PM,Rejected-Technical,Industry classification Code-41 Construction of Building works is not mentioned in Udyam registration Certificate,07-Apr-2025 11:41 AM,,,,,,,,,,,,,,AOC
,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2777375,BHAJA GOBINDA NAYAK,27-Jan-2025 10:59 AM,Rejected-AOC,L1,23-Sep-2025 07:19 PM,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2779548,BINIT KUMAR BEHERA,27-Jan-2025 01:35 AM,Rejected-AOC,L1,23-Sep-2025 07:19 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2778957,CHINMAY MOHAPATRA,26-Jan-2025 07:23 PM,Rejected-AOC,L1,23-Sep-2025 07:19 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2779889,Dinesh Kumar Nayak,27-Jan-2025 11:20 AM,Rejected-AOC,L4,23-Sep-2025 07:19 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2773435,gouri sankar parida,25-Jan-2025 10:21 AM,Rejected-AOC,L1,23-Sep-2025 07:19 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2779271,HRUDANANDA BEHERA,27-Jan-2025 10:12 AM,Accepted-AOC,L1-selected through transparent lottery,23-Sep-2025 07:19 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2775141,LODH CONSTRUCTION,27-Jan-2025 09:13 AM,Rejected-Technical,Affidavit in Schedule-B-and No-Relation affidavit not furnished and E.I. agreement with documents not furnished.,07-Apr-2025 11:41 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2779085,Pramila Mohalik,26-Jan-2025 08:03 PM,Rejected-Technical,Industry classification Code-41 Construction of Building works is not mentioned in Udyam registration Certificate,07-Apr-2025 11:41 AM,,,,,,,,,,,,,,AOC
