EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"12,000",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Active GSTIN, PAN, Bid Security (EMD), Bid Cost",18-Jun-2025 10:00 AM,02-Jul-2025 11:00 AM,18-Jun-2025 10:00 AM,01-Jul-2025 05:00 PM,NA ,NA ,18-Jun-2025 10:00 AM,01-Jul-2025 05:00 PM,"Providing CC Channeling from RD 0.400 km to RD 0.600 km, Strengtehning to Bank in between RD 0.600 km to RD 0.900 km of Kodelmetla Minor, De-silting and Jungle Clearance from RD 0.00 km to RD 2.00 km of Saradapalli Minor and from RD 0.00 km to RD 1.","Providing CC Channeling from RD 0.400 km to RD 0.600 km, Strengtehning to Bank in between RD 0.600 km to RD 0.900 km of Kodelmetla Minor, De-silting and Jungle Clearance from RD 0.00 km to RD 2.00 km of Saradapalli Minor and from RD 0.00 km to RD 1.",Please refer Tender documents. ,NA ,,Civil Works - Canal,NA ,Tender,90.0,150.0,BALIMELA,764051.0,NA ,NA ,NA ,"O/O SE, PID, BALIMELA",No ,No,"O/O SE, PID, BALIMELA","O/O SE, PID, BALIMELA","CCE Potteru Irr.Project,Balimela||CCE Potteru Irr.Project||Potteru Canal Divn-III,MV79,Bhubanapali",SE-PID-BML-01/2025-26,2025_CCEBA_114498_36,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC,"Er.Karuna Sagar Behera, S.E., P.I.D, Balimela",Internal,"Er.Karuna Sagar Behera, S.E., P.I.D, Balimela, Er.Abhishek Sahu, A.E.E (Estimator), P.I.D, Balimela, Sri Vijay Singh Meena, D.A., P.I.D, Balimela",SANOJ SAHU,25-Aug-2025 12:55 PM,techsummary_543285.pdf (534.06 KB),"Er.Karuna Sagar Behera, S.E., P.I.D, Balimela",Internal,"Er.Karuna Sagar Behera, S.E., P.I.D, Balimela, Er.Abhishek Sahu, A.E.E (Estimator), P.I.D, Balimela, Sri Vijay Singh Meena, D.A., P.I.D, Balimela",SANOJ SAHU,26-Aug-2025 01:27 PM,finsummary_543285.pdf (287.38 KB),Finance,BID OPENING SUMMARY,SANOJ SAHU,24-Aug-2025 11:27 PM,finance_543285.pdf,BOQ Comparative Chart,04-Sep-2025,"INR 1,014,510",150.0,SANOJ SAHU,18-Sep-2025 10:09 PM,WORK_ORDER_36.pdf (291.00 KB),Agreement Drawn Vide Agreement No.95P1/2025-26 dtd.04.09.2025,1,2981498,ASHOK KUMAR SARDAR,27-Jun-2025 02:22 PM,Rejected-Finance,Not Selected through Transparent Lottery Process,26-Aug-2025 01:27 PM,"CCE Potteru Irr.Project,Balimela||CCE Potteru Irr.Project||Potteru Canal Divn-III,MV79,Bhubanapali",2025_CCEBA_114498_36,SE-PID-BML-01/2025-26,"Providing CC Channeling from RD 0.400 km to RD 0.600 km, Strengtehning to Bank in between RD 0.600 km to RD 0.900 km of Kodelmetla Minor, De-silting and Jungle Clearance from RD 0.00 km to RD 2.00 km of Saradapalli Minor and from RD 0.00 km to RD 1.",1.0,2981508.0,KAMALESH DAS,INR,"1,014,510",AOC
,,,,,,,,,,,,,.pdf,"Affidavit, No Relation Certificate, No Litigation Certificate and other Documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,2983080,BADAL MAHAJAN,30-Jun-2025 10:06 AM,Rejected-Finance,Not Selected through Transparent Lottery Process,26-Aug-2025 01:27 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,3,2982623,BIBEK KUMAR DEURI,30-Jun-2025 11:51 PM,Rejected-Finance,Not Selected through Transparent Lottery Process,26-Aug-2025 01:27 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,4,2981262,BISWAJIT SARDAR,27-Jun-2025 12:01 PM,Rejected-Finance,Not Selected through Transparent Lottery Process,26-Aug-2025 01:27 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,5,2982945,CHAMPA RANI BISWAS,30-Jun-2025 11:11 AM,Rejected-Finance,Not Selected through Transparent Lottery Process,26-Aug-2025 01:27 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,6,2981508,KAMALESH DAS,28-Jun-2025 02:22 PM,Accepted-AOC,Lowest Valid Responsive Successful Bidder,18-Sep-2025 10:09 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,7,2984565,NITAI CHANDRA BISWAS,01-Jul-2025 09:40 AM,Rejected-Finance,Not Selected through Transparent Lottery Process,26-Aug-2025 01:27 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,8,2981426,RANJITA BHOWMIK (S.C),30-Jun-2025 03:16 PM,Rejected-Finance,Not Selected through Transparent Lottery Process,26-Aug-2025 01:27 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,9,2984507,SANDEEP HALDER,30-Jun-2025 07:34 PM,Rejected-Finance,Not Selected through Transparent Lottery Process,26-Aug-2025 01:27 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,10,2984883,Shiva Prasad Khora,01-Jul-2025 11:02 AM,Rejected-Finance,Not Selected through Transparent Lottery Process,26-Aug-2025 01:27 PM,,,,,,,,,,AOC
