S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,"7,500",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"GST,PAN,RC,EPF,ESI,Labour License and all other documents as per DTCN","4,000",0.0,Nil,Nil,No,14-Jul-2025 10:00 AM,25-Jul-2025 12:00 PM,14-Jul-2025 10:00 AM,23-Jul-2025 05:30 PM,14-Jul-2025 10:00 AM ,21-Jul-2025 05:00 PM ,14-Jul-2025 10:00 AM,23-Jul-2025 05:30 PM,"Fabrication, Erection and Commissioning of four nos Scouring Sluice gates at Nuanai Check Dam of Parjang Block under Superintending Engineer, Minor Irrigation Division, Dhenkanal for the year 2024-25.","Fabrication, Erection and Commissioning of four nos Scouring Sluice gates at Nuanai Check Dam of Parjang Block under Superintending Engineer, Minor Irrigation Division, Dhenkanal for the year 2024-25.",Please refer Tender documents. ,NA ,,Mechanical Works,Gate Works ,Tender,90.0,60.0,"Parjang Block,Dhenkanal",759146.0,NA ,NA ,NA ,"SE, Mechanical Division, Rengali, Samal-759037",No ,No,Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar,SEMDR-01/2025-26,2025_CEMWR_115380_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"SE, Mechanical Division, Rengali","Office of the SE, Mechanical Division, Rengali, Samal-759037",AOC,10-Sep-2025,"INR 741,992.816",60.0,SUNIL KUMAR TUDU,11-Sep-2025 12:07 PM,AOCnuanai.pdf (385.00 KB),Work has been awarded.,1,3007640,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",21-Jul-2025 09:44 PM,Accepted-AOC,Winner in the transparent lottery process.,11-Sep-2025 12:07 PM,Er.Sunil Kumar Tudu,Internal,"Er.Sunil Kumar Tudu, Er.Jasmin Singh",SUNIL KUMAR TUDU,08-Aug-2025 12:46 PM,techsummary_545626.pdf (267.41 KB),Chief Engineer Mech - WR Bhubaneswar||SE Mechanical Circle Bhubaneswar,2025_CEMWR_115380_1,SEMDR-01/2025-26,"Fabrication, Erection and Commissioning of four nos Scouring Sluice gates at Nuanai Check Dam of Parjang Block under Superintending Engineer, Minor Irrigation Division, Dhenkanal for the year 2024-25.",Er.Sunil Kumar Tudu,Internal,"Er.Sunil Kumar Tudu, Er.Jasmin Singh",SUNIL KUMAR TUDU,08-Aug-2025 03:50 PM,finsummary_545626.pdf (657.20 KB),Finance,All Bidders have been admitted.,SUNIL KUMAR TUDU,25-Jul-2025 01:46 PM,finance_545626.pdf,BOQ Comparative Chart,1.0,3007640.0,"ACHYUTA NANDA SWAIN ,PROPRIETOR M/S. ADITYA ENTERPRISER.",INR,"630,768.093",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3006034,LAXMIDHRA BHUYAN,23-Jul-2025 02:20 PM,Rejected-AOC,Not the Winner in the transparent lottery process.,11-Sep-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3002863,M/S Abirvab Steel Product,23-Jul-2025 12:06 PM,Rejected-AOC,Not the Winner in the transparent lottery process.,11-Sep-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3002057,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,22-Jul-2025 08:03 PM,Rejected-AOC,Not the Winner in the transparent lottery process.,11-Sep-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3002839,M/S Ashreebad Fabricators,23-Jul-2025 11:26 AM,Rejected-AOC,Not the Winner in the transparent lottery process.,11-Sep-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3002036,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,22-Jul-2025 08:09 PM,Rejected-AOC,Not the Winner in the transparent lottery process.,11-Sep-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3009823,M/S JAGANNATH AGRICULTURAL IMPLEMENTS WORKSHOP,23-Jul-2025 01:13 PM,Rejected-AOC,Not the Winner in the transparent lottery process.,11-Sep-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3007992,M/S KALINGA METAL PRODUCT (PROP. SMT BASANTILATA MOHANTY,22-Jul-2025 09:10 AM,Rejected-AOC,Not the Winner in the transparent lottery process.,11-Sep-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3008029,"M/S MOHANTY INDUSTRIAL ENTERPRISERS -PROPRIETOR ,MALAYA KUMAR MOHANTY",22-Jul-2025 08:58 AM,Rejected-AOC,Not the Winner in the transparent lottery process.,11-Sep-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3006708,M/S SHREE INDUSTRIES,22-Jul-2025 06:44 PM,Rejected-AOC,Not the Winner in the transparent lottery process.,11-Sep-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,11,3002087,SPS INDUSTRY,22-Jul-2025 08:26 PM,Rejected-AOC,Not the Winner in the transparent lottery process.,11-Sep-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,12,3002116,SUSHIL KUMAR DAS,22-Jul-2025 08:33 PM,Rejected-AOC,Not the Winner in the transparent lottery process.,11-Sep-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
