Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
PH Works for Construction of Sub-Centre Building at Chandigaon of Bhadrak Sadar block in the district of Bhadrak for the year 2023-24,PH Works for Construction of Sub-Centre Building at Chandigaon of Bhadrak Sadar block in the district of Bhadrak for the year 2023-24,Please refer Tender documents. ,NA ,"6,25,748",Civil Works - Buildings,NA ,Tender,90.0,NA ,Chandigaon,756101.0,NA ,NA ,NA ,"SE RW (PH) DIVISION, BBSR Behind Esplande mall, Bo",No ,No,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid License Document as per tender class of contractor in NIT, GST, Certificate, PAN Card",21-Jul-2025 11:00 AM,31-Jul-2025 11:00 AM,21-Jul-2025 11:00 AM,30-Jul-2025 05:00 PM,NA ,NA ,21-Jul-2025 11:00 AM,30-Jul-2025 05:00 PM,CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,EERWPH-19/2025-26,2025_CERWI_115556_13,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"EE RW (PH) ,BHUBENESWAR","SE RW (PH) DIVISION, BBSR Behind Esplande mall, Bomikhal, Rasulgarh,751010",1.0,ICICI BANK,"6,300",Yes,fixed,,Nil,Nil,AOC,Executive Engineer,Internal,,Anil Kumar Das,19-Sep-2025 01:57 PM,finsummary_546025.pdf (64.78 KB),Executive Engineer,Internal,,Anil Kumar Das,14-Aug-2025 02:48 PM,techsummary_546025.pdf (487.32 KB),19-Sep-2025,"INR 531,949",90.0,Anil Kumar Das,22-Sep-2025 12:34 PM,5544.pdf (311.00 KB),1.0,3012220.0,sudam sahoo,INR,"531,949",CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,2025_CERWI_115556_13,EERWPH-19/2025-26,PH Works for Construction of Sub-Centre Building at Chandigaon of Bhadrak Sadar block in the district of Bhadrak for the year 2023-24,1,3012332,Asoka Kumar Rout,25-Jul-2025 10:33 PM,Rejected-Finance,Not Qualified in Transparency lottery,19-Sep-2025 01:57 PM,Finance,COMPARATIVE STATEMENT,Anil Kumar Das,04-Aug-2025 02:51 PM,finance_546025.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"EMD, Tender Paper cost, Affidavit for correctness and No Relation Certificate.",,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3016154,BHABASHANKAR ACHARYA,29-Jul-2025 10:57 AM,Rejected-Finance,Not Qualified in Transparency lottery,19-Sep-2025 01:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3017017,CHANDRAGUPTA LENKA,29-Jul-2025 06:26 PM,Rejected-Finance,Not Qualified in Transparency lottery,19-Sep-2025 01:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3012163,DIBYASING NAYAK,25-Jul-2025 07:54 PM,Rejected-Finance,Not Qualified in Transparency lottery,19-Sep-2025 01:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3014170,GOURANGA SETHI (S.C),28-Jul-2025 01:30 PM,Rejected-Finance,Not Qualified in Transparency lottery,19-Sep-2025 01:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3010707,Krushnapriya Das,24-Jul-2025 12:32 PM,Rejected-Finance,Not Qualified in Transparency lottery,19-Sep-2025 01:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3016045,NIRANJAN NAYAK,28-Jul-2025 11:18 PM,Rejected-Finance,Not Qualified in Transparency lottery,19-Sep-2025 01:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3012220,sudam sahoo,25-Jul-2025 08:47 PM,Accepted-AOC,Qualified in Transparency lottery,22-Sep-2025 12:34 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3018025,SWODESH GOURAB BAL,30-Jul-2025 01:59 PM,Rejected-Finance,Not Qualified in Transparency lottery,19-Sep-2025 01:57 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3017326,UMAKANTA PANDA,30-Jul-2025 12:10 AM,Rejected-Finance,Not Qualified in Transparency lottery,19-Sep-2025 01:57 PM,,,,,,,AOC
