S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3004806.0,M/S. RAGHUNATH KANDI,INR,"28,424,225.771",CCE CTC,Internal,Pa to CCE DAO Jspur SE Jspur,Usharani Behera,22-Sep-2025 04:21 PM,finsummary_545148.pdf (416.00 KB),CE RW I||RWCIRCLE-CUTTACK,2025_CERWI_115155_1,Tender Online RWC 10/25,Construction of bridge over Local Nallah at 1.400Km on Dhanua to Patkura Road in the District of Jagatsinghpur under SBY for the year 2024-25,Technical,total 17 nos document downloaded,Usharani Behera,22-Jul-2025 01:47 PM,,Finance,total 16 nos document downloaded,Usharani Behera,08-Aug-2025 05:53 PM,,BOQ Comparative Chart,C.C.E.R.W.Circle Cuttack,Internal,"SERWDIVISION, CUTTACK DAO RW DIVISION JAGATSINGHPUR PA TO CCE",Usharani Behera,05-Aug-2025 01:32 PM,08-Aug-2025 05:30 PM,techsummary_545148.pdf (943.20 KB),1,3004841,AMBIKA PRASAD SINGH,21-Jul-2025 09:55 AM,Rejected-Finance,L1,22-Sep-2025 04:21 PM,05-Oct-2025,"INR 28,424,225.771",360.0,Usharani Behera,22-Sep-2025 04:30 PM,6005.pdf (899.00 KB),AOC,1.0,ICICI BANK,07-Jul-2025 10:00 AM,22-Jul-2025 11:30 AM,07-Jul-2025 10:00 AM,21-Jul-2025 05:00 PM,07-Jul-2025 10:00 AM ,21-Jul-2025 02:00 PM ,07-Jul-2025 10:00 AM,21-Jul-2025 05:00 PM,08-Aug-2025 05:30 PM,Construction of bridge over Local Nallah at 1.400Km on Dhanua to Patkura Road in the District of Jagatsinghpur under SBY for the year 2024-25,Construction of bridge over Local Nallah at 1.400Km on Dhanua to Patkura Road in the District of Jagatsinghpur under SBY for the year 2024-25,NA ,NA ,"3,34,36,332",Civil Works - Bridges,NA ,Tender,90.0,360.0,Jagatsinghpur,753004.0,NA ,NA ,NA ,"RURAL WORKS CIRCLE , CUTTACK",No ,No,"RURAL WORKS CIRCLE , CUTTACK","RURAL WORKS CIRCLE , CUTTACK",CE RW I||RWCIRCLE-CUTTACK,Tender Online RWC 10/25,2025_CERWI_115155_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,"3,34,363",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"RC, GSTIN, PAN, Work in Hand , Affidavit regarding Correctness and No Relationship",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3006750,AMIT KUMAR BISWAL,21-Jul-2025 01:19 PM,Rejected-Finance,L2,22-Sep-2025 04:21 PM,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"A.T.O from CA , Similar Nature of Work Experience Certificate, other documents as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3006424,Amit Kumar Swain,21-Jul-2025 01:23 PM,Rejected-Finance,L1,22-Sep-2025 04:21 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries followed by checklist machineries as per DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3006534,Ananta Kumar Das,21-Jul-2025 12:34 PM,Rejected-Technical,Disqualified as per clause no.14(h) of Qualification Criteria for technicial qualification of the DTCN,05-Aug-2025 01:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3002017,DEBASIS PATI,19-Jul-2025 09:05 PM,Rejected-Finance,L1,22-Sep-2025 04:21 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3002376,DURGA PRASAD SWAIN,17-Jul-2025 03:20 PM,Rejected-Finance,L1,22-Sep-2025 04:21 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2999523,KSHIROD BEHURA,19-Jul-2025 07:58 PM,Rejected-Finance,L3,22-Sep-2025 04:21 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3004475,MANOJ KUMAR SAHOO,19-Jul-2025 07:02 PM,Rejected-Finance,L1,22-Sep-2025 04:21 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3004806,M/S. RAGHUNATH KANDI,20-Jul-2025 12:25 PM,Accepted-AOC,Transperant lottery winner,22-Sep-2025 04:30 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3006441,M/s Sai Construction,21-Jul-2025 12:20 PM,Rejected-Finance,L1,22-Sep-2025 04:21 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
