Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
Finance,Tender Opened,LAXMAN SAHOO,13-Jul-2025 09:18 PM,finance_539247.pdf,BOQ Comparative Chart,ST and SC Development Deptt||ITDA Sundergarh,2025_STSCD_113355_11,ITDASNG-02/2025-2026,"Construction of ICT Education and smart learning facility center in Govt. SSD Girls High School, Jampali under Rajgangpur Block",1.0,2942038.0,GIRIJA PRASAD SAMAL,INR,"975,667",1,2925425,DM Constructions,19-May-2025 05:26 PM,Rejected-AOC,not qualified in lottery,25-Sep-2025 01:20 PM,08-Aug-2025,"INR 975,667",120.0,Dhirendra Kumar Sethy,25-Sep-2025 01:19 PM,ICTJampali.pdf (362.00 KB),AOC,"Collector, Sundargarh",Internal,"PA, ITDA, Sundargarh, SE, MI Division, Sundargarh, AEE, ITDA, Sundargarh",Dhirendra Kumar Sethy,15-Jul-2025 06:18 PM,techsummary_539247.pdf (463.68 KB),"Collector, Sundargarh",Internal,"PA, ITDA, Sundargarh, SE, MI Division, Sundargarh, AEE, ITDA, Sundargarh",Dhirendra Kumar Sethy,15-Jul-2025 06:22 PM,finsummary_539247.pdf (463.68 KB),AOC,Project Administrator,"ITDA, Sundargarh",16-May-2025 11:00 AM,31-May-2025 11:00 AM,16-May-2025 11:00 AM,30-May-2025 05:00 PM,NA ,NA ,16-May-2025 11:00 AM,30-May-2025 05:00 PM,"11,477",Yes,fixed,,Nil,Nil,ST and SC Development Deptt||ITDA Sundergarh,ITDASNG-02/2025-2026,2025_STSCD_113355_11,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,"Construction of ICT Education and smart learning facility center in Govt. SSD Girls High School, Jampali under Rajgangpur Block","Construction of ICT Education and smart learning facility center in Govt. SSD Girls High School, Jampali under Rajgangpur Block",As per DTCN ,NA ,"11,47,708",Civil Works - Buildings,NA ,Tender,90.0,120.0,Sundargarh,770001.0,NA ,NA ,NA ,"ITDA, Sundargarh",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"License, Pan Card, GSTIN, Affidavits and other documents as per DTCN",AOC
,,,,,,,,,,,,,,,2,2942038,GIRIJA PRASAD SAMAL,30-May-2025 01:14 PM,Accepted-AOC,qualified in lottery,25-Sep-2025 01:20 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,3,2936521,GOURI SAHOO,28-May-2025 04:52 PM,Rejected-AOC,not qualified in lottery,25-Sep-2025 01:20 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2933785,Karttik Sing,26-May-2025 07:44 PM,Rejected-AOC,not qualified in lottery,25-Sep-2025 01:20 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2941186,LAXMIKANTA MALLICK,29-May-2025 06:06 PM,Rejected-AOC,not qualified in lottery,25-Sep-2025 01:20 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2932072,MOHAMMAD GULAM GOUS,25-May-2025 07:16 PM,Rejected-AOC,not qualified in lottery,25-Sep-2025 01:20 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2937008,RAJAN BUDA(S.C),28-May-2025 11:48 AM,Rejected-AOC,not qualified in lottery,25-Sep-2025 01:20 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2943018,RAJANI LAKRA (S.T.),30-May-2025 01:30 PM,Rejected-AOC,not qualified in lottery,25-Sep-2025 01:20 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2941968,REKHA DAS,30-May-2025 12:09 AM,Rejected-AOC,not qualified in lottery,25-Sep-2025 01:20 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2936438,SHRABAN KUMAR SAHOO,27-May-2025 10:40 PM,Rejected-AOC,not qualified in lottery,25-Sep-2025 01:20 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,11,2935835,SRUTI LAKRA,27-May-2025 06:37 PM,Rejected-AOC,not qualified in lottery,25-Sep-2025 01:20 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
