Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
CCE Phulbani RandB Circle Phulbani,Internal,CCE Phulbani RandB Circle Phulbani SE Phulbani RandB Division Phulbani DAO Phulbani RandB Division Phulbani PA to CCE Phulbani RandB Circle Phulbani,Pravat Kumar Das,25-Jun-2025 01:53 PM,30-Jun-2025 11:00 AM,techsummary_541560.pdf (633.45 KB),Finance,All document are received and under scrutiny,Pravat Kumar Das,30-Jun-2025 11:39 AM,,BOQ Comparative Chart,10-Sep-2025,"INR 14,161,842",180.0,Pravat Kumar Das,10-Sep-2025 06:26 PM,AgreementNo_138P1of2025_26.pdf (167.00 KB),Awarded being L1 bidder selected through transparent lottery system,1,2971700,MAHIMA ENGINEERING SYSTEMS PRIVATE LIMITED,18-Jun-2025 11:21 AM,Rejected-Finance,Rejected being not selected through transparent lottery system,10-Sep-2025 05:18 PM,1.0,2970664.0,SUBHASHKUMAR S JENA,INR,"14,161,842",EIC-CIVIL||SERNB-CIRCLE-PHULBANI,2025_EICCL_113976_2,CCE_R and B_PLB_04 of 2025_26,Construction of Ancillary work of Automated Testing Station (ATS) Phulbani,Technical,All document are received and under scrutiny,Pravat Kumar Das,19-Jun-2025 12:39 PM,,CCE Phulbani RandB Circle Phulbani,Internal,CCE Phulbani RandB Circle Phulbani SE Phulbani RandB Division Phulbani DAO Phulbani RandB Division Phulbani PA to CCE Phulbani RandB Circle Phulbani,Pravat Kumar Das,10-Sep-2025 05:18 PM,finsummary_541560.pdf (481.95 KB),AOC,"1,66,600",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Online Bid Cost, EMD as per clause 6 and 20 of DTCN, affidavit, RC, PAN,GST","10,000",0.0,Nil,Nil,No,04-Jun-2025 10:00 AM,19-Jun-2025 11:00 AM,04-Jun-2025 10:00 AM,18-Jun-2025 05:00 PM,04-Jun-2025 10:00 AM ,17-Jun-2025 05:00 PM ,04-Jun-2025 10:00 AM,18-Jun-2025 05:00 PM,30-Jun-2025 11:00 AM,CCE Phulbani RandB Circle Phulbani,Office of the CCE Phulbani RandB Circle Phulbani District Kandhamal PIN 762001,Construction of Ancillary work of Automated Testing Station (ATS) Phulbani,Construction of Ancillary work of Automated Testing Station (ATS) Phulbani,Please Refer Tender Documents ,NA ,"1,66,59,030",Civil Works - Buildings,EI and PH ,Tender,90.0,180.0,Phulbani,762001.0,NA ,NA ,NA ,Office of the CCE Phulbani RandB Circle Phulbani,No ,No,EIC-CIVIL||SERNB-CIRCLE-PHULBANI,CCE_R and B_PLB_04 of 2025_26,2025_EICCL_113976_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,2,2970008,SPRASANNA KUMAR BISOI,17-Jun-2025 08:15 PM,Rejected-Finance,Rejected being not selected through transparent lottery system,10-Sep-2025 05:18 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Work Experience, Machineries and other documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3,2971194,Sri Santosh Kumar Jena,17-Jun-2025 07:03 PM,Rejected-Finance,Rejected being not selected through transparent lottery system,10-Sep-2025 05:18 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,4,2970664,SUBHASHKUMAR S JENA,17-Jun-2025 01:33 PM,Accepted-AOC,Awarded being L1 bidder selected through transparent lottery system,10-Sep-2025 06:26 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
