S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3024002.0,M/S SOURENDRA SAHOO,INR,43.66,Collector and District Magistrate,Internal,"CSO, DLO, DSWO, RTO, ADM",Benudhar Panigrahi,17-Sep-2025 02:48 PM,finsummary_546772.pdf (1218.87 KB),Technical,Technical Bid Opening,Benudhar Panigrahi,06-Aug-2025 08:04 PM,technical_546772.pdf,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Kendrapada,2025_OSCSC_115843_1,OSC/PDS/II/13/25-1978,e-Tender for Selection and appointment of Level-II Transport Contractors for transportation of CMR from RRCs to Retail Center (FPS) for the biennial 2025-27 of RAJANAGAR Block Kendrapara District.,Finance,Financial Bid Opening,Benudhar Panigrahi,01-Sep-2025 04:29 PM,finance_546772.pdf,BOQ Comparative Chart,"Collector, Kendrapara",Internal,"CSO, Kendrapara DLO, Kendrapara DSWO, Kendrapara RTO, Kendrapara ADM,Kendrapara",Benudhar Panigrahi,22-Aug-2025 06:48 PM,25-Aug-2025 11:00 AM,techsummary_546772.pdf (3092.68 KB),18-Sep-2025,"INR 7,568,176",560.0,Benudhar Panigrahi,18-Sep-2025 05:16 PM,AOCRajanagarSourendra.pdf (199.00 KB),Rate of Transportation Cost per Qtl. is Rs.43.66 at the rate of 14.99 percentage of BSoR Quoted,1,3019184,Akshya Ku. Swain,04-Aug-2025 06:28 PM,Rejected-Finance,As per Proceedings. L1 Bidder to be selected through Lottery as more than one bidders have quoted same lowest rate 14.99 BSoR,17-Sep-2025 02:48 PM,AOC,"5,900",0.0,Nil,Nil,No,1.0,ICICI BANK,"3,78,409",No,fixed,,Nil,Nil,"CSO-cum-District Manager, OSCSC Ltd., Kendrapara","Odisha State Civil Supplies Corporation Ltd., College Chhak, Kendrapara 754211",Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Kendrapada,OSC/PDS/II/13/25-1978,2025_OSCSC_115843_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Tender Document for Level-II Transport Contract for the biennial 2025-27,e-Tender for Selection and appointment of Level-II Transport Contractors for transportation of CMR from RRCs to Retail Center (FPS) for the biennial 2025-27 of RAJANAGAR Block Kendrapara District.,Level-II Transport Contractors for transportation of CMR from RRCs to Retail Center (FPS) for the biennial 2025-27 of RAJANAGAR Block Kendrapara District. Pls. refer to tender documents,Please refer Tender documents. ,NA ,"75,68,176",Handling and Transportation,NA ,Tender,180.0,605.0,RAJANAGAR Block Kendrapara District,754211.0,"CSO-cum-District Manager, OSCSC Ltd., Kendrapara. ","Odisha State Civil Supplies Corporation Ltd., College Chhak, Kendrapara 754211 ",23-Jul-2025 11:00 AM ,"Collectorate, Kendrapara.",No ,No,22-Jul-2025 01:00 PM,06-Aug-2025 10:30 AM,22-Jul-2025 01:00 PM,05-Aug-2025 05:00 PM,NA ,NA ,22-Jul-2025 01:00 PM,05-Aug-2025 05:00 PM,25-Aug-2025 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3019678,ALOK PANDA,04-Aug-2025 11:03 AM,Rejected-Finance,As per Proceedings. L1 Bidder to be selected through Lottery as more than one bidders have quoted same lowest rate 14.99 BSoR,17-Sep-2025 02:48 PM,AOC,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ for Level-II Transport Contract for the biennial 2025-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3024680,BARADAPRASANNA PANDA,05-Aug-2025 03:02 PM,Rejected-Finance,As per Proceedings. L1 Bidder to be selected through Lottery as more than one bidders have quoted same lowest rate 14.99 BSoR,17-Sep-2025 02:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3022403,DHIREN KUMAR SAHOO,04-Aug-2025 12:00 PM,Rejected-Finance,As per Proceedings. L1 Bidder to be selected through Lottery as more than one bidders have quoted same lowest rate 14.99 BSoR,17-Sep-2025 02:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3024392,MADHABANANDA SAHOO,05-Aug-2025 02:11 PM,Rejected-Finance,As per Proceedings. L1 Bidder to be selected through Lottery as more than one bidders have quoted same lowest rate 14.99 BSoR,17-Sep-2025 02:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3024002,M/S SOURENDRA SAHOO,05-Aug-2025 12:39 AM,Accepted-AOC,As per Proceedings.,18-Sep-2025 05:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3014457,NAYAN KUMAR DAS,04-Aug-2025 09:52 PM,Rejected-Finance,As per Proceedings. L1 Bidder to be selected through Lottery as more than one bidders have quoted same lowest rate 14.99 BSoR,17-Sep-2025 02:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3024527,PRADEEP KUMAR JENA,05-Aug-2025 03:37 PM,Rejected-Finance,As per Proceedings. L1 Bidder to be selected through Lottery as more than one bidders have quoted same lowest rate 14.99 BSoR,17-Sep-2025 02:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3022472,Ranjan Kumar Sethi,05-Aug-2025 12:54 AM,Rejected-Finance,As per Proceedings. L1 Bidder to be selected through Lottery as more than one bidders have quoted same lowest rate 14.99 BSoR,17-Sep-2025 02:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3024463,Sagar Ranjan Panda,05-Aug-2025 01:45 PM,Rejected-Technical,As per Technical Bid Proceedings.,22-Aug-2025 06:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3016393,SAIMADHURI TRADERS,05-Aug-2025 01:42 PM,Rejected-Technical,As per Technical Bid Proceedings.,22-Aug-2025 06:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3022393,Santosh Parida,04-Aug-2025 11:43 AM,Rejected-Finance,As per Proceedings. L1 Bidder to be selected through Lottery as more than one bidders have quoted same lowest rate 14.99 BSoR,17-Sep-2025 02:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3024532,SHREE JAGANNATH ENTERPRISES,05-Aug-2025 01:46 PM,Rejected-Finance,As per Proceedings. L1 Bidder to be selected through Lottery as more than one bidders have quoted same lowest rate 14.99 BSoR,17-Sep-2025 02:48 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
