S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1,ICICI BANK,23-May-2025 10:00 AM,06-Jun-2025 12:00 PM,23-May-2025 10:00 AM,05-Jun-2025 05:00 PM,23-May-2025 10:00 AM ,05-Jun-2025 03:00 PM ,23-May-2025 10:00 AM,05-Jun-2025 05:00 PM,Block Development Officer,"Block Office, Niali",1.0,Fee/PreQual/Technical/Finance,.pdf,dtcn,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Cuttack||NIALI Block,NB-01/2025-26,2025_PRBNI_113745_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"14,338",Yes,fixed,,Nil,Nil,Construction of Additional Classroom at Govt PS Babaja Anlo,Construction of Additional Classroom at Govt PS Babaja Anlo,Please refer Tender documents. ,NA ,"14,33,804",Civil Works - Buildings,NA ,Tender,90.0,180.0,Babaja,754010.0,NA ,NA ,NA ,"Panchayat Samiti,Niali",No ,No,"6,000",Nil,Nil,No,AOC,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Cuttack||NIALI Block,2025_PRBNI_113745_1,NB-01/2025-26,Construction of Additional Classroom at Govt PS Babaja Anlo,BDO,Internal,AEE ABDO CP,DHARMARANJAN PANDA,16-Sep-2025 07:36 PM,finsummary_540743.pdf (375.25 KB),Finance,Admitted,Ramratan Bhuyan,08-Jul-2025 06:03 PM,,BOQ Comparative Chart,1.0,2952634.0,ULINK SERVICES Prop. DUSHASAN DALAI,INR,"1,218,877",1,2945414,ASIT KUMAR MALLICK,01-Jun-2025 11:58 AM,Rejected-AOC,Through Transparent Lottery,16-Sep-2025 07:43 PM,16-Sep-2025,"INR 1,218,877",180.0,DHARMARANJAN PANDA,16-Sep-2025 07:43 PM,workorderanlo.pdf (515.00 KB),L1 Bidder Through Transparent Lottery System,BDO,Internal,AEE ABDO CP,DHARMARANJAN PANDA,16-Sep-2025 07:32 PM,techsummary_540743.pdf (232.16 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2952634,ULINK SERVICES Prop. DUSHASAN DALAI,05-Jun-2025 02:13 PM,Accepted-AOC,Through Transparent Lottery,16-Sep-2025 07:43 PM,,,,,,,,,,,,,,AOC
