Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"CE,Drainage,Cuttack||SE,Drainage,Balasore",ACEDCBLS/DDJPR-01-02/2025-26,2025_CEDC_112298_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"2,30,431",Yes,fixed,,Nil,Nil,Renovation of Mathasahi Drain in Bari Block of Jajpur District in Brahmani-Birupa DOAB No-II under Drainage Improvement programme,IMPROVEMENT WORKS TO DRAINAGE CHANNEL,Please refer Tender documents. ,NA ,"2,30,43,066",Civil Works - Others,NA ,Tender,90.0,330.0,Bari,755003.0,NA ,NA ,NA ,"Add. Chief Engineer, Drainage Circle, Balasore",No ,No,09-Apr-2025 10:00 AM,24-Apr-2025 11:30 AM,09-Apr-2025 10:00 AM,23-Apr-2025 05:00 PM,09-Apr-2025 10:00 AM ,17-Apr-2025 05:00 PM ,09-Apr-2025 10:00 AM,23-Apr-2025 05:00 PM,19-May-2025 11:30 AM,"10,000",0.0,Nil,Nil,No,"Add. Chief Engineer, Drainage Circle, Balasore","Office of the Additional Chief Engineer, Drainage Circle, Balasore-756001",1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"PAN, GSTIN, Contractor RC, Affidavits, Undertakings and Other documents as per DTCN.",AOC,Dipak ranjan behera ACE,Internal,Mayadhar parida SE,Dipak Ranjan Behera,17-May-2025 06:23 PM,19-May-2025 11:30 AM,techsummary_535661.pdf (2952.84 KB),"CE,Drainage,Cuttack||SE,Drainage,Balasore",2025_CEDC_112298_1,ACEDCBLS/DDJPR-01-02/2025-26,Renovation of Mathasahi Drain in Bari Block of Jajpur District in Brahmani-Birupa DOAB No-II under Drainage Improvement programme,1.0,2892268.0,RABI NARAYAN SAHOO,INR,"19,588,911",Finance,successfully downloaded of 133 numbers of financial bid,Dipak Ranjan Behera,21-May-2025 07:03 PM,finance_535661.pdf,BOQ Comparative Chart,Technical,successfully downloaded of 134 numbers of bidders,Dipak Ranjan Behera,28-Apr-2025 04:55 PM,technical_535661.pdf,1,2886785,ANANTA PRASAD MALIK,21-Apr-2025 07:07 PM,Rejected-Finance,defeated in transparent lottery,24-Jun-2025 08:46 PM,Dipak ranjan behera ACE,Internal,MAYADHAR PARIDA SE OMM PRAKASH KUMAR DAO,Dipak Ranjan Behera,24-Jun-2025 08:46 PM,finsummary_535661.pdf (827.53 KB),11-Sep-2025,"INR 19,588,911",330.0,Dipak Ranjan Behera,11-Sep-2025 05:23 PM,mathasahiAOC.pdf (1206.00 KB),awarded,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,Bill of Quantity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2890594,ANNADA PRASANNA OJHA,21-Apr-2025 05:18 PM,Rejected-Finance,defeated in transparent lottery,24-Jun-2025 08:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2892617,ARUN KUMAR JENA,23-Apr-2025 02:45 PM,Rejected-Finance,defeated in transparent lottery,24-Jun-2025 08:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2891575,Ashish Kumar Kar,22-Apr-2025 01:57 PM,Rejected-Finance,defeated in transparent lottery,24-Jun-2025 08:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2892512,ASHUTOSH BHUYAN,23-Apr-2025 01:42 PM,Rejected-Finance,defeated in transparent lottery,24-Jun-2025 08:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2888009,ASISH KUMAR SWAIN,18-Apr-2025 02:16 PM,Rejected-Finance,defeated in transparent lottery,24-Jun-2025 08:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2891676,ASIT KUMAR BHUYAN,22-Apr-2025 03:35 PM,Rejected-Finance,defeated in transparent lottery,24-Jun-2025 08:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2891679,ASIT KUMAR ROUT,22-Apr-2025 03:00 PM,Rejected-Finance,defeated in transparent lottery,24-Jun-2025 08:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2890373,ASWINI AMITAV SAHOO,22-Apr-2025 09:36 PM,Rejected-Finance,defeated in transparent lottery,24-Jun-2025 08:46 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2891661,AUROBINDA PARIDA,22-Apr-2025 02:51 PM,Rejected-Finance,defeated in transparent lottery,24-Jun-2025 08:46 PM,,,,,,,,,,,,,,AOC
