Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Finance,Twelve bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Sanjukta Sa,23-Apr-2025 01:30 PM,finance_535621.pdf,BOQ Comparative Chart,1.0,2885335.0,Sri Sisir Mallick,INR,"3,393,526",Municipal Bodies||Cuttack Municipal Corporation,2025_ORULB_112214_7,MC(CMC)CTC_Div-IIINo.1/2025-26,"Construction of drin with cover slab from Sisira Samal res to Debendra Pradhan res at Baikuntha Bihar, Jagatpur in Ward No.48.",Deputy Executive Engineer,Internal,Executive Engineer,Antarjyamee Patra,30-Sep-2025 03:25 PM,finsummary_535621.pdf (420.20 KB),Deputy Executive Engineer,Internal,Executive Engineer,Antarjyamee Patra,30-Sep-2025 03:05 PM,techsummary_535621.pdf (420.20 KB),30-Sep-2025,"INR 3,393,526",90.0,Antarjyamee Patra,30-Sep-2025 03:38 PM,chat.pdf (420.00 KB),WO,1,2884662,BICHITRA NANDA BEHERA,15-Apr-2025 01:13 PM,Rejected-AOC,Rejected,30-Sep-2025 03:38 PM,AOC,1.0,ICICI BANK,"7,080",0.0,Nil,Nil,No,Municipal Bodies||Cuttack Municipal Corporation,MC(CMC)CTC_Div-IIINo.1/2025-26,2025_ORULB_112214_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Construction of drin with cover slab from Sisira Samal res to Debendra Pradhan res at Baikuntha Bihar, Jagatpur in Ward No.48.","Construction of drin with cover slab from Sisira Samal res to Debendra Pradhan res at Baikuntha Bihar, Jagatpur in Ward No.48.",Please refer Tender documents. ,NA ,"39,91,945",Civil Works - Others,NA ,Tender,120.0,90.0,CMC,753012.0,NA ,NA ,NA ,"Bikash Bhawan,Jagannath Lane,Badambadi-753012",No ,No,"40,000",Yes,fixed,,Nil,Nil,08-Apr-2025 11:00 AM,22-Apr-2025 10:00 AM,08-Apr-2025 11:00 AM,17-Apr-2025 05:00 PM,NA ,NA ,08-Apr-2025 11:00 AM,17-Apr-2025 05:00 PM,"Executive Engineer,Div-III","Bikash Bhawan,Jagannath Lane,Badambadi-753012",1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST,EMD,GST,PAN,REGISTRATION CERTIFICATE,OTHER DOCUMENTS AS PER DTCN in online.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2886739,BINAY PRASAD MOHAPATRA,16-Apr-2025 10:18 PM,Rejected-AOC,Rejected,30-Sep-2025 03:38 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2886729,HRUSHIKESH SAHOO,17-Apr-2025 11:48 AM,Rejected-AOC,Rejected,30-Sep-2025 03:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2886247,JAGANNATH BEHERA,16-Apr-2025 03:53 PM,Rejected-AOC,Rejected,30-Sep-2025 03:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2887013,KALYANI SAHOO,17-Apr-2025 12:03 PM,Rejected-AOC,Rejected,30-Sep-2025 03:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2887479,PABAN KUMAR TRIPATHY,17-Apr-2025 04:10 PM,Rejected-AOC,Rejected,30-Sep-2025 03:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2886617,Saroj Kumar Mallick,16-Apr-2025 07:29 PM,Rejected-AOC,Rejected,30-Sep-2025 03:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2885409,SASHI KANTA SETHY,17-Apr-2025 03:12 PM,Rejected-AOC,Rejected,30-Sep-2025 03:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2881473,SATYA PRAKASH SUNDARAY,11-Apr-2025 04:44 PM,Rejected-AOC,Rejected,30-Sep-2025 03:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2885933,SHIBANI BEHERA,16-Apr-2025 09:00 PM,Rejected-AOC,Rejected,30-Sep-2025 03:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
