Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Improvement such as widening and strengthening of Govindapur to Karlakhaman via Gurla, Kutarimal, Pandupada, Kaliapada, Badfirangibahal and Mahulmunda from Ch.0.0 to 33.700km (Except 7.060km to 13.020km) in the District of Sambalpur for the year 2024","Improvement such as widening and strengthening of Govindapur to Karlakhaman via Gurla, Kutarimal, Pandupada, Kaliapada, Badfirangibahal and Mahulmunda from Ch.0.0 to 33.700km (Except 7.060km to 13.020km) in the District of Sambalpur for the year 2024",Please refer Tender documents. ,NA ,"48,98,02,951",Civil Works - Roads,NA ,Tender,90.0,615.0,In the District of Sambalpur,751001.0,NA ,NA ,NA ,"Nirman Soudha, O/o EIC (Civil), Odisha, Bhubaneswa",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost, Bid Security, GSTIN, PAN, RC and Affidavit","10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,04-Mar-2025 02:45 PM,20-Mar-2025 11:30 AM,04-Mar-2025 02:45 PM,19-Mar-2025 05:00 PM,04-Mar-2025 02:45 PM ,18-Mar-2025 05:00 PM ,04-Mar-2025 02:45 PM,19-Mar-2025 05:00 PM,15-May-2025 11:30 AM,"48,98,100",Yes,fixed,,Nil,Nil,EIC-CIVIL||EIC-CIVIL,CE-BRIDGES-20/2024-25,2025_EICCL_111058_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Chief Engineer, Bridges, Odisha","Nirman Soudha, O/o EIC (Civil), Odisha, Bhubaneswar",AOC,02-Sep-2025,"INR 416,381,489",615.0,Mamatamayee Pradhan,02-Sep-2025 01:46 PM,AOC_GOVINDAPUR.pdf (2357.00 KB),"Agreement No.412 P1 of 2025-26 of S.E., Sambalpur R and B Division No.II, Sambalpur",1,2860857,ASHOK BRICKS INDUSTRIES PRIVATE LIMITED,19-Mar-2025 01:01 PM,Rejected-Finance,1st lowest bidder,02-Sep-2025 01:41 PM,Finance,Opened,Mamatamayee Pradhan,15-May-2025 12:24 PM,,BOQ Comparative Chart,"Er. D. C. Behera, EIC (Civil-cum-Roads), Odisha",Internal,"Er. D. C. Behera, CE, Bridges, Odisha, Er. D. Kaibarta, ACE, Bridges, Sri M. K. Sharma, DAO",Mamatamayee Pradhan,13-May-2025 08:08 PM,15-May-2025 11:30 AM,techsummary_531817.pdf (5148.72 KB),"The Commissioner-cum-Secretary to Government, WD",Internal,"The CE, BRIDGES, Odisha, FA-cum-Special Secretary to Government, WD",Mamatamayee Pradhan,02-Sep-2025 01:41 PM,finsummary_531817.pdf (4027.39 KB),EIC-CIVIL||EIC-CIVIL,2025_EICCL_111058_1,CE-BRIDGES-20/2024-25,"Improvement such as widening and strengthening of Govindapur to Karlakhaman via Gurla, Kutarimal, Pandupada, Kaliapada, Badfirangibahal and Mahulmunda from Ch.0.0 to 33.700km (Except 7.060km to 13.020km) in the District of Sambalpur for the year 2024",Technical,Eleven bidders participated in this tender,Mamatamayee Pradhan,20-Mar-2025 09:08 PM,,1.0,2849070.0,MACKINTOSH BURN LIMITED,INR,"416,381,489",AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and work experience,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2860835,BKD INFRASTRUCTURE PRIVATE LIMITED,19-Mar-2025 02:19 PM,Rejected-Finance,1st lowest bidder,02-Sep-2025 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Other related documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2862000,L.N. Infrastructure and Constructions Pvt. Ltd.,19-Mar-2025 01:59 PM,Rejected-Technical,Disqualified,13-May-2025 08:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2849070,MACKINTOSH BURN LIMITED,19-Mar-2025 02:04 PM,Accepted-AOC,1st lowest bidder,02-Sep-2025 01:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2854948,M/s. fortune group,19-Mar-2025 03:45 PM,Rejected-Finance,2nd lowest bidder,02-Sep-2025 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2861103,NANDA INFRA CONSTRUCTION PRIVATE LIMITED,19-Mar-2025 11:27 AM,Rejected-Finance,1st lowest bidder,02-Sep-2025 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2858169,Orient Constructions Pvt. Ltd.,18-Mar-2025 05:29 PM,Rejected-Finance,1st lowest bidder,02-Sep-2025 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2854913,SHANTI CONSTRUCTION SAMBALPUR PVT. LTD.,17-Mar-2025 07:23 PM,Rejected-Finance,1st lowest bidder,02-Sep-2025 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2862231,Shree Balaji Engicons Limited,19-Mar-2025 03:58 PM,Rejected-Finance,1st lowest bidder,02-Sep-2025 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2854923,SRINIBASH MISHRA,19-Mar-2025 11:24 AM,Rejected-Finance,1st lowest bidder,02-Sep-2025 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
