S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1,ICICI BANK,"4,720",Nil,Nil,No,WATCO Bhubaneswar||Director (Operation) Watco||WATCO Division Cuttack,GMWATCO (W)-04(3)/2025-26 Dtd.22.05.2025,2025_WCUTT_113800_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,28-May-2025 11:00 AM,11-Jun-2025 12:30 PM,28-May-2025 11:00 AM,10-Jun-2025 05:00 PM,28-May-2025 11:00 AM ,05-Jun-2025 05:00 PM ,28-May-2025 11:00 AM,10-Jun-2025 05:00 PM,"Construction of DRINKING WATER KIOSK at Cuttack Netaji Bus Terminal in Ward No- 44 under WATCO Section Badambadi, Cuttack","Construction of DRINKING WATER KIOSK at Cuttack Netaji Bus Terminal in Ward No- 44 under WATCO Section Badambadi, Cuttack",Please refer Tender documents. ,NA ,"7,27,780",Civil Works - Water Works,NA ,Tender,120.0,90.0,Cuttack,753003.0,NA ,NA ,NA ,"O/o-General Manager, WATCO Division, Cuttack",No ,No,"7,278",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Copy of PAN,GSTIN, Affidavits,Certificates,Formats,Schedules and other documents if any as per DTCN","General Manager, WATCO Division, Cuttack","O/o-General Manager, WATCO Division, Cuttack",AOC,WATCO Bhubaneswar||Director (Operation) Watco||WATCO Division Cuttack,2025_WCUTT_113800_1,GMWATCO (W)-04(3)/2025-26 Dtd.22.05.2025,"Construction of DRINKING WATER KIOSK at Cuttack Netaji Bus Terminal in Ward No- 44 under WATCO Section Badambadi, Cuttack",Baishnu Bhusan Behera,Internal,,Biswaranjan Rath,26-Sep-2025 05:21 PM,finsummary_540956.pdf (427.25 KB),Finance,Both the bidders found to be responsive,Subarna Satapathy,11-Jun-2025 01:49 PM,,BOQ Comparative Chart,1.0,2948724.0,PRAVAKAR GURU,INR,"673,196",1,2954461,GTEC EIS PVT LTD,06-Jun-2025 02:47 PM,Rejected-Technical,Not Responsive,26-Sep-2025 05:18 PM,26-Sep-2025,"INR 673,196",80.0,Biswaranjan Rath,26-Sep-2025 05:23 PM,16072.PDF (1572.00 KB),Baishnu Bhusan Behera,Internal,,Biswaranjan Rath,26-Sep-2025 05:18 PM,techsummary_540956.pdf (427.25 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of quantity,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2948724,PRAVAKAR GURU,03-Jun-2025 12:30 PM,Accepted-AOC,Single qualified bidder in 2nd time tender call,26-Sep-2025 05:23 PM,,,,,,,,,,,,,AOC
