S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,3023314.0,Aditya Kumar Rout,INR,"3,470,597",Finance,10 nos of bidders are participated and all documents are download,Amir Kumar Sethy,05-Aug-2025 05:15 PM,finance_547072.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,DAO and Estimators,Amir Kumar Sethy,12-Aug-2025 11:30 AM,finsummary_547072.pdf (201.04 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE-II,2025_CERWI_115975_1,ETCN2-4,42/6334-Construction of New Sub-Center Building at Bangalpur for 2025-26,Superintending Engineer,Internal,DAO AND ESTIMATORS,Amir Kumar Sethy,08-Aug-2025 04:27 PM,techsummary_547072.pdf (416.77 KB),22-Sep-2025,"INR 3,470,597",270.0,Sujata Behera,22-Sep-2025 01:31 PM,115975.pdf (262.00 KB),Awarded through lottery winner,1,3023314,Aditya Kumar Rout,04-Aug-2025 04:20 PM,Accepted-AOC,Awarded through lottery winner,22-Sep-2025 01:31 PM,AOC,Divisional Officer,"RURAL WORKS DIVISION NO.II, BALASORE",1.0,Fee/PreQual/Technical/Finance,.pdf,"T.P Cost, EMD Online, RC, PAN, GSTIN, Affidavit, NRC, Bid Declaration and Other doc. as per DTCN","40,826",Yes,percentage,1.0%,Nil,Nil,42/6334-Construction of New Sub-Center Building at Bangalpur for 2025-26,42/6334-Construction of New Sub-Center Building at Bangalpur for 2025-26,NA ,NA ,"40,82,574",Civil Works - Buildings,NA ,Tender,90.0,270.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO.II, BALASORE",No ,No,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE-II,ETCN2-4,2025_CERWI_115975_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,24-Jul-2025 05:00 PM,05-Aug-2025 11:00 AM,24-Jul-2025 05:00 PM,04-Aug-2025 05:00 PM,24-Jul-2025 05:00 PM ,04-Aug-2025 03:00 PM ,24-Jul-2025 05:00 PM,04-Aug-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3021643,ANASUYA NAYAK,02-Aug-2025 06:32 PM,Rejected-AOC,Rejected,22-Sep-2025 01:31 PM,AOC,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3023304,Ashok Nath,04-Aug-2025 03:42 PM,Rejected-AOC,Rejected,22-Sep-2025 01:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3016492,BECHTELS INFRAPRO LLP,04-Aug-2025 01:35 PM,Rejected-AOC,Rejected,22-Sep-2025 01:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3022952,Dillip Kumar Lenka,04-Aug-2025 12:38 PM,Rejected-AOC,Rejected,22-Sep-2025 01:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3022869,DIPTI RANJAN RAYSARDAR,04-Aug-2025 11:57 AM,Rejected-AOC,Rejected,22-Sep-2025 01:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3014709,JASHASWINI MOHANTY,01-Aug-2025 05:04 PM,Rejected-AOC,Rejected,22-Sep-2025 01:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3022865,RABINDRA KUMAR PARHI,04-Aug-2025 12:13 PM,Rejected-AOC,Rejected,22-Sep-2025 01:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3023154,SAMARENDRA NATH PARHI,04-Aug-2025 02:46 PM,Rejected-AOC,Rejected,22-Sep-2025 01:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3021613,TAPAS KUMAR NAYAK,02-Aug-2025 06:02 PM,Rejected-AOC,Rejected,22-Sep-2025 01:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
